Topic title: 转载：时政快刀 林冠英爱将被揭涉百万骗案 邱培栋在议会语无伦次被嘲笑
username,date,text
寻求,20170313,"中立的不报道，我充当中立的爆道一下了（真相网／程义）甲州火箭“秘书长派系”两员大将包括甲州行动党秘书兼爱极乐州议员邱培栋，以及州组织秘书黄志成涉及共谋行骗近百万令吉的丹州土地租赁案。如今邱培栋甲州议会上被指名道姓提出来，令他在议会语无伦次，竟指控甲首长被人利用来摧毁他的政治事业和行动党的形象。甲首长依德利斯哈伦日前在州议会回应鲁容区议员吴良山的口头询问时，针对念出警方报案书及涉案者邱培栋和黄志成的名字。邱培栋一度打岔，神情激动地指责有关指控是怀有恶意，又指控已退党不爱党的吴良山，不该毁灭党和加害予他。甲首长履行民主议会责任，回答来自朝野议员的询问，却被邱培栋诬指为受到吴良山的“利用”，这种惊慌失措的言行举止显得心虚异常。所以，甲首长不怒反笑，揶揄邱培栋“吃到辣椒才知辣”。吴良山是询问首长关于丹绒米雅警局编号6757/16报案书的调查结果，以及在一份新的报案书中，把有关州议员名字从原有报案书中删除的警官名字，以及对涉及警官采取的纪律行动。报案书内容指出，住在柏淡芙露的50岁华裔菜农于2016年12月14日向丹绒米雅警局报案，控诉在2012年9月他与黄天成及姓蔡男子会面，对方声称可协助在丹州的瓜拉吉赖地方租赁一块500依格的土地，条件是必须捐一笔款项给伊党作为大选竞选基金。为了让报案人深信不疑，这2名男子带领他会见邱培栋州议员，州议员也证实2名男子所言不假。因为相信有关州议员，报案人通过转账先后把一笔数额52万8000令吉的款项汇入黄天成的银行户头，以及数额44万8300令吉的款项汇入一名声称担任丹州伊青团某分部团长的银行户头。拖延数年后报案人发觉租赁土地的申请毫无进展，也不曾获得任何相关租赁土地的证件，他感觉受骗而向警方报案，共蒙受97万6300令吉的损失。”吴良山紧咬不放，询问是否有外来势力影响报案人，以便在新的报案书把有关州议员的名字删除，首长回答说，他相信警方有能力及专业地执行调查工作，而不会受到外来因素的干扰。邱培栋在州议会极力阻止首长披露案情，并声称“真金不怕烘炉火”。针对邱培栋辩护言词，首长说，州议会并非法庭，邱培栋无须辩护自己是清白，就让警方用专业手法进行调查工作，无须这么激动。另一名涉及此案的州领袖黄志成，他也是哥打拉沙马那州议员赖君万的政治秘书，而赖君万正是甲州火箭发生退党大地震的导火线。秘书长林冠英于2013年大选指定要这名充满争议性和引退多年的过气领袖上阵，故意排挤时任州领导层的候选人名单。甲州元老沈同钦除了代表党上阵甲市区国席，也突然以独立人士身分竞选哥打拉沙马那州席，自此彻底暴露了州领导层与党中央的巨大冲突。沈同钦、吴良山等4名国州议员上个月退党，过后被党代主席陈国伟形容为“毒瘤”，但沈同钦等人从未做过有辱火箭或对不起选民的事。反而是林冠英所重用的自己人才是真正腐臭不堪的恶性毒瘤，正如林冠英本身涉贪而被控上庭，上樑不正下樑歪。这宗土地买卖骗案早有人向党中央投诉相关涉及人士与议员，唯石沉大海，还把元老忠臣逼走。如今吴良山已经退党，再也没有顾忌可以把这些害群之马揪出来，交由当局绳之以法。"
cct2050,20170313,"清真行动党 -- 一个汉奸组织而已 没有什么了不起"
355.png,20170313,"不是清蒸吗？原来清蒸火箭也是要台底钱？看来一人RM100也是冻过水咯。。"
jellyfish_8,20170313,"只是换了个字。。"
jellyfish_8,20170313,"这种贴那里可以沉啊。。。顶一顶"
IMG_1307.JPG,20170314,"这种贴永远都没有红豆兵敢进来的。"
寻求,20170314,"為馬六甲人民討回公道。"
CRon7,20170314,""
一燈大師,20170314,"只要是为人民做事,支持吴良山挑起这行动党领袖涉百万骗案真相.人民有知道权,不只是对国阵,行动党也一样."
dupont378,20170314,"火箭不要求成立皇家調查團，或自己內部調查嗎？火箭首長說自己清白沒貪污買便宜林宮，就不調查嗎？火箭曹觀友說林秀琴沒涉及 under table，就不調查嗎？火箭曹觀友說Zairil否認了，就不調查嗎？"
