Topic title: 爸爸名普腾赛佳(Proton Saga) ·儿子叫威华（Viva)
username,date,text
abc74,20170314,"2017-03-14 14:29爸爸名普腾赛佳·儿子叫威华来自霹雳地罗叻（Trolak）的一名原住民领取“一马援助金”后，其名字在社交媒体疯传，只因为他叫Proton Saga（普腾赛佳），不仅如此，他还为儿子取名Viva（威华）。原住民领取“一马援助金”后，其名字在社交媒体疯传。（雪兰莪·八打灵再也14日讯）来自霹雳地罗叻（Trolak）的一名原住民领取“一马援助金”后，其名字在社交媒体疯传，只因为他叫Proton Saga（普腾赛佳），不仅如此，他还为儿子取名Viva（威华）。广告日前普腾赛佳接受马来报《阳光日报》访问时，其54岁父亲 Kelambu Jambi透露，33年前因为不识字，对孩子取名没有任何想法，在当地警员建议下，他觉得Proton Saga名字还不错，决定用来为大儿子取名。虽然名字特殊，但kelambu与妻子并没有后悔，甚至每次有人提到时还感觉引以为傲，包括普腾赛佳本人也不觉得不自在。普腾赛佳受访时说，虽然大多村民称他亚罗（Alor），但他们都知道其真实姓名和国产车同名，他从小到大也没有人因此嘲笑他的名字。反而令他感到吃惊和意外的是名字在网路疯传，还有记者为此跑来采访他。普腾赛佳延续了父亲的做法，同样用车名为大儿子取名。目前已有一对儿女的普腾赛佳说，大儿子出生时，刚好第二国产车推出新车款威华（Viva），因此在护士建议之下用了Viva。目前大儿子已经就读小学4年级。http://www.sinchew.com.my/node/1623452"
abc74,20170314,"国产车忠实粉丝。。。"
prince,20170314,"我还看过叫 gorzilla 的！"
阿白,20170314,"孙子叫potong dua"
元旦8466,20170314,"是那些马来人捉弄原住民…"
qeukjh,20170314,"真正的土著被假土著欺负的故事。。。。。"
仓底货,20170314,"keling 真的是可怜仔。"
q(T_T)p,20170314,"笨蛋傻瓜"
使用者,20170315," 嗯嗯。。開心就好。很適合他們。"
hong_87,20170315,"不會忘記得名字"
yming2475,20170315,"JUARA 和 TIARA 沒有嗎 ？？"
GagahSetia3.0,20170315,"他们是原住民, 谁说他们是keling？你确定你知道keling是什么吗？"
GagahSetia3.0,20170315,"应该说是被假土族(那个建议他老爸用 proton saga 的警察)玩弄才对吧！"
