Topic title: 疑大道路上有油 5车连环撞巴士掉水沟
username,date,text
Cari_PHJ,20170317,"南北大道路上怀疑有油，导致5车发生连环撞车祸，一辆长途巴士更失控掉入大道旁的沟渠！南北大道古来往士年纳方向今天发生了5车连环撞的交通意外，一辆载有36名乘客的长途巴士因失控而撞入路旁的沟渠中，所幸没有造成任何人员伤亡。根据中国报报道，这起交通意外是于今天下午接近3点发生，涉及的车辆包括一辆KKKL长途巴士、两辆罗里、两辆轿车。古来消拯局发言人指出，掉入沟渠的长途巴士只造成该巴士的司机受伤，其他涉及的车辆司机和乘客全都安然无恙。根据新山吹水站贴文，上传车祸视频的网友表示，大道路上疑似有油，因此提醒民众要小心驾驶。Loading FB Video..."
vongolia,20170317,"可以控告南北大道吗？"
alienwong,20170317,"又不是南北大道公司放油，哪里告得进～～～"
Hishammudin,20170318,"可以查查巴士的輪胎胎文是否足夠"
feilong,20170318,"是不是有人故意倒黑油找吃？如果害死人就造孽了。"
monster.inc,20170318,"是下雨天路滑吧。"
肥仔聪,20170318,"车里的人真忙。。。"
hannahwong92,20170322,"不会是人为的吧.........."
梦想之追求者,20170322,"如果大道上有任何障碍物导致你的车损坏，其实是可以向大道公司索偿的油，也是导致损坏的因素之一"
舞猫猫,20170322,"如果是有人蓄意倒油就太可恶                         "
跛co,20170322,"跪求拍照者前面女司机的照片"
