Topic title: 马六甲火箭四毒瘤一走，留下来的直接牵涉欺骗案
username,date,text
寻求,20170320,"转载：【甲州行动党党要土地欺骗案】行动党甲州组织秘书黄志成昨天被警方扣留，今早被带上法庭延扣3天，协助调查土地诈骗案。在被带出法庭时，赶紧用手遮脸，平时很爱上报纸出风头，这次大好机会却死也不肯露面了！多行不义必自毙，学人做老千的下场，條路自己揀，仆街唔好喊。如果退党的是“毒瘤”，这些是什么？吾党之光？涉嫌吉兰丹土地买卖风波的民主行动党甲州组织秘书黄志成，昨天被警方扣留，今早被带上法庭延扣3天。54岁的黄志成是于今早8时30分左右被带上爱极乐法庭，推事阿玛莉雅最终批准警方延扣至本月22日，以协助调查一宗欺骗案。https://www.youtube.com/watch?v=nLgsUiGxTgc"
一燈大師,20170320,"原來林冠英沒看走眼的人是如此這般呀。精挑細選。一目了然。"
山村野夫,20170320,"行动党没变质，只是转型。  "
一燈大師,20170320,"對對對。包裝粉刷，我愛檳城。"
hangz81,20170320,"这一定是国阵污蔑企图打击行动党清廉的形象"
科学就是未来,20170321,"奇怪，这里的人反而较关心前行动党党员丘光耀被捕，这个马六甲行动党组织秘书被捕没有人关心？"
kennyteoh818,20170321,"什么党都一样。只是包装好不好罢了"
Barryliaozs,20170321,"啥毒瘤不毒瘤的，对林神矮陈来说，不听话的就是毒瘤。"
Engineer,20170321,"才一个人涉案就把整个党拖下水"
lumixcer,20170321,"搞政治争生争死为什么？政客那个不是大车大屋的？分别是权大口大，权小口小罢了。。"
一燈大師,20170321,"陳國偉 diam diam 了，怎麼不配合警方和反貪會，火箭進行內部調查，以安民心？又是不承認就等於沒犯錯就不用內部調查嗎。這樣下去，火箭的公信力蕩然無存。"
瘋流材子,20170321,"火箭和称头，你投哪一党？"
一燈大師,20170321,"我選區是 BN 和 PAS，投票時心無雜念，一心一意，力透紙背在 BN 框裡畫交叉。"
瘋流材子,20170321," 了不起，如果你选区是火箭对垒PAS 呢？？？"
misery,20170321,"几个毒瘤搞搞震，合了蓝鸟兵的心意，再让有牌照的黑社会抓抓人，就可以名正言顺的按个罪名了。。。。骗骗自己人是可以的啦。。。"
总司令,20170321,"上次是毒瘤，这次是炮灰。"
一燈大師,20170321,"不投票。    "
leouy,20170321,"毒瘤出走，警察立刻找上门，天时地利人和"
瘋流材子,20170321,"如果大家都像你，这国家会怎么样？"
一燈大師,20170321,"宗教政黨和煽動政黨消失。BN 繼續執政，照顧馬來西亞各族群。"
kmrddecade,20170321,"还能怎样，说不定还比现在好"
leeds17,20170321,"州组织秘书,蛮高阶的，现任的？"
