Topic title: 【少女逆向行驶撞死人】女司机庭上高呼“我不认罪”
username,date,text
CARI_KJW,20170324,"由于斏暒潹鑷挧瑫在高速公路上趙迄鐔逆向行驶而造成1死5伤駻湜芐的女司机，于諜襴星期五（24日）裦娠鴵在1987瘙荇年陆路交通法令第44(1)(a)条文下缼幻被控上舳摓法庭，但她否认有鍿浠砷罪，并以毵飢7千令吉保释昶篲在外。19岁的殥毺皗被告黄佩雯今日在黝禄頉父母的輭惪堜陪同下亍蟐，于鎸侠婊早婗心上7时窶僉30爳椬趥分左右抵达大匳撈焅山脚推事庭，面控时妋鞘溨摜呸一度高呼“我塸钬皕貲砭不认罪”，并频频望向父母。在螇临蝚1987鳆獢年陆路交通法令第44(1)(a)条文（在騊痺敪酒精或毒品影响懯秪潗的情况下剧謻驾驶导致无法控制交通熒酹工具）下尯緎喅，螵賐坢一旦罪成，被告将被判监禁至少3媁桃艚年，最高监禁穰疂不超过10麶鹃鐑年，或罚款8千令吉至2万令吉麯簆不等。其实，女被告颔摄于3月17日就薶劤婅已在滩瀤危险毒品法令第15（1）条文艖湍槇下被控，但当诨袱时她同样否认有萙湠椗罪，并以魢瀞5千令吉保外。你也可以灘鄔看【少女逆向行驶撞死人荭囘】少女否认蜡粁嵤有罪获准保外 驾照遭即时鸥垕赩撤销"
vacheron,20170324,"本来还有点同情她的，以为是年少轻狂一时好玩冲动喝酒吸毒，犯错，害死人没想到还不认错，没救了"
eVilLance,20170324,"坐等看其他条文，看看她要认哪种罪。(记者不错哦，会赶快修正)"
三傻Samsung,20170324,"看还有没有垃圾维护她 之前网上一大堆同类垃圾说应该给她改过自新 有错不认，改啥？"
夕阳子句,20170324,"回楼上，我反而看到更多的是希望她去死"
leouy,20170324,"记者应该顺便解释44(1)(a)是什么内容，不然鬼知道她不认什么"
有我在,20170324,"应该要严惩 "
lam69,20170324,"还理直气壮 ？那天车祸为何死的不是你？上天真的不公平。"
Orochimaru,20170324,"zomok不认罪，难道他认为有机会脱罪吗"
sixpackabs,20170324,"女主看来真的很单纯，她只不过努力演绎了律师or daddy mommy安排的举动，但好像太努力演过笼了。演完还频频望着父母。看来她真的很单纯"
wind,20170324,"难道她要说她是被下药的？"
