Topic title: 甚么时候大马才能做到美国那样？
username,date,text
潘君亮,20170324,"在强调1Ｍalaysia的大马，如果你到政府机构不懂得讲国语的话恐怕被骂，反观世界强国的美国，如果你身为华人公务员却不懂中文的话反而被炒。其实懂得中文还不够，懂得中文的主要目的是要会融入华人的社会，所以有远见学习中文拥有世界观的美国人如今被视为不可多得的人才，他们都会收听或收看海峡两岸的新闻或电视电台节目，走在世界的前端。不过，这些都不是那些庸才所能理解的,他们甚至将此视为笑话或谎言，实在可悲。怎样的思想就造就怎样的人，怎样的人就造就怎样的国家。美国华裔二代不会中文反被炒 据美国《世界日报》报道，“不少华裔政府员工因不会讲中文，也不了解华裔社区，而被联邦或州府、市府解雇。”联邦中小企业署(SBA)经济发展专员郭曼丽为华裔讲述应聘政府工技巧时强调，华裔特别是美国出生的二代一定要保留多元文化优势。纽约华侨学校校长黄炯常也强调，很多非华裔都在学中文，政府部门甚至出钱给员工补习，华裔切不可将中文丢弃。　　郭曼丽透露，随着华裔移民的增多，联邦政府和纽约州政府都在加紧扩招华裔员工，让不少移民受益。不过她见过很多华裔政府员工在上班几个月后就被解雇，原因是他们虽然长着亚洲脸，出身华裔家庭，但完全不会讲中文，也不了解华裔社区的需求与问题，无法满足政府打入华裔社区目的。“华裔与美国人竞争政府职位时，最大的优势就是会中文及对华裔社区的了解，在美国出生的华裔二代千万不可丢弃这一先天优势”。　　黄炯常表示，近年中文的重要性越来越明显，连政府也支持员工学中文。“今年我校成人班里有两位学生是市政府员工，学费是政府付的，因为他们工作时需要用中文。同时学校现在也有越来越多的非华裔孩子来报名。”他指出，如今全世界人口中四分之一讲中文，该数字持续扩大，纽约华裔二代更不应丢弃中文。“中文学习从小就应开始，幼儿园是打基础，如果成年才开始学就要下更多功夫。”不过在科技发达的今天，他认为让小孩子爱玩电脑游戏，学习中文越发困难。“有些华裔二代还因华人社区老旧而不愿回归，孩子学中文、了解中国文化的机会就更少了。”　　出生在美国的华裔二代朱克表示，非常庆幸小时候父亲“逼迫”自己学中文，让他现在找政府工时多了一份信心。她表示自己三岁都与家人说中文，但父母怕上学后跟不上进度，就开始在家以全英文对话。“直到六岁时，父母发现我一句中文也不会了，又开始每周送我去中文学校，当时学得很辛苦，但现在体会到他们的用心良苦。http://news.sina.com.cn/c/2015-08-23/135332232141.shtml效法羅傑斯，美國幼教市場中文熱曼哈頓一家中國餐廳裡，才一歲多的金髮碧眼美國小女孩用中文對著服務生說：「抱抱。」服務生立刻把她抱起來，驚訝她這麼小就會說中文。     這個小女孩就是投資大師羅傑斯（Jim Rogers）的女兒，中文名字叫樂樂，現已六歲了。     五年前，她的父親、做出人生中很重要的投資，在女兒出生不久，便聘請中文保母照顧，並且規定保母只能和寶寶說中文。羅傑斯看好中國的前景，很早就開始安排小孩學中文。     現在，愈來愈多像羅傑斯這樣的美國父母，他們希望寶寶能夠在未來更有競爭力，除了請中文保母，還早早送他們去中文學校，接受正式的中文教育。羅傑斯最為人所知的，莫過於讓小孩學中文；實際上羅傑斯對中文的重視，超乎我們想像。當見到大女兒樂樂時，羅傑斯要求我們一定要跟她說中文，他不希望中斷小孩的中文學習，而樂樂也用中文與我們交談。頭一回跟一個金髮碧眼的小女孩說中文，感覺真是奇妙，常常要忍住說英文的衝動，才能正常用中文跟她溝通。https://www.gvm.com.tw/Boardcontent_14988.html美國FBI招聘外語探員　會中文最吃香！The FBI is seeking qualified job candidates who can speak foreign languages during a job fair later this week at Houston Community College. The job fair will be held from 10 a.m. to 5 p.m. Friday at the college’s conference center at 3100 Main, according to the FBI。　　The languages currently most needed by the FBI are Arabic, Mandarin Chinese, Dari, Hebrew, Farsi, Korean, Pashto, Somali, Spanish, Tigrinya, and Urdu。"
TMNUTsucks,20170324,"我看就算到世界末日的那一刻都不可能。"
yming2475,20170324,"等到 ～～ 天荒地老 ，海可枯石可烂 。。。"
山村野夫,20170324,"人家恨不得所有华人都加入回教。"
morris43,20170324,"完全走两个不同方向 一个鼓励竞争 一个强调特权"
感妮娜,20170324,"新加坡都学不像了 还想学美国！ 感妮娜！"
CjHyMC,20170324,"学美国的什么东西呢？Trump is not my president?我们这儿学了啊，而且青出于蓝而胜于蓝。开个玩笑，好的不学学坏的，这可不行。别说美国了，学学邻居新加坡就好了。首先有个问题，如果强调，公平，公正，公开的话，那些以前靠着不公平，不公正，不公开的人，估计会跳起来吧。问题是，马来西亚太多这种人了。"
山村野夫,20170324,"那些会跳起来的人是指老马吗？  "
CjHyMC,20170324,"【偷笑中】应该不是老马。老马虽然王八蛋，但是这人还是做了不少好事的。至于我指的是谁，我们大家就意会意会好了。【关键词：英语教数理】"
beoa,20170324,"就等。。。。呗"
