Topic title: 涉嫌烫伤男童屁股 补习老师遭警方扣查！
username,date,text
Cari_PHJ,20170328,"一名补习老师被指控鞭打以及用热水烫男童屁股，今天遭到警方逮捕协助调查！早前一名7岁男童被补习老师带回家进行特别补习课程，两个星期后家人却发现男童屁股有严重烫伤的痕迹，指该名补习老师鞭打以及用热水烫男童屁股而向警方投报，警方今天证实确有此案，并表示已经逮捕了2名女子助查。根据光华网报道，新山北区警区主任泰益向记者证实2名分别为23岁和34岁的女子已遭逮捕，以协助调查此案，但他没有透露嫌犯的资料。他指出，警方将援引2011年儿童法令第31（1）（a）条文调查这起案件。报道称，医生诊断男童蒙受2级烫伤，目前需要留院观察两天。男童的姐姐表示，涉案的王老师至今仍未出面解释，仅透过电话要求和解，但最终事主决定将事件交由警方处理。你也可以看补习老师烫伤学生臂部 前学生、员工为老师喊话：“她是好人！”补习老师带学生回家两个星期，男童臀部严重烫伤！"
flyyellow,20170328,"那两个女人喜欢SM的吗！变态！"
无名好留,20170328,"    男童遭鞭打烫伤．2女教师扣查     （柔佛．新山28日讯）7岁男童遭鞭打及被烫伤案，警方昨日傍晚再逮捕2名怀疑涉案的女教师助查，其中一名教师今午再被带往新山法庭申请延扣。新山北区警区主任泰益受询时，指警方昨日再逮捕2名女教师助查，并援引2001年儿童法令31（1）（a）条文调查。询及被指控鞭打又烫伤男童的“王老师”，是否是其中一名被扣查的女教师时，泰益则未正面回应。据了解，王姓教师是这家位于皇后花园补习中心的副院长。该名7岁男童被补习中心教师带回家进行“特别补习课程”，结果却被教师鞭打臀部，并用热水烫伤；该名教师事后声称，因为上网搜寻到可用热水消散鞭痕，才以容器盛装热水烫男童的臀部。“王老师”有前科彭加兰岭顶区州议员邹裕豪受访时称，被指控烫伤男童的王老师，和他在2013年处理的“补习中心教师呼巴掌导致孩子听觉出问题”的个案中，被投诉的补习教师，是同一人。询及男童的伤势时，他表示男童今日已可出院回家，情绪也未见受到太大的影响。文章来源星洲日报.2017.03.28"
浴血天使,20170328,"好意思要求和解？"
无名好留,20170328,"该名7岁男童被补习中心教师带回家进行“特别补习课程”，结果却被教师鞭打臀部，并用热水烫伤；该名教师事后声称，因为上网搜寻到可用热水消散鞭痕，才以容器盛装热水烫男童的臀部。所谓的教师智商真高"
chtan69,20170329,"老实说，还真的是可以消散鞭痕。只不过换成了烫伤痕。"
Cinabaku,20170329,"家长真的不要这种魔鬼式的补习吗"
Cinabaku,20170329,"他们本来就是培训师！"
Cinabaku,20170329,"大龄童靴可以补习吗"
Cinabaku,20170329,"拉去衙门打50大板！"
kentpua,20170329,"这个女畜生不配为人師表！"
无名好留,20170329,"sm女王"
盡用話題,20170329,"应该用爱的教育，帮他打飞机，以作小惩大戒，也能时刻铭记在心。。"
flyyellow,20170331,"不能  等下孩子上瘾了怎么办！"
flyyellow,20170331,"看来就只有小学程度  "
盡用話題,20170331,"在所难免，这是必经之路来的"
kennyteoh818,20170331,"身材蛮厉害的"
flyyellow,20170331,"必经之路，所以成了。"
GuoZU,20170410,"我很好奇她是这样当上老师的。"
