Topic title: 帮助提升土著企业 纳吉：LRT3的 45%工程将由土著承包
username,date,text
Cari_PHJ,20170329,"首相纳吉今天宣布，我国第三轻快铁计划（LRT3）总值90亿令吉的工程，其中45%（近51亿令吉）的工程将由土著公司承包。根据The Star报道，纳吉表示，政府将会通过土著议程行动理事会的开拓与竞争制度制度，将工程合约颁发给符合资格的土著公司，因此土著公司必须通过竞争获得工程合约，而政府将会以公司的能力作为遴选的关键。他说，政府希望土著议程可以通过这些政策得到持续性的推动，以提升我国的经济发展，同时希望会有更多的土著企业可以因此而提升竞争能力。"
Hishammudin,20170329,"好辦事"
susupapaya,20170329,"不过半，马哈迪的话55都叫开明"
jytxi,20170329,"不知道是帮了他们 还是害了他们"
关东煮,20170329,"马来西亚政府很好的，其他国家的都是抢来抢去马来西亚就，老子帮你安排好！"
盡用話題,20170329,"土著承包商自己会找华人奸商一起分这个康头的，因为华奸商算得比他们精明。。甚么可以偷工减料都知道"
淋神无敌,20170329,"还有55是给朋党的！"
我是无赖,20170329,"tmd，琢磨不是100%。。。。"
monster.inc,20170329,"根本就是阿里巴巴的生意。他們拿到在sub 給華人， 華人再sub 出去。最後的品質你知道的啦。"
bashlyner,20170329,"纳吉给这么少，实际上是在出卖马来人权益了，看看人家槟城行动党怎样照顾马来人的？"
coveygoay,20170329,"51亿，老大鸡鸡20亿，河马15亿，承包商5亿..剩下11亿交给孟加拉外劳去做....然后再向人民汇报透支，然后就可以再A几十亿出来给老婆孩子买名牌包包..."
gavin@_@,20170329,"所以以后马来西亚和中国的projects都会以这种形式来进行，中国拿40%马来人拿60%,最后华人只拿到马来人和中国人分出来的一些骨头，哈哈。相信中国吧。以为中国会照顾马来西亚的华人就慢慢等。"
susupapaya,20170329,"这个是公开投标的，愿公开服输，固打是落后的种族主义，宁要94%公开投标，也不要45%种族固打"
kennyteoh818,20170329,"讲是这样。可能靠近80%都是他们的人"
158797,20170329,"公开投标华人输94%，你知不知道你自己讲什么?"
Orochimaru,20170329,"没有信心，会不会是豆腐渣工程，还是给日本和中国这些铁路先进国做啦"
雷克斯R,20170329,"很好, 繼續這樣下去. knn "
弟兄姐妹,20170329,"我倒觉得55%是给外劳的。  "
春秋,20170329,"阿里的背后还是有巴巴。"
坏孩子1989,20170329,"其实不懂这些bumi的，算不算那些MMC gamuda之类的进去？"
Daewood,20170330,"土族公司拿了tender，也交到华人公司做和完成，白白赚一手"
lumixcer,20170330,"别说看死他们，能准时交货吗？"
50912cmea,20170330,""
PPPTee,20170330,"土族拿到工程后，钱进口袋把工程交别人，工程进展看交出来的钱而延迟，延迟到不能延迟换别人，没钱无法开工再向政府要钱，钱到手不给全用在工程。。。。。。。。。。。。。。。。。。。。。。。这就是他们所说的帮助提升土族。。。。。。。。。。。。。。"
空中说话,20170330,"45%土著？这些所谓的土著还不是巫统朋党公司。没有人脉，没有勾结，你就算是土著也休想拿到工程。"
绝地榴莲,20170330,"然后， 另外的55%难道给了非土著？讲话吖？  你信吗？"
梦想之追求者,20170330,"有能力的土著承包商，没问题；怕就怕在那些承包商是朋党而已51亿工程用5亿sub出去给其他人做"
vongolia,20170330,"最重要是真有能力而不是阿里巴巴，要不然sub 来sub 去，资金扣来扣去，出来的品质肯定差。 LRT 是长远影响后人的工程，我不希望出来的设计品质不好。"
yming2475,20170330,"想问下55%是谁在承包 ？？"
syncsw1,20170330,"只要有关到数字的东西，亚洲经济鬼才的话听听就好。上几个月鬼才说MRT的成本低过预算，结果被piak piak piak到脸肿肿 "
yming2475,20170330,"下次滨州华人让火箭 ～～倒"
扶风,20170330,"45%那么少！"
kingpower2016,20170330,"大家都知道最后还是sub给别家的公司，因都知道他们不在行这工程。"
leouy,20170330,"55%留给刘特昨这种阿拉伯王子的"
Xounds,20170330,"你有捡到什么甜头吗？  "
