Topic title: 谢谢东马人民………
username,date,text
元旦8466,20170331,"阿末炸稀的新朋友爆裂了……=======================355法案巫統不玩了！真相原來是。。。。伊黨拿石頭砸回自己的腳，活該！（吉隆坡30日訊）據探悉，國陣成員黨，尤其是東馬的國陣成員黨領袖堅決反對政府接手提呈355法案，讓巫統在無計可施下，唯有接受大多數人的聲音，決定在國陣精神下，同意不提呈355法案。一名昨晚有出席會議的領袖向《中國報》透露，除了巫統，各成員黨的立場基本上都是一面倒，堅持反對由政府接手提呈355法案。這名領袖說，儘管多名巫統領袖，包括曾公開指政府將會接手提呈355法案，將獲得更多「新朋友」的高層領導，在會議上仍堅持要由政府提呈這項法案，惟最終都敵不過大多數成員黨的反對聲音。聯邦政府決定不提呈哈迪私人法案355，說是國陣協商精神的結果，倒不如說是東馬的反對力量過大及在野黨施壓下，政府不得不放棄這法案。從這結果來看，私人法案變成只是哈迪阿旺及伊黨的把戲，而這套把戲看來最終傷害到自身，這結果會讓本來定位模糊的伊黨，陷入被邊緣化的危機。穆斯林分成3板塊之前有個民調，主要是針對國民對自由主義的看法，結果只有大約三成的穆斯林認為自由主義是一種威脅，簡單歸類為三成穆斯林是宗教保守派，其餘的都傾向世俗主義，包括巫統的民族主義者等。巫統與伊黨合作355法案，就是栽在這種趨勢里頭，保守穆斯林依然沒擴大，傾向民族主義的馬來穆斯林還是大多數，只是這種馬來穆斯林已經分成3個板塊。土著團結黨對355法案，不會因為是穆斯林而盲目支持，這政黨還是比較巧妙的沒被「穆斯林就要支持」騎劫。公正黨則比較務實，不會一味反對，也不會片面支持。反觀行動黨的態度就很堅決，與東馬黨派互不相讓，這反映了個自政黨對自己選票的考量，同時夾雜了法案是否現實等問題。從經濟層面，這種法案對人民毫無用處，還可能衍生非穆斯林及穆斯林之間的隔離。從社會發展角度也格格不入，許多執法都集中在社會基層，往往都無法對權貴有效執行，所以這私人法案，是對穆斯林社會的一種牽制，卻未能對貪污、濫權等有效的管治。伊黨判斷失誤巫統無法用355法案來鞏固自己的勢力，勢必再部署下一步棋。伊黨就慘了，從政黨變成傳教團體，再變成法家分子。政治是制定政策很關鍵的機制，伊黨居然放棄選票來鞏固信仰及加強法律，這種不顧正業的做法，已經斷然自認為輸家。伊黨無法從政治格局出發，而搞些與現實毫無幫助的355私人法案，這讓支持者很疑惑！因為任何政黨都必須現實的意識到，自己的角色、定位及作為是為了誰而存在？從三成保守穆斯林的市場來看，伊黨不是頭大了，就是自己評估判斷失誤。接下來的政治局勢會更加有趣，伊黨與在野黨切割後，又被巫統拋開，自己政治勢力，可能連保衛東海岸版圖都有問題，更別說要壯大。攪局又不能勝選，所以投月亮等於浪費選票，估計伊黨的實力將繼續萎縮，除非再次依附在野黨聯盟，但要跨過馬哈迪及行動黨這兩道高牆，加上伊黨本身的自負行為，未來還是前途茫茫，摸不到石頭，更看不到路。伊黨看來會回到政治原點，甚至連其大本營吉蘭丹也可能會失守，不能有效的治理經濟、水災及就業問題，反而陶醉在增加刑法上，加上丹州子民深愛的領導聶阿茲已經過世，丹州局勢很可能被公正黨、巫統、土著團結黨及誠信黨等入駐。巫統及伊斯蘭黨，這對政治輸家，都怪自己有過多的私慾，導致出發點與現實不符合。當世界都在談經濟及社會發展時，政府主幹政黨卻談如何加深刑法來牽制自己的市場？這種做法都很難得到認同，所以輸家是自己拿石頭砸回自己的腳，活該！既然拒絕355法案「目的」已經達成，就無須再力數巫統的不是，不必讓他們下不了台。立場一面倒根據了解，首相拿督斯里納吉曾在上週三（22日）各別召見國陣各成員黨領袖，聽取大家對355法令的意見與看法，當時各成員黨已說明會堅決反對。「當時納吉並沒有作出結論，他只是聽取大家意見，但相信他心裡也有一個譜，知道成員黨會以堅定的態度繼續反對。」另有消息指出，東馬兩州國陣成員黨在反對中起著關鍵作用，西馬的各成員，包括馬華、民政黨和國大黨領袖等，早已有堅決不讓這項建議通過的共識和決心，但也需要東馬成員黨的助力。早前有報導指出，為了安撫東馬及非穆斯林情緒，355法案據說將特別註明只適用於西馬，不包括東馬，以及僅適用於穆斯林，不包括非穆斯林。但這引起國陣成員黨強烈反對，並指法案把東西馬切割，是「一國兩制」的做法，將嚴重分裂國家。成員黨領袖笑臉離開根據周三晚採訪的記者描述，當會議結束後，會議室門一打開，即可看見現場充滿歡樂氣氛，各個成員黨領袖臉上都掛著笑臉，一身輕鬆。相比起領袖們步入會議室前的嚴肅神情，可以看出他們對會議的結果非常滿意，甚至可以聽到會議室內傳出鼓聲和歡呼聲。東馬33席不能不理根據統計，國陣成員黨共有132名國會議員，巫統佔了其中的86個席位，另外東馬砂州和沙巴國陣成員黨的席位則有33個，足以動搖國陣的決定。因此，巫統領袖在執意接手提呈355法令時，不得不先考量東馬兩州成員黨的意見。另外，西馬3個持堅決反對立場的成員黨，即馬華、民政黨和國大黨也總共有13個議席，這讓國陣內反對政府接手提呈355法案的人數，達到至少46個。"
jellyfish_8,20170331,"你应该谢阿吉哥，他才是话事人。红豆兵不要转移阿吉哥功劳。"
蓝火爆,20170331,"马华和民政党施压成功了。。。。谢谢马华和民政党。"
元旦8466,20170331,"西马成员党已感恩纳吉大帝，无关我们了…"
monster.inc,20170331,"夥賤不是說月亮代表我的心。怎麼也出來搶功勞。"
thunder,20170331,"你的东马要skip掉沙巴，因为基本上沙巴已经是污桶的，砂劳越国也要避免污桶东渡, 白毛一瓜掉，我看离东渡也不远了!"
wong23233030,20170331,"那隻鸡是懂得看风向滴"
deathhell,20170331,"只要东马脱离联邦，西马马上变成虎毒国"
morris43,20170331,"看来大家肚子还是会觉得饿 而不是砍手砍脚打屁屁就会饱了"
jellyfish_8,20170331,"林神一定很伤心，let it pass first pass 不到，不能跟那些拿了几亿的人交代"
