Topic title: 首相納吉印度之訪，成功簽署233億合資項目，反對黨會不會再搞小動作，誣衊首相賣國？
username,date,text
一燈大師,20170401,"即使反對黨這次不誣衊首相賣國，也會說成是印度出錢拯救已經破產的馬來西亞吧？Projects Worth More Than US$5.3 Billion To Be Signed During Najib's Visit To India"
PulauKentang,20170401,"请外嘴小太监国会提议涨首相薪水。。。然后废除GSTOppsss....忘了。。。歪嘴小太监不是国会议员。"
mark,20170401,"又找了个人来填1MDB的洞了..."
syncsw1,20170402,"还没看项目details不能评论，不过以之前的track record来看，老鸡鸡再次吃钱卖国的可能性很大，如果toto有开盘，应该是1.15那样的赔率。比如价值 300亿的铁路项目用高价550亿给中国人做（而且自己国家的contractor是有能力做的），油气项目又以低价卖给中东佬。印度人看了口水都流满地了，肯定也要分一杯羹。"
50912cmea,20170402,"红中！三条！鸡哥：“胡了！” "
50912cmea,20170402,""
alex2083,20170402,"诬衊的功夫第一舍你其谁呀"
Xounds,20170402,"那么GST会废除，过路费会調低，人民收入会提高吗？还是只是一小部分的人有肥肉吃其他大部分的人吃草罢了？马币价值会提高回来吗？"
2722koo,20170402,"所以书上说愚民就是愚民。。人說什么就信什么。。自己拿钱出来盖铁路?不如說不借银行现金买房子就好，不用利息"
look586472,20170402,"看了一下5个合作内容： 印度要在马来西亚建尿素氨气工厂，然后在印度建一个氨气接收工厂把氨气运回去。然后是马来西亚Contractor标印度的工程，印度说那你的铁路工程我的Contractor也要标。最后是大马公司在印度要了一块地建工业园。总体来看都是互相要价，似乎没有谁比较得利，而且合作的项目也比较初级。"
一燈大師,20170402,"不難明白，有劉鎮東這種愚昧道理，的確會影響許多火箭粉的。"
pcmont,20170402,"会偷钱的管理者。。。再会做事也是没用滴！不要以为偷了钱就没有报应，哈哈。。。有的好受的啦，这班人"
iamseller,20170402,"我还是相信有天理的，迟早会被天收。。。"
crovoseas,20170402,"太好了，马来西亚这下应该会多了至少上千个在工厂工作的机会，反对党整天说国家破产，那都是谎言！现在很明显伟大的总理找了很多工作机会给马来西亚人，努力工作还债，哪里会破产，你说对不对？题外话：马币会升值吗？"
morris43,20170402,"这下好了 甲重粒们群起欢呼感恩感恩的让尿素氨气厂建在它家后院 每天闻一闻神清气爽 早晚吸一吸精神百倍"
50912cmea,20170404,""
一燈大師,20170404,"好棒棒。千多億呀。酸死檳城州首長了。"
50912cmea,20170404,""
阿杜,20170404,"火箭狗眼红了，在骂娘了"
一燈大師,20170404,"少了馬哈迪的 『賣國論』 和慕尤丁的『搶飯碗論』，這些火箭粉迷失了凝聚點，都找不到話題來攻擊 自己國家馬來西亞貿易投資。"
JowY,20170405,"妖言惑衆"
syncsw1,20170405,"哪一句？"
