Topic title: 女学生遭陌生女子群殴 还被扯下裤子非礼！
username,date,text
Cari_PHJ,20170405,"学校再传出霸凌事件，一名女学生不仅被群殴，还被脱下裤子非礼！警方于星期二（4日）接获家长投报，指就读中四的女儿于上个星期在学校被一群女生殴打，甚至将女儿的裤子脱掉非礼。根据马来邮报报道，这名女学生相信是于上星期二（3月28日）傍晚5点左右被一群女子带到学校后方进行殴打，女学生的裤子还被强行脱掉。报道称，女学生乘坐摩托车到校后，却被两名陌生女子抢掉，随后更强迫女学生跟随她们到学校后方，最后便开始辱骂女学生，以及狂打女学生的头。除了被这群女子殴打之外，女学生的裤子还被强行扯下，甚至被遭到乱摸，而整个过程也被拍摄下来并在网络上被疯传。基于自身安全考量，女学生最终于星期二决定向警方投报。"
aurorau,20170405,"说好的疯传视频呢？佳丽记者为什么喜欢玩一半半？"
夕阳子句,20170405,"比起你的废文，网友更想看视频"
tanxinrong,20170405,"为什么你们喜欢霸凌佳礼记者？"
使用者,20170405,"米有圖片 + 米有影片 很難鑑定的wor～"
noman,20170405,"要翻譯至少也寫出那個地區的學校好嗎？看了都不懂是馬來西亞的學校還是國外的中學。。。寫一半不寫一半。。。要快也至少要自己校對一番才出稿嘛。。。這些東西還需要教的咩？"
没来racer,20170405,"吊起来大力潘潘到她们嘴歪"
longisland0708,20170405,"視頻呢，瘋傳的話這裡的人都該看過才對啊可是我們都沒有看過啊"
Akira_sendoh,20170405,"这一定是马奶人干的"
vacheron,20170405,"女摸女 会爽？"
ss24,20170405,"网络上不需要隐藏真面目。。。。也可以当作宣泄压力，所以很多人喜欢在网上批评谩骂。。"
阿白,20170405,"这是新闻吗? 地点? 州? 国家?"
华人美国队长,20170406,"坏学生"
淋神无敌,20170406,"行动党的祸根！！！！！！！壮大回教党的结局。"
郭浩,20170409,"哪里的新闻啊？"
aquamax,20170409,"XMLJ中文啦。。报道称，女学乘坐摩托车到校后，却被两名陌生女子抢掉"
leca99,20170704,"坏学生"
瘋流材子,20170704,"行动党当反对党失职，下届让他们做政府吧，就不会再有这些事情了"
他旺,20170704,"我只在乎受害者是不是华人。"
友仔,20170704,"没图+没有视频"
Marc,20170704,"这事件发生在Marang丁加奴，马来邮报报道的。。 http://www.themalaymailonline.co ... utm_medium=facebook"
