Topic title: ISIS也赌博？ 被捕嫌犯揭发大马ISIS网赌筹钱！
username,date,text
Cari_PHJ,20170411,"一名落网的ISIS嫌犯揭发大马ISIS负责人，为了筹集更多的资金，竟在我国投资网络赌博生意！在马来西亚恐怖主义组织伊斯兰国（ISIS）负责人莫哈末万迪日前被揭发，该组织为了筹集更多的资金帮助其他的恐怖分子，竟利用支持者的活动资金在我国做网络赌博生意。根据每日新闻报道，一名被逮捕的ISIS成员透露，万迪吩咐ISIS的支持者将资金存入一个据称是恐怖分子的银行户头里，但据了解，拥有这个户头的是一家位于马六甲的赌博公司。报道称，万迪所投资的网络赌博生意，相信还有数名恐怖分子的参与，但其他人则毫不知情。当这几个人获利后，便会先将资金汇入其他人的户头，继而转账到万迪的户头。而根据武吉安曼政治部反恐组主任阿育汉的说法，万迪是一位非常善于赌博的人，曾在前往叙利亚之前，活跃于网络赌博活动。阿育汉指出，这些ISIS恐怖分子为了筹集更多资金进行活动以及招募更多新成员，选择透过网络赌博的生意来获利。"
thunder,20170411,"以神之名所做的所有事情都是哈啦的!"
空中说话,20170411,"赌博不是 haram 咩？"
瘋流材子,20170411,"令人费解的宗教"
空中说话,20170411,"玩MG更好赚，Is 不懂吗？"
探险家,20170411,"搞一个世界首富哈利法就行了....."
alienwong,20170411,"他们的宗教不是禁止赌博的吗？到头来，都是他们自己讲，自己爽！"
没来racer,20170411,"zomok要有胡须"
vongolia,20170411,"果然很halal  "
h3op,20170411,"做莫没人介绍他们进jjptr"
皇上爱皇朝,20170411,"John神怕被炸死  "
阿白,20170411,"只要有帮助到杀死异教徒, 穆尸淋干什么勾当都是上苍允许甚至歌颂的."
无人达人,20170412,"想象。以现在马来西亚市场有也来也多某种外劳在经营的生意。开始地毯的，后电子。现在好像看到有卖家私和便宜货了。会不会也是他们的人呢？！如是本地人开，但真的没看过有本地面孔在店里。每天都是他们的人而已，自己开关门。"
beyondseek,20170412,"嘿嘿, 說不定某些money game就是他們的, 拿大馬貪心人的錢集資送過去給ISIS."
beoa,20170412,"清真吗？"
chtan69,20170412,"全部宗教都是有心人拿来利用其他意志力弱人的工具而已。很多人都会说钱生不带来，死不带去。可是却不知道宗教迷信神怪还不是一样。等你死去时，什么神什么宗教对你也是一样的毫无意义。结果就是成就了有心人的利益，做了一世的凯子。"
JackyTan1988,20170412,"找张健合作呗"
Lookforjob.kl,20170412,"神奇，什么都可能发生"
Upgraded,20170412,"这个宗教已经病的很严重了 ~ 但奈何。。。 所有的信徒都不可以怀疑，不可以问。。"
kentpua,20170531,"这些伊斯兰教有什么事情不敢做的？"
mikok730,20170621,"是自己要賭就说吧"
