Topic title: 【男子用头盔狂打狗】无法容忍男子行为 美国公司终止合作关系！
username,date,text
Cari_PHJ,20170412,"早前因不堪屡次被狗儿攻击而用头盔殴打狗儿的视频引起了热议，涉事的新加坡男子不仅遭到网民讨伐，还因自己的行为导致公司被终止合作关系！声称因情绪失控所以殴打狗儿的新加坡男子Terry Yee在马来西亚经营着一家名为Tearproof的公司，而与该公司合作的美国背囊品牌OspreyPacks在获悉Terry的行径后，宣布终止与Terry公司的合作关系。根据马来邮报报道，OspreyPacks生产与市场管理副主席Rob BonDurant表示，在看了有关的视频后，认为Terry的行为应该受到谴责，而该公司不会无视这项行为，目前已经采取行动，断绝与Tearproof经销商的生意来往。Rob BonDurant强调，决定断绝合作关系，是因为该公司无法容忍一切不人道、暴力，以及伤害动物的行为。Terry是于日前被拍摄下在一处保安厅拿头盔狂殴狗儿，而有关视频也引起了网民的谴责。但Terry随后受访解释，自己因多次遭到这只狗儿的攻击，一时情绪失控才会做出如此反常的行为。据悉，Terry也是一名爱狗人士，但朝他狂吠的狗儿曾在大雨中攻击他，甚至令他丢失了订婚戒指，因此才会情绪失控。新闻背景：你也可以看【男子用头盔狂打狗】曾多次被狗攻击 “情绪失控才会打它！”"
Don2011,20170412,"别怪狗儿。网民和狗儿，打网民就好。需要的话，大陆山寨货应该也可以考虑的。"
chtan69,20170412,"结果是狗比人更值钱。这个世界变了，变得伪善愚爱。"
匿齐,20170412,"很难相信狗儿曾多次攻击他的说法，如果狗儿曾经过他，那他下次经过的时候有一定的防备，不过视频所看到的是他完全没有防备。"
山村野夫,20170412,"大快人心，炒得好。"
aquarius@,20170412,"好奇为什么为个受害的小动物讨公道会让你们这么不平衡? 那狗杀过你全家?施虐者不该被惩罚? "
adamlevine,20170412,"不知道谁才有疯狗症，这种狂躁症的我也不敢请"
Coffee-w/o-Mate,20170412,"正如你说的，人类是伪善的，狗儿是真心的，所以我宁愿爱狗。"
leevis501,20170412,"虽然我们无法容忍这等行为，但世界确实是变了。"
肥仔聪,20170412,"老兄，个别案件啦，这个人根本就可以克制自己的暴行。。"
chtan69,20170412,"你没被狗在街上追过你可以大声。本身也试过几次骑脚车被追差点跌倒的经验。也见过别个骑士被追在大街上跌倒的实况。大街跌倒分分钟是会死人的那种。司虐者固然有超过可是该不该这么大动作好像那人应该是死罪一样。你全家没被狗杀就讲风凉话？再说我又说过不该惩罚吗正义超人？既然这么有慈悲心麻烦你也对人类慈悲点吧 而不是只是对畜生而已。"
chtan69,20170412,"狗杀/伤的人会少？可爱。"
vongolia,20170412,"不是狗的问题，是这人无法控制自己情绪的问题，这种人很容易一时冲动成为杀人犯或伤害其他人的。。。"
leouy,20170412,"虽然看到这样很爽，但是这样也证明经销商这事业毫无保障"
chtan69,20170412,"我也是觉得有点超过。至多也是应该给点教训就好。不过看看这里很多的正义达人就是只会攻击人来表现自己的爱心慈悲，真的不敢恭维。"
leouy,20170412,"你说的那些和这件事无关，你只能搬无关的事出来大声了"
chtan69,20170412,"对咯，都是人的问题。小狗时当心肝宝贝，老了就放逐在外危害道路使用者。根本就是人的问题。"
patrickchin,20170412,"自己的情绪暴躁就怪在那只狗上。。。视频上看，那只狗都没有攻击到他，只是跑过去吓了下他而已。。狗是不会自己去攻击人的。。除非是他自己平时有做过某些动作而令到这只狗对他有恨意。。还说自己是爱狗之人。。puuiii。。如果是爱狗之人就应该清楚狗的。。而不是那样暴力的打狗。。"
chtan69,20170412,"又不是没领教过爱心爆棚的。你赢完，ok。继续吧。"
aquarius@,20170412,"我也有被狗追过，但我从来没有要报复的念头。那天我溜狗也是被别人家的狗挑衅，但我也没有要报复。是不是小动物不会说话就比较好欺负?和一只什么都不知道的小动物计较，还敢称自己是是人? "
NyD-WiLL,20170412,"活该。难怪之前会出来说谎道歉，原来关系到利益。"
vongolia,20170412,"乱放危害道路使用者可以通知市政局处理。 但你自己动用私刑就不对了。 这人很明显有情绪问题，就算今天不打狗， 以后驾车出街被人honk 他也会瞬间变路霸。 "
leouy,20170412,"你要把其他事带出来也可以，要拿人狗战是不是？工厂狗你没领教？谁把它们召去工厂的？"
肥仔聪,20170412,"网友以个人观点给与评语攻击，身边亲友或路人的指点已经算是一个教训了。。我不敢说以上的算不算对于这个人已经是很足够的惩罚，但对于某些人来说，如果这个人一天还好好活着的话，肯定是不足够的。。"
chtan69,20170412,"小动物在大街上最骑士后果会多严重你可知道吗？对小动物不计较反而对人却是斤斤计较，谁才不是人？你要问责的是问什么这狗主人会允许把狗带上街而又不好好看管。不明白你是什么心态。就是以为的为狗想而不站在人立场想。"
aquarius@,20170412,"人虐动物可多咯，天天都在发生，是你选择性失明而已。斗牛斗鸡斗狗车拖狗高楼丢狗虐打小动物数之不清。"
空中说话,20170412,"这边的人落井下石最厉害。"
chtan69,20170412,"网民何曾不是也是对那人用了私刑。人家生意都砸了，就放人一条生路呗。何必又要一味的诅咒评击恨不得把自己的爱心表现出来要把那人打入十八层地狱。"
crovoseas,20170412,"人有lansi人，狗也有lansi狗的；如果你认同狗是可以教大小便的，lansi狗有时也是要给一点教训的，不过这位仁兄“教训”得过火了。"
chtan69,20170412,"我有说少吗？可是狗追骑士导致的车祸你知道有多少吗？"
aquarius@,20170412,"事件guard dog是在guard house, 不是大街上。就算怎样也不该如此虐打它，同理心是身为一个人的基本!  又不见我被狗追要打狗? 顽皮小孩弄我我是不是要以牙还牙? 有些狗主不对，就去找狗主理论啊，打不会说话的小动物就比较爽? 算什么男人? "
chtan69,20170412,"这才像人话而不是像某某就只会评击人来表现自己的爱心。"
元旦8466,20170412,"其实怕被狗追或咬的人士、无论是走路、脚车摩托的、狗追你时你只要停下假装弯身捡石头，狗都会停下的、你好彩的话真的捡到石头丢狗的话，多兇狠的狗都会逃之夭夭的，万试万灵…注：除了那些没出过街的狗…"
