Topic title: Money game会影响到云顶赌场生意吗？
username,date,text
鸡不择食,20170414,"普通市民如果想赚钱的话，应该是不会想去了，玩$game不是更好？捞偏洗黑钱的人的话，去云顶赌场可以洗，玩$game因为要Online bank in，怕被捉除非直接用现金交给$game公司。如果这两类人都去玩$game的话，云顶生意多多少少会受影响，因为只靠Theme park生意应该很难维持。欢迎大家发表看法。"
盡用話題,20170414,"赌钱追求的是刺激的快感，money game纯粹是为了赚快钱。。所以赚了快钱再上云顶买刺激，云顶更赚钱"
蓝火爆,20170414,"当Money game全军覆没时，云顶赌场还是老神在在。"
XHunterOz,20170414,"明知money game 是什么东西还是很多人要进   保重 ，祝你好运~"
weiwei318,20170414,"当然是不会，malaysia非常多人是做小贩的"
探险家,20170414,"中国贪官大把时, 赌场生意超好.....Money Game上面的那几个大头, 因为得来的钱轻松容易, 所以也会去赌场做大爷, 所以赌场的生意应该也会变好....."
CjHyMC,20170414,"当然不会。Money Game的坑自己的下线。云顶坑自己的赌客。各坑各的。而且，那些会被Money Game坑的，他们的筹码搞不好云顶还看不上呢。"
CjHyMC,20170414,"云顶赌场：在我面前，你们这些Money Game都是渣渣。坑人界的贵族，四世三公。哪里是Money Game这些坑人界的暴发户能比的？我们云顶坐在那儿，就有人送上门来被我们坑，哪像这些Money Game，坑人还要去拉下线什么的，坑人界的面子都给他们丢光了。Money Game坑了几分钱就能够和云顶赌场相提并论？笑话。"
仓底货,20170414,"百亿俱乐部的成员那么容易被垃圾影响到咩？垃圾是经不起时间考验。"
kwai56,20170414,"Money Game不會影響雲頂 "
yming2475,20170414,"MONEY GAME 槟城比较多"
us2009,20170414,"无论如何它们俩都得捐部分钱给鸡鸡的人不然早就倒台了"
热血江湖,20170414,"9仔。。。picture。。。yes山顶的百家乐比较刺激咯"
NickNick,20170414,"money game 会令云顶生意变好。因为我有想过拿money game 赚到的上云顶搏杀。我一个月从 money game 得到 RM 1000, 我就有RM1000的本钱上云顶搏杀更多！"
NickNick,20170414,"money game 得到的也不会说很多罢了。够吃够住而已。。所以，当你从 money game 中赚了本钱，你就会拿本钱上去搏杀！"
thunder,20170414,"我只知道云顶最近送很多free 房，可能生意不好吧!"
kmrddecade,20170414,"money game影响到的是银行，最近越来越少人拿钱去银行收了，长久下去，银行倒闭不是没有可能发生的。money game的祸害比纳吉大很多倍，但是很多人支持money game，而且多数是大选时投民联一票的支持bersih的华人，讽刺吧。不过这也在情理之中，因为这些人都只会听自己想听的而不是听事实，你没有办法救他们，而且接近他们只会连累你自己。"
蓝火爆,20170414,"坦白说，Money Game目前最影响的就是阿窿。。。。没有人借钱生意变差，很多阿窿也跑去玩Money Game了。"
512MB,20170414,"money game的祸害比纳吉大很多倍以上这句，马华网络兵团终于承认纳吉是个祸害。  "
kmrddecade,20170414,"就是这样，总以为自己很聪明，可是没有想过自己正在冤枉其他人。马来西亚某个政党玩的就是传销式洗脑，不准有人对他们的党有任何疑问，如果真的有，就派人骂他们，骂道他们不敢有任何疑问。才八年不到，就把人民训练成好像现在这样，现在好咯，给money game公司看到这个情况还不大举进来做生意。Bersih啦，Ubah啦，被抓到还会喊 26亿的你不抓，你来抓我这个money game?"
us2009,20170414,"请拿出证据多数玩money game的就是投在野党的华人 "
us2009,20170414,"十年前 第一次认识money game就是公司的马来经理介绍 那时没玩如果你和很多马来人一起 就知道他们也是有玩"
kmrddecade,20170414,"啊，如果你不是平常住在森林的就知道这些事是不需要证据也可以知道的。"
kmrddecade,20170414,"因为如果是投马华的玩money game，我们大家都在这里拍掌跳舞庆祝咯"
us2009,20170414,"你就是那位住在森林又拿不出证据证明的人 没证据只会网上说大话 "
us2009,20170414,"有证据就去报警无论在朝或在野党 谁有份就捉谁没证据就不好乱乱讲 "
kmrddecade,20170414,"我说的是玩money game的民众，你是从哪里看成我说主持 money game的是谁谁谁的？"
bell9113,20170525,"现在如果要玩money game 请三思再三思 哈哈,,,"
lumixcer,20170525,"赌仔心态是这边衰了，就那边搏回，云顶应该会更旺场。"
