Topic title: 北馬著名聞人 發展商遭反貪會扣留
username,date,text
无名好留,20170414,"北馬著名聞人 發展商遭反貪會扣留 獨家報導（吉隆坡13日訊）繼2名分別擁有“拿督斯里”及“拿督”頭銜的華裔發展商父子于前日被反貪會扣查后，本報探悉，北馬一名著名發展商也于今日凌晨遭反貪會扣留。消息說，該名華裔發展商是北馬一帶著名的聞人，反貪會積極展開深入調查，以便搜查更多資料。值得一提的是，即使這名最新落網人士被扣查，反貪會至今尚未對此案發佈任何案情。擁頭銜發展商父子被扣留前天，2名分別擁有“拿督斯里”及“拿督”頭銜的華裔發展商父子被反貪污委員會扣留后，被延扣6天至本月17日，以助查檳城土著基金會公司的土地醜聞。2人昨早10時50分被帶往檳城法庭延扣，推事莫哈末阿敏批准反貪會的申請，延扣兩人助查。來自反貪會總部的隊伍前日傍晚6時57分，分別扣留74歲的拿督斯里及其47歲兒子，並押返檳城反貪會總部。這名拿督斯任職一家房地產發展公司顧問，其兒子則是執行董事。曾涉及檳城多個地方的房地產發展，包括甲拋峇底和丹絨武雅。转自中国报http://www.chinapress.com.my/201 ... %e6%89%a3%e7%95%99/"
无名好留,20170414,"这不是什么新鲜事了吧。。槟城很多建筑/承包商/发展都是涉及偏门的"
仓底货,20170414,"是不是 Hunza 的许金主？"
无名好留,20170414,"我也不清楚，暂时还没有详细内容。。"
盡用話題,20170414,"阿吉从1马那里死过翻生之后，现在都很積极的反贪腐了。。"
lumixcer,20170414,"搞lubang的东西，又不是今天才发生，老早已成文化，碎料来的。。"
dupont378,20170414,"没有 Lubang 哪来的交易和姓马的来往 会被拉去垫背"
us2009,20170414,"鸡鸡近来很缺钱用一直找人开刀大选今年一定选"
李国锋,20170414,"北马那个是谁?"
山村野夫,20170414,"知错能改，善莫大焉。  "
gaomin,20170414,"我也想来一个大大口，然后，知错能改，善莫大焉。"
syncsw1,20170414,"阿炳：还好不是去年被抓 "
BILLCLINTON,20170415,"这些低级中文报员工报道普通人时就连名带姓抄通家要是有钱佬就拿毒上下连A都不敢A当真是最没水准品味的人渣！"
東區一匹狼,20170415,"7447 HUAT AH!!!"
无名好留,20170416,"7447 是什么？Axis Incorporation Bhd？"
一燈大師,20170416,"貪污這種活動，自 Francis Light 和馬華民政時代就有了，是前朝和英國佬的錯。"
李国锋,20170416,"还不知道是谁吗?  火箭的金主?"
otkkalahteruk,20170416,"不知在怕什麼"
