Topic title: 民進黨行动党  一切的千错万错都是前任的不对
username,date,text
cct2050,20170415,"学台湾民进党高层，千错万错都是前任的不对 ！.行动党邓章钦 ：  雪规划指南以前拟定，马华是祸首行动党淋吉祥 ：  马哈迪宣布大马是回教国，马华并没有反对！民進黨陈亭妃 ： 导弹误射，馬英九的错民進黨蔡適應 ： 台灣使用毒品飆高，是馬英九任內沒有做好。"
820514.jpg,20170415,"能推脱责任就是他们的本质"
钱归清真.jpg,20170415,"看，都說了是演戲老將。先用自己製造 “辭職謝罪” 的氣氛後，就推馬華出來。"
14980551_10154200543027956_7329624349306136232_n.jpg,20170415,"我最期待的畫面出現了。"
garrod,20170415,"内事不顺怪中立，外事不顺骂马华。"
一燈大師,20170415,"英 ： “都是马政府的错！”"
一燈大師,20170415,"最经典是他们把回教党壮大，欺骗华人不用害怕回教法，现在却赖马华。"
CjHyMC,20170415,"民进党没有错！中国国民党的错！"
7064,20170415,"喊什么冤吵什么了？虽说事有多面但总有其事实成份存在你能否决本小姐言内的事实吗"
李国锋,20170416,"笑死我了 加油吧"
NickNick,20170416,"李国疯你好,你还记得你嘲笑朱玉叶的事情吗?"
..parislean.,20170416,"台湾民进党  出事 找馬英九马国行动党  出事 找馬华都在找马  嘿嘿"
qiqimon5566,20170416,"说白了。。。。。火箭就是民进党的徒弟。。。。。。"
pupuman,20170416,"putputman你好，你还记得你污蔑别人pusing到底后无力反驳弃楼而去的事情吗？"
cct2050,20170416,"翻版民进党，翻版陈水扁，像到十足。"
莱殊,20170416,"人家纸镇胆互换了几次   大家互喷对方的错好像一时也难以反驳  反观马乃的纸镇胆从没换过 但为何千错万错都在野的错多 纸镇的受委曲多一点"
Ragnarok026,20170416,"中立好,我没逃跑,没力回答你。你写一堆,无非像帮沙不利解释,他反驳儿童强奸法令已是意图不良,不管他原意是什么,他已经得罪全世界尊重女性的人。(你和其他马华中立有点不一样,但你取的方向我绝不认同)"
山村野夫,20170416,"你知道你前面写“无非想帮沙布丁解释”，后面又重复阐述了一次我当时在帖里说的东西，是很矛盾的么有时候我也无须强迫别人去接受我的立场什么的，每个人都有自己的立场选择自由但是在我把立场表明到那个程度却还是要被人硬生生扭曲成别的意思，你就不能怪别人把你逼到墙角了我说过，这类人的脸从来只会是自己丢的。"
morris43,20170416,"鸟足8年除了鸟还是鸟，倒不如还是下来吧，用嘴鸟人的事交给网民就好了，省下人民的纳税钱"
pupuman,20170416," 之前我發過開過一個樓了，談的就是馬來西亞的華人藍X兵最愛拿台灣民進黨來攻擊行動黨。但是他們麼對於台灣政治卻一知半解，拿民進黨來攻擊別人，其實就是拿來攻擊自己。因為他們的招數就是最像民進黨。https://cforum.cari.com.my/forum ... =3888620&extra=藍X兵最愛談的那個陳水扁夫婦，行事作風跟馬來西亞那個政治夫妻是最相近的啊？想不到？想想下珠光寶氣，再想想下專機，然後全家都是貪得無厭的。到底是像那個家庭啊？"
pupuman,20170416,"你不要好像扮好人正义令然说教,你根本在维护一个烂权蔑视女性的污桶人, 全世界都鄙视他唯独你替他分析辩护"
cct2050,20170416,"淋家，那个最像"
jackyboy05,20170416,"火箭最近时运不济，一直被鸟。"
Ragnarok026,20170416,"廖德来·先奸后娶，不可取沙布丁的插曲已结束，人们需要把专注力移回更重要的国家大事，如来届大选即将到来，符合资格的选民，请不要受投废票言论的影响，秉持国民的责任，即刻前往各选区选民服务中心或邮政局进行选民登记，我们的国家需要你我他的参与和监督，才能把国家发展导向正轨。日前，我在出外采访的路上，听见广播电台的嘉宾分享一则强奸犯与被强奸者被迫结婚的故事。一名女生遭强奸，其家人因“家丑不可外扬”的心态，前往强奸者家里进行“谈判”，最终双方家长达成协议，敲定了彼此儿女的婚姻。丈夫看似重新作人，但女生与丈夫共处一室仍心有余悸，夜里常发恶梦，甚至还在床底藏刀，以防不测。后来，彼此有了一个女儿，女生却发现丈夫对女儿毛手毛脚，更发现他还强奸过其他女子，这样的困境令她不知如何是好，要揭发丈夫的所作所为？还是继续隐忍这一切？这对她而言，实为天人交战。这样的真实故事分享，无疑打脸巫统国会议员沙布丁的“一名被强奸的女子能够与忏悔的强奸者结婚，其未来就不会一片漆黑，可以有一个更健康与更好的生活，这是社会问题的补救方案”的言论，这看似解决了强奸引发的社会问题，却隐藏诸多家庭与心理问题的导火线，真实个案的女生不仅需要进行心理辅导与治疗，女儿还需特别照顾，丈夫还须接受法律的制裁，因为他确实犯下了刑事罪，即使结婚也不能逃脱犯罪的事实。有关沙布丁“先奸后娶”的言论，除了普遍引起众人异口同声的谩骂与宣泄，也有极为少数为他表示同情的言论。若听回他在国会回应张念群和西蒂玛丽亚的录音或翻译，他没有鼓励或认同“先奸后娶”的合法化，只是在阐述国内这种先奸后娶的情况，同时也表明强奸是违法的，需要受到法律的制裁，连伊斯兰都不能豁免，但却遭人断章取义说他支持这项言论，这样的现象令媒体从业员如我值得深思与借鉴。我国过去有9000多起未成年成婚的案例，这不禁令人担忧女性的处境，而要减少案例的发生，除了男性的自我克制，还有家庭与学校性教育的加强与普及化，同时教导女性保护自己，了解遇到这些犯罪问题，以及整个报案与法律的程序。沙布丁的插曲已结束，人们需要把专注力移回更重要的国家大事，如来届大选即将到来，符合资格的选民，请不要受投废票言论的影响，秉持国民的责任，即刻前往各选区选民服务中心或邮政局进行选民登记，我们的国家需要你我他的参与和监督，才能把国家发展导向正轨。王丽萍·误会此事件在主流媒体与社交网站广泛讨论，包括指他不配当国会议员，有的网民甚至扯上其孩子，以及涉及不堪入目的批评。这事件的焦点盖过了已获国会通过的2017年性侵儿童法案。巫统打昔牛汝莪国会议员沙布丁上周在国会参与2017年性侵儿童法案辩论时，卷入发表“先奸後娶”及“9岁女生适合结婚”的争议，遭受四面八方的讨伐丶朝野政党及网民排山倒海的批评。此事件在主流媒体与社交网站广泛讨论，包括指他不配当国会议员，有的网民甚至扯上其孩子，以及涉及不堪入目的批评。这事件的焦点盖过了已获国会通过的2017年性侵儿童法案。沙布丁虽然反击对他所作出的批评，直斥是媒体断章取义及扭曲言论，但在铺天盖地的批评声中完全没有说服力，反被认为他就像过去许多发表不当言论的政治人物一样的在耍赖和逃避责任。沙布丁在国会参与辩论时的影片已在网络上广泛传开，但真正把短片看完才作出评论与批评，以及了解当时状况的人又有多少？沙布丁当时在反对古来国会议员张念群提出修改2017年性侵儿童法案以禁止童婚的建议时，根据伊斯兰法律指，穆斯林男生18岁及女生16岁可以合法结婚，而其中有条文阐明在特殊情况下，16岁以下女生在父母同意及必须获得伊斯兰法庭的批准，才能合法结婚。他当时也强调刑事性侵与未成年结婚是两回事。至於他是否有说过“9岁女生适合结婚”及“强奸犯可娶受害者”等争议性言论或为何而说，应观看影片後才作公平评断为宜。沙布丁当时也有提及沙巴及砂拉越的土着法庭也有类似处理未成年者结婚的案例。在沙巴偏远的乡区确实依然有许多土着早婚，尤其是年轻情侣。根据资料，去年在沙巴及砂拉越土着法庭就有294项未成年人结婚的申请。在州内违章屋区或徒置区，难民丶非法移民及外劳的後裔，未婚先孕丶未成年结婚，都还在普遍发生着，这都是需要认真看待及处理的现实社会课题。虽然也有人认同沙布丁在此事件上所提出的论点有其合理性，但在一片对他谩骂与攻击声中，理性言论却被忽视。沙布丁事件存在的是媒体断章取义的成份丶朝野领袖未能作为明辨是非的示范，以及民众不明就理地作出非理性抨击甚至网络霸凌，而造成添枝加叶的结果及闹剧。分析辯護？看來理解能力低下的人真的很難教育我從來沒有扮好人幫他說好話，我只求事實的真實情況是如何，而不是被斷章取義的媒體煽風點火好像我說過的沒有好好做功課就想去告沙布丁歧視女性，根本是準備賠官司費因為你們根本沒搞懂怎麼打這場官司沙布丁才能為他的言論付上代價"
Hishammudin,20170416,"國陣最怕看到此景"
cct2050,20170416,"行动党洗脑之后的阿呆最怕人民真正觉醒"
一燈大師,20170416,"投廢票就是民主成熟和人民醒覺的時候，也就是火箭最怕的時候。"
dupont378,20170416,"一切都从违反 卡巴星 原则火箭不可受 疯 开始4 月 17 号 是 卡巴星 被车祸3 周年还有人记得吗"
dupont378,20170416,"难道是马华 指示火箭支持 Vatican Satanic 撒旦教  NWO Zionist 犹太复国香港占中 ？"
一燈大師,20170416,"有個厚顏無恥還說很想念卡巴星，很敬重卡巴星的原則呢。"
