Topic title: 火箭雪州聯合政府強徵土地建清真寺違法敗訴，華社已經質疑火箭是惡意違法，令人失望！
username,date,text
一燈大師,20170416,"火箭雪州政府強徵土地建清真寺違法敗訴，華社已經質疑火箭是存心違法，令人失望！據稱獲得 90% 華社支持的火箭，竟然向華社背後插刀；被法庭判違法，還裁決為 “存有惡意”。強徵私人土地，已經非常野蠻，強徵來建清真寺，更是偏心施政，無視他族的感受。上訴庭判雪州政府等五造強制徵地建清真寺違法| 中國報China Press雪州政府强徵26亩私人地建清真寺上诉庭斥恶意抢地不合法| 真相网上诉庭：政府强制征用私人地需守法 ...火箭，別拿疏忽和 “馬華時代已經有” 來當借口。*************************************你敢說一聲 “是前朝的錯”，執政近 10 年的你們立刻被人民鳥到屁股開花。嘻嘻。"
bkkt09,20170416,"大家都把焦点放在槟州原来不知不觉另一个反对党州也在大力清真化"
jellyfish_8,20170416,"恐怖的火箭真面目，心狠手辣。不懂赵明福是不是也是他们干的，嫁祸反贪局？"
莱殊,20170416,"希盟口讲会维护非穆斯林权益。。。。。实际上在伊斯兰化他们掌权的州属。。。。。由于老千洗脑团可以稳骗华人票。。。。所以只须要争取穆斯林的支持便可以了。。。。。"
..parislean.,20170416,"无出路的打字卡又来开帖了搬些图文来欺民众以无知建清真寺是混夹了中央政府对宗教局认可的权力州，政府只是依随本就存在也必需附从的规制，，把中央政府与州政府说成火箭，这种强把行动党之名冠於事上的枪手帖何其牵强呢还一枪先，，死心吧马华，下面的事实就足以证明你们是群搞屎棍了。。回教法案的取决权从来都握在国阵政府手里若政府不将之通过无论回教党提程多少次动议都不会成事，但马华就故意散播回教风暴，目的是想扰乱视听打击行动党捞华人票。而另一方面一大群仙家淋又以识卖识的以诸多假设性的危言来夸大回教党的能力，，神权国之说根本就是种谬论，大家根本就无需为事恐慌而坐立不安！大家不仿细看事实，自脱离民联后回教党的政治影响力实已大不如前，一意孤行欲执行回法势必失去所有非回教徒什至部份马来人的的支持，来届大选要保住原有21国席的半数的恐怕也成问题！试问如此的一个弱势政党有何能力颠覆朝纲把国家变成极端国度？且以我国目前的经济发展模式也不容许事的发生，，一切危言不过是为了打击行动党形象以让华人回投国阵马华的手段。再重复一次！能让回教法在我国实行通过的唯有国阵政府才能作到，若政府通过那身为国阵成员党的马华自会附议，你们大可从马华一直以来对回教法事件沉默不表态就可知本席所言的事实。。马华才是误导事实乱世乱理的政党。"
一燈大師,20170416,"火箭換了舊馬華下來，自己當上新版馬華。 "
..parislean.,20170416,"补多帖提醒网友某些真相先"
dupont378,20170416,"AA 早就宣布盖 回教城卡立 省下来的钱最后还是花了这就是两线制华哥 碰水供红线 被拉去关到死"
淋神无敌,20170416,"火箭不倒人民吃草！ 火箭最厉害把木塞塞耳朵！sowhat"
krai,20170416,"308和505的时候，火箭可有对月亮在丹州实行的回教法令开过声。当时火箭还来丹州高歌月亮代表我的心丹州实行的回教法令不需要经过中央批准。当时回教党是要实行回教法律 可是当时的首相反对。因为老马要抢先宣布大马是回教国"
krai,20170416,"地方回教法令是握在州政府的手上。在丹州实行了回教法令后1。星期五中午12.30-2.30分，所有购物中心都必须关闭。因为回教徒得去sembahyang jumaat. 2.  pasar malam 到了7点得关闭30分钟。因为回教徒要祈祷，华人的档口也不列外。回教徒不可以买卖。非回教徒也是。3. puasa月， 所有卖halal食物的食店只可以在3点过后营业。在丹州很多halal食店都是华人咖啡店。在大巴刹卖食物的回教徒不受这个法令影响。4.所有新建的建筑物都必须设计成回教风格。不然就不批。5. 所有女性回教徒必须盖头巾，穿长袖工作。如有员工犯规。老板将被罚款（包括华人老板）。员工只是接受口头警告。以上这些在丹州实行的回教法令，都不需要通过中央批准。另  当回教党在丹州实行这些回教法令时，请问火箭当时在做什么。是在高歌 月亮代表我的心还高喊  坐火箭上去月亮当年我在这里提起这些回教法令时， 还被火箭铁粉连我36代祖宗都骂。"
krai,20170416,"http://www.enanyang.my/news/2017 ... %e4%be%8b%e8%b4%a9/"
李国锋,20170416,"火箭近来都在讨好回教徒。"
建铭,20170417,"现在你再提起，他们还是会骂你卖华走狗汉奸的。我真的希望下一届马华一票都没有直接倒台，那时我们就会看到火箭失去了攻击的对象，然后直接变成了马华Ver.#2 "
一燈大師,20170417,"以火箭的鳥樣，沒了馬華，依然推卸責任給前朝政府的，就像現在已經執政了檳城，火箭還是用那鳥嘴說工程合約有保密條款不解密，是前朝政府留下來的，說到連海底隧道合約也是前朝政府簽的，不是他們火箭簽的。"
dodobaby8876,20170417,"一有事就拿前朝来做挡箭牌！好像小孩子打架赖来赖去那样！如果执政了还是这样！那还得料！只要一有事就赖前朝！叫老百姓自己去找前朝解决！那老百姓不如把票投给前朝好了！"
dodobaby8876,20170417,"感觉火箭越来越不接受民间批评的，如果执政了有可能严肃的管制网络媒体言论。。就像强国那样。。"
jellyfish_8,20170417,"就是，所以要给前朝一个机会，让嘴贱的火箭多多学习一下前朝的管理方式。"
一燈大師,20170417,"順火箭的，80 個路人的 survey 就是民意；逆火箭的，就算你四五個住宅區花園幾百戶人家反對外勞村，火箭也視為無物。"
dodobaby8876,20170417,"资讯年代，不要当老百姓是傻仔"
dodobaby8876,20170417,"现在火箭和马华，可以说各有千秋，华社还是那样悲情。。"
表酱紫,20170417,"要大选了，楼主为了鸡哥也真够拼的了。。。"
一燈大師,20170417,"報紙需要停刊嗎。 "
jellyfish_8,20170417,"303，505之前，人民力量渴望火箭带来新希望，新改变，可惜505过后，才惊觉火箭比果珍更果珍。人民力量再一次 restore 回果珍"
JowY,20170417,"比國陣還國陣才可以取代國陣"
JowY,20170417,"這在穆斯林眼裡叫有夠硬，夠大條夠粗比硬政治  火箭商標"
dodobaby8876,20170417,"我还是那句，宗教党绝对不投。。火箭要票的話，来我区上阵吧"
莱殊,20170417,"火箭也一样是宗教党。。。。。。。它是伊斯兰教的大护法。。。。。"
dodobaby8876,20170418,"欲速则不达，火箭走错方向了。。导致废票的出现"
莱殊,20170418,"支持他们反而变成支持火箭贪污。。。。还壮大了回家党。。。。。现在总算看清楚了他们的真面目。。。。。老千洗脑团还想重施故技。。。。骗华人支持老奸巨猾的马哈迪。。。。。这要给他们不可磨灭的教训。。。。"
dodobaby8876,20170419,"用了十年时间，到现在还是有问題就往前朝推，赖东赖西。。前5年我还能咕一声吞进肚子，现在才知道他们的办事能力真的是有限公司来的。。我都不想浪费时间看这些互扯后腿的事，不投废票可以，不过这次是选人不选党(宗教党就不去投票)"
莱殊,20170419,"原本的马华已经改变。。。。一马当先反对伊刑法。。。。。而火箭责已经变成马华2.0。。。。"
dodobaby8876,20170420,"马华现在还是很怕巫通，而阿吉却想马华能争取多些华人票。。但马华做事畏首畏尾，就这一点华人是很难把票投给他们的"
莱殊,20170420,"畏首畏尾的是火箭Joseph Lim。。。。355法案全部不敢出声。。。。不折不扣的马华2.0。。。。。反观当今马华。。。。。则反对到底。。。。。不惜辞职。。。。。"
dodobaby8876,20170421,"不过，巫通並没声明反对355，只是把球踢回给伊党而已。。这样做就不对了"
