Topic title: 67岁男涉奸9岁女童．嫌犯遭村民围堵被捕
username,date,text
无名好留,20170419,"    67岁男涉奸9岁女童．嫌犯遭村民围堵被捕     （砂拉越．古晋19日讯）67岁华裔男子涉嫌性侵9岁马来裔女童被捕。古晋警区主任阿邦阿曼助理总监受询时证实此案。警方于本月15日接获一名巫裔妇女的投报，指女儿遭一名相识的华裔男子性侵，警方随即展开调查，安排女童到医院验身。阿邦阿曼表示，警方前午4时许到甘榜三马连逮捕嫌犯，当警员抵达现场，发现愤怒的村民围住嫌犯，有者对他喊打喊杀。警员担心情况失控，立即把嫌犯押上车。文章来源星洲日报.2017.04.19http://www.sinchew.com.my/node/1 ... 5%E8%A2%AB%E6%8D%95"
无名好留,20170419,"强奸犯活该被打。。警察来的太早了，算你好运。。"
prince,20170419,"娶她就行了！"
kmrddecade,20170419,"这种事不好开玩笑，要考虑一下受害者和他的亲人的心情。"
kenny16031984,20170419,"败类一个。"
512MB,20170419,"有可能是江夏，被捉了。不能上来这里做小丑娱乐大家了  "
q(o_o)p,20170419,"如果是你女兒，看你會給多少嫁妝？"
lumixcer,20170419,"都那头近了，还搞这种东西，正佗衰家。。"
无名好留,20170420,"下次打了强奸犯才报警"
yming2475,20170420,"像这的小屁孩值多少钱 》？？"
dodobaby8876,20170420,"九岁插不出水的，而且还会磨伤龟头。。得不偿失"
unhpyppl,20170420,"大6伯伯能插入？"
q(o_o)p,20170420,"幾億美金 "
yming2475,20170420,"她的阿公就是不喜欢你们这种木四林 ～～～ "
q(o_o)p,20170420,"我不是回教徒 "
yming2475,20170420,"你的口头谈 ：Assalamualaikum , Bismillahirahmanirahim ,  Alhamdulillah , Aaaminn ~~~ "
q(o_o)p,20170420,""
yming2475,20170420,"不用 ～～"
yming2475,20170420,"坦白讲你真是一点都没有 ～～ 幽默感 难怪你的棕皮女神不LIKE你 ～～ "
DUMNO=BODOH,20170420,"你是撒旦一教徒"
LIHUI0114,20170526,""
