Topic title: 心脏科医生手术疏忽  印裔妇女痛失左乳房！
username,date,text
Cari_LSV,20170420,"原本只是駬村珇接受心脏手术，没想到鞩婦譓却因为坎船療医生榓壬繃疏忽，让一瞟虻馪名印裔妇女失去左乳房！这库赕磣名不運玍幸芧帬鷿的印裔妇女Pertemahwadi嚲罹于星期四透过代表律师将这涟軁蔗起案件入秉吉隆坡高庭，并将该医院心脏科医胻隥生Abdul Muiz Jasid和鐅眄政府列为艋垡鐛答辩人透鬧。印裔妇女的坋溁代表律师阿鲁南瑟瓦拉泽告诉记者，该名医生誘側晙匪廈秥是在籕监頹帮印裔妇女进行心脏绕道手术琮蹏哆时，意外切除了劖高她的嘋鴒倕乳房。翾侘不过事后，负责医生朿犜和嵖颮院方都无法针鬫濆搋对这歰饷项失误给予她一鳃曝嫂个妶潞合理交代。为妯佉此，妇女才决定控告沙登医院和薅柃蕤该名医卢氣蹆生疏忽罪名。"
thunder,20170420,"开心脏如何会割到乳房？"
chtan69,20170420,"乳房在心脏的上面。So，手一滑就。。。。另一个可能是太黑，看不清楚就。。。。。"
assange,20170420,"马来人读医科都不需要全A就进了。还好只是不见一粒乳房，不是连命也赔了"
AMOS5566,20170420,"不會感到驚訝，連簡單的割禮都可以搞到去勢。"
dodobaby8876,20170420,"这你就不了解了，女人视奶是比自己的生命还重要的"
xieying,20170420,"有钱的都跑去国外看医生了"
kennyteoh818,20170420,"可能太小。割一点点就没了"
vacheron,20170420,"好像要2000万，好贵的奶啊啊啊。。。"
wayne1004,20170420,"如果是华人，楼上的应该不会那么说吧。难看的racist华人留言。如果是你自己的身体或者家人，不懂你的反应是什么。"
EX200,20170420,"2000万去·泰国·可以做多几粒了"
梦想之追求者,20170420,"2000万，可以做隆胸咯"
lancelyod,20170420,"请问受害者是靠奶找吃的吗？切你一边乳就要20千万，真的是狮子开大口。"
evilwasabi1988,20170420,"不懂你的睾丸被意外切掉一粒的时候你还会不会像你说的一样。反正你也不靠睾丸找吃啊。"
vacheron,20170420,"http://www.nst.com.my/news/crime ... rdang-hospital-rm22黑色的比较值钱吧"
prince,20170420,"这种素质，国阵还要全收费，真是天理难容。"
lancelyod,20170420,"等你的不能用了我就切给你吧，我要说的是受害者要求的赔偿金必须按比例，根据她日后因为失去一边乳房而导致无法工作没有收入，精神和身体受到损失和等等各种原因。合理的赔偿最高也只到几百万而已，除非她真的靠奶赚到的年收入过百万，不然你不觉得要求2千万不是有点过分？"
dupont378,20170420,"不平衡 走路歪一边"
alienwong,20170420,"惨了，一觉起来，一个NIAN NIAN就不见了～～～"
seong1,20170420,"还讲割包皮干净，一个不小心变净身聊"
vacheron,20170420,"除非是乳牛"
Dark_Water,20170420,"http://www.orientaldaily.com.my/society/sh225012東方日報的新聞跟Cari說的根本就兩回事Cari現在也當標題黨騙點擊率嗎？"
flyingkiteLYL,20170421,"大部分的马来医生都是很好的 没有一定能力是无法做专科的 更何况 心脏手术科是专科里的专科 需要去外国修的 伤口是开在胸腔中间 如果细菌感染当然会影响到附近的器官 细菌感染 的原因通常是糖尿病病人没有控制 和个人卫生习惯 如果你是医生 你会不会为了保住病人的性命 而建议她切除正在坏死的乳房？还没查明案件就用疏忽这个字眼 毁谤医生 我想那个医生也可以提告回报馆 "
Engineer,20170421,"原来是糖尿病造成伤口破裂而失去乳房，起诉人要负不小的责任，胜诉的机率小"
408pm,20170421,"女人很在意乳房和男人不举一样是心里障碍，少了它你已经不想面对老公，这是女人才会明白的事情。可是这件医疗事故是病人有糖尿病，怎样可以告医生呢？"
mangolu,20170421,"医生不是中国人，要不中国新移民，要不跟中国人学的！"
终极达人,20170622,"你也切得太狠....  双眼皮割不好就算了。 胸部肉还很厚，你怎么切的。 随便一个 厨师刀法都比你好。"
loongken,20170622,"玩乳房失手割到？"
