Topic title: 是时候改变了，在来届的全国选举，不要再只看标志不看人
username,date,text
一燈大師,20170421,"积极为槟人民谋利 峇日星软实力出击  http://www.kwongwah.com.my/?p=307049*****************************峇日星形象很正面，值得給機會服務人民。值得留意的是，百年老報都支持檳城反對黨了，這就是火箭打壓中文媒體慘痛教訓。嘻嘻。"
mAx7,20170421,"如果看人不看党。。。马华民政输得更惨。。。"
完美@1010,20170421,"他有机会咩"
仓底货,20170421,"可以选狗的吗？人和狗，选谁？"
512MB,20170421,"陈嘉亮和狗，你选谁？  "
crovoseas,20170421,"太好了，民政又多了一匹黑马，布施与请吃饭是槟城人所需的其中之一，也间接改善了槟城人的生活素质，太棒棒了，你说对不对？"
仓底货,20170421,"这个问题太简单了，根本不应该这样问。应该是陈某人/猪/狗/蛇，四选一，应该选谁，就比较难选择。"
元旦8466,20170421,"你应当问一灯老师表表火箭、那个什么星，选谁?"
dogdogman,20170421," 嘻嘻嘻，真不要看標誌只看人的話。那些自以為自己跟清高，很能幹，能做事的國陣仔就應該全部脫離國陣黨，成為獨立候選人。這樣至少擺脫掉巫統的臭名啊，勝算更加高啊！納吉26億，披著國陣仔的身份，個個還不是全力力挺到底。成為獨立候選人，就不需要委屈逼自己力挺納吉咯。"
仓底货,20170421,"在别州就不清楚了，但是在槟城就简单得多，只有两种选择。你要选什么？"
元旦8466,20170421,"为了不让槟城沦为直辖区…俺还是选标志好了!"
kwai56,20170421,"選 人類最忠實的朋友 "
lier-king,20170421,"支持一灯大师从政，然后造福百姓。"
dodobaby8876,20170421,"请教大师，阿标叔托我问你，国阵有甚么议员的表现是好过反对党议员多多声的？望大师指点迷津。。功德无量，阿彌陀佛"
仓底货,20170421,"现在没有 logo 看，要响应楼主的方法，所以只有狗和人，你自己看着办。"
kwai56,20170421,"選人不選黨 大選前才出現的人 要選嗎 "
quekjh,20170421,"因为希联实在太糟糕，恳请选民在投票给希联一个大叉。。。。。"
仓底货,20170421,"骅和民政各自都有一位杰出的姓陈某人，都是顶瓜瓜的极品，很难选咩？"
Ragnarok026,20170421,"好事來的，代表在野黨的參選人不用靠著黨的logo也可以有一番作為全力支持投人不投黨"
alex2083,20170421,"狐狸毛出来鸟"
prince,20170421,"国阵起油价、gst，看到这些就知道投反对党就对了！国阵不倒，家产难保！"
一燈大師,20170421,"投黨不投人，就會出現跑去 like『免費的A片看到爽』FB 的這種國會議員。"
CjHyMC,20170421,"非常不赞同选人不选党的做法。一个人能够有多大表现，得看他背后的政党是什么样子。所以，我们如果要选，就要选择那些积极为选民服务的人，比如说。。。彭加兰岭顶区现任州议员，士都兰区现任州议员，柔佛再也区现任州议员。这三位议员尽心尽力地为全马选民服务，对于工作兢兢业业，牺牲自己就为了广大人民群众的福祉。是所有自私自利的州议员们需要学习的对象。"
一燈大師,20170421,"還有振林山林吉祥也是，選區填島賣給中國豪客，為國家增加收入。"
