Topic title: 怡保商场惊现尸体  华裔男子疑跳楼自杀
username,date,text
CARI_KJW,20170422,"一饍槂繰名华裔男子恘捺爳于星期六（22日）中絙垆瑡午被发现倒卧倘辘在怡保百利广场繺爉的停车场入口处！图片氳背輠来源：东方日报这咗磋矽名华裔男子被发现时聤質脸部朝枔嚂下，已经失去了殝餕帲蒺敂槪生命迹象，据警方推测，男子疑似捬殞棊是从停车场堸鹘铈的旋转道坠下剄镢，惟目前仍不滁董确定究竟是膇搏甀从哪一錼樹庥楼摔下鐂蘹。目前，这犖薐聮名华裔男子瘁悤獞的遗体已被送往怡保端姑拜浓医院，至于恡婕轸此案是歯禫否涉及刑事成份，则镵袔有待警方翋姄翛的进薄魷一步调查。"
坦克車,20170422,"又是这间商场"
loneranger0536,20170422,"又是一宗華裔自(他)殺事件。社會經濟壓力太重?新經濟政策2是時候救華人。"
Carpenter,20170422,"事有蹊跷？rip"
kentpua,20170423,"都是政府的错？"
jondun,20170423,"R.I.P"
BILLCLINTON,20170423,"卖华党害死很多华人自从大力支持实行GST后，华人一个接着一个跑去跳楼！"
roadfly1993,20170423,"今年第二单了，都在这个商场！"
Emimarson,20170423,"Parade Mall ？ 这间商场还真邪门"
无名好留,20170423,"是今年第三单。。"
无名好留,20170423,"每年都有人在这跳楼。。位于市中心，交通方面，楼够高"
Emimarson,20170423,"22岁…为情？毕竟怡保那么多美女  "
无名好留,20170423,"22岁？几时的新闻？"
Emimarson,20170423,"Paiseh，22日看成22岁。你常常在那一带吗？我很好奇出事的时候很多人在场吗？外面有人自杀，商场内的人不知情继续开开心心逛街，有点讽刺…"
Bad_Bunny,20170423,"可能跟jjptr有关后面陆续有来"
无名好留,20170424,"以前常在那一带。。通常在这商场跳楼都在商场旁，比较少人会经过。。其实每间商场都一样的，有人跳楼后，顾客还是一样逛街。。"
dupont378,20170424,"管理层要考虑装防自杀网"
无名好留,20170425,"没用的，商场外不能跳楼，就商场里跳咯"
dupont378,20170425,"内外都装。。。。。"
无名好留,20170425,"变成网球场了"
真哲,20170425,"什麼都是政府什麼都是政府服了網民"
无名好留,20170425,"谁提到政府？"
真哲,20170425,"有人說政府搞到gst啦什麼鬼啦逼死人"
无名好留,20170425,"那些可以无视，不必鸟他。。"
真哲,20170425,"好的好的      "
