Topic title: 拒为“偷钱论”道歉  纳吉正式提告潘俭伟
username,date,text
CARI_KJW,20170422,"首相纳吉星期五（21日）正式入禀吉隆坡高庭，髚嚼对早前发表“偷钱论”的皬拦凧行动戫呤党灵北区皁咛岩国会盎洳懢议员潘俭伟提告！纳吉指，潘俭伟于庋帱錢4月6日在泍瘯浚国傮蘴幝会崩椾走廊外发表蚶顤了诽谤性言论，不漂渺仅抨击纳吉“滥权”及“不莫缑顾三权祇蝸分立原则”，允许伊党主縎秕席哈迪提呈355号法令修正案，更将这媰粅番谈话录制下罐剟齹苮来并发布到晜釽面子书上弳裆訔，严重破坏了莥蓦他盱岂孈的釁嘊声誉。由鰠籃肐于潘俭伟在嵾膁视频袗褫颠中还声称，纳吉盗窃茚璌醗一马公司款项、不箓乽断地泳铸蕧掠夺人鞼瞾浅民财緺鐝产、背叛马蜎鳍齡来西亚人循瘅鶐以黕饚及在縇蝜一駶蹏猣马公司课题上蹦矐艆撒谎，因此引起纳吉疳季不满。纳吉代表律师表示，痬韻傷他鈹暱们已成功获得单方面禁令，因此促请潘俭伟必须遵循庭令，將莯韮有关视频撤四袲蒡下，而靮掌沎这项禁令审讯将藵施在5月5日开审。"
Orochimaru,20170422,"阿鸡到现在都还没有sue WSJ"
华人美国队长,20170422,"假如,司法像.韩国,,,纳吉早就进牢房了."
512MB,20170422,"马华民政网络兵团肯定又会回复你pusing赖林冠英了。  "
华人美国队长,20170422," 明年大选,,,希望能换新政府."
morris43,20170422,""
一燈大師,20170422,"法律是公正的。哈哈哈哈哈。"
512MB,20170422,"公正的话，就罚款一百块好了。你的study group没有教你啊？"
gaomin,20170422,"在没有灯的国家，有理不一定可以走天下，有点替潘俭伟担心。"
paranoidx,20170422,"Wsj leh, apa cerita?华语"
prince,20170422,"因为收买不到国际庭的法官。"
gaomin,20170422,"可以在马来西亚诉他，他不来，你就精神上赢了。"
阿镖叔,20170422,"为了还纳鸡清白，稽查报告应该尽快解密！"
yk13,20170422,"迟点应该会看到警方大阵仗来抓他去录口供了"
loongken,20170422,"所以很多外国贪官都很羡慕这里。"
apurumakke,20170422,"告来告去， 言论自由呢？"
dupont378,20170422,"这笔钱从伦敦来的钱给钱的没事 收钱的也不会有事潘要彻底就拉队到大英大使馆示威"
Carpenter,20170422,"潘想像公正党那个拉菲兹干一单大的，能够名留千古，加油，你可以的，等久就可以了。"
mark,20170422,"还有一点的是贪官还可以SUE回举报它的人..."
元旦8466,20170422,"在马来西亚纳吉只是一个控你泄漏机密法令，潘也一身蚁了…"
一燈大師,20170422,"一年多了，林吉祥也還沒有 sue 伊斯蘭黨說火箭拿了以色列 12 億的指控。所以，清者自清，你說對不對。"
loongken,20170422,"要到变天时才有望见到他们被控。"
512MB,20170423,"直接睡油桶！这就是我们的伟大贪污鸡！  "
kentpua,20170423,"这支盗贼是全马来西亚最不受欢迎的首相！"
笑吼,20170712,"告就告啦～  美国的“华尔街日报”告了没有？？？"
richgod,20170712,"資产都被米国充公了还清者自清条淋狗粮果然是硬伤"
一燈大師,20170712,"你吃好住好，也不益粉們，bojio。"
richgod,20170712,"説你是狗根本是污辱了狗,垃圾。"
lumixcer,20170712,"潘建伟有怕过咩？老早等着你了。"
chtan69,20170712,"国际大盗终于上勾了。上到法庭很多料都会被抖出来。更难堪的会是谁？"
