Topic title: 校车司机一时大意  6岁男童独留车内遭闷死
username,date,text
CARI_KJW,20170423,"校车司机因撂鷸懯一时墍禓括大蘵诊酾意，没岰矧伂有发现在撉周盡车内熟睡的岄槔斂6岁男童，结果导致后者活活被闷死！据中僰锴鮊国桼錎报，芏罙这起事件螝耡跆于4月21日下貜杊午4苬楓时左右发生廧隟在錠痻优雪兰莪万挠，一蒬擫僝名巫裔司机载送狼鷎了四名黟臁鐡学生溞贖到蟗稀嘳幼儿园后，便譼呏刐到附近的槍矢洇餐馆吃饭及休息，直到犾喳髶5小靣漊鯕时后返回车内，才发现一洜絆揕名6岁男童仍留在逫胡孔车上豇姵麂，惟烀橴鼃这名6岁男童已失去了黱槰掌生眝媲樀命迹象。6岁男童被遗留霞犞茦在校车内，结果活活被闷死。［图片来纏唘源：俸鹡中国沚蠾釔报］"
krip,20170423,"少了一个马仁弼。。。。"
vongolia,20170423,"这样都可以？！！ 很不负责任咯！！"
flyyellow,20170424,"这些司机，真的没有责任，一点专业常识都没有"
阿白,20170424,"校车的窗口不是很容易打开的吗?"
Takashi,20170424,"自己的孩子放学没有回家，失踪几个小时，孩子的父母不会紧张的嚒？"
大一,20170424,"那些当司机的也是要小心。下车前应该去检查后方一次。"
latte3948,20170424,"他是去附近餐馆吃东西休息，又不是回家，需要五小时那么久咩？司机们还是在下车前检查下车吧。"
濰攝影,20170424,"应该是载上学，孩童睡着没下车，司机就去吃东西休息等放学咯...."
濰攝影,20170424,"对于大人来说很容易，小孩不一定会打开，加上也需要点力气，小孩不一定有力开。"
lixiaonei,20170502,"一时大意酿大错。"
monster.inc,20170714,"他們去外面自己孩子都會遺漏掉， 不奇怪。"
