Topic title: 32人的住址竟是同一间排屋？！ 净选盟：身份可疑！
username,date,text
CARI_KJW,20170425,"旁述：关家汶 | 画面提供：东方日报 | 剪辑：陈振胜32娟瑖換人住嬯橲灋在同一稲镻间排屋内，可能吗？脟埸蝧不太可能，但确实蟷康坔有32人稵荶遪怇的住址都填孛鵷蛈上佫筴了同嚅垪一间排屋。怎么尲尛钠一回事？"
wildkyo,20170425,"難道屋主不可以有地下基地嗎？"
hockkeong31,20170426,"幽灵来了"
eVilLance,20170426,"我不觉得这是一件奇怪的事。有些人住在偏僻的乡村，怕收不到比如BR1M的信，地址就填一个亲戚家的地址。"
csin14,20170426,"哦。。。全部是外劳来的。一间32个人住有什么稀奇？  "
雷克斯R,20170426,"bn手段這麼骯髒怎樣贏 "
AMOS5566,20170426,"在野黨和執政黨，事倍功半和事半功倍；不解釋，你懂的！"
kmrddecade,20170426,"可是如果一间屋子住很多人，水价可以扣很多（槟城）"
一燈大師,20170426,"怎樣扣？現在有 “懲罰檳城人浪費水” 的附加費，應該更高水價才是。"
jellyfish_8,20170426,"净选盟就是老马养的，那么厉害，说幽灵选民几百万，抓几个来看看。"
jellyfish_8,20170426,"可能以前人是租房子的，搬家了也没换地址。新旧租户一起就变成几十人咯。"
粮草为,20170428,"我记得2003还是2008年的大选，正虎网上都可以看到100++岁150++岁以上的符合资格的投票人士 。 是很多人亲自上网检查看到的，包括我也是 。 幽灵选明是事实，抓到又整样？"
粮草为,20170428,"可能26亿真的是捐款，可能5亿美金真的是被hack 。。。可能刘德华是变性人...谁信？自己信就好咯，反正他们讲什么就是什么，人民都是3岁的"
steve1016,20170503,"没有人会租屋子住但还特地到国民登记局去更换身份证上的地址吧?选民册上的地址是根据身份证的地址而定的好不?被我引用的这位莫非是脑残不成?"
jellyfish_8,20170503,"你看看自己的身份证是不是旧地址再来说。常常说几十架巴士载幽灵，结果毛都没捡到一条。。 不靠谱"
jellyfish_8,20170503,"你看看自己的身份证是不是旧地址再来说。常常说几十架巴士载幽灵，结果毛都没捡到一条。。 不靠谱"
假冒是神20,20170503,"自从上一次的BERSIH后     对这个她已经不屑一顾了       嗯嗯          嗯"
q(o_o)p,20170503,"沒有可疑，人家喜歡多多人住一起其樂融融反而是那些 進回教 的 華人 搞政治的就很可疑"
steve1016,20170504,"你是没登记过选民呢还是？选民册上的地址是依据你身份证上的地址,就算是旧地址,那也必然是你的出生地址,抑或是老家的地址,即使年过几十载,请问你老家会住了32个来自不同家庭背景的人?即使你老家租给别人几十年,请问租户会到国民登记局去更换身份证上的地址成租住的地址？讲话用道理,用脑袋好不？"
jellyfish_8,20170505,"那些人就好像你的几个分身一样。有什么好奇怪的？"
steve1016,20170505,"这下我倒是变成分身了??那算了吧,对牛弹琴说的不就是这回事儿吗?你继续努力加油吧,能够如厮自欺欺人也是一桩好事,毕竟现实是残酷的,套一句老话送你,i don't normally talk to retard所以不需要再回覆我了."
teachew,20170507,"进回教、进回教、进回教、进回教、进回教、进回教……（100，000次）除了进回教、进回教……没有其它的！"
teachew,20170507,"水母_8只是一个快递人员，学术水平不高（可能只有PMR），尤其是数学和逻辑思维极差，乱乱算又乱乱想也是难免的啦！"
q(o_o)p,20170507,"反回教 就是支持 國陣"
teachew,20170507,"我记得你在另一楼里面（发表于 28-3-2017 04:44 AM）骂人：“錢沒有人會嫌多的，但像你這樣爲了錢幫 國陣 做事的人，  有夠貝戔！”后来，你有没有被扣分啊？"
