Topic title: 请问大家，大马现在还有什么投资是疑似老鼠会的可否通知下？
username,date,text
pcmont,20170425,"大马现在还有什么投资是疑似老鼠会的可否通知下因为大魔有时很傻很天真的！。。。"
hangz81,20170425,"孤陋寡闻，只知道这些： mbi, svi, cyl, mama captain, barrel2u "
lumixcer,20170425,"未爆发，你说老鼠会，他的信徒会shoot你的。"
dogdogman,20170425,"回酬高到離譜的然後又有保證的，十之八九都是騙局來的啦。其實參加的人用腦想都知道有問題，但是人性的貪心讓他們失去理智。尤其看到身邊加入的人一直炫耀他們如何賺到bang bang 聲，而老實的你腳踏實地努力工作卻得個橘。不就一起加入咯。這種騙局不是第一次，而肯定不會是最後一次。"
gaomin,20170425,"不过，MBI好像蛮可以赚的，已经5年了，有什么风声吗？"
元旦8466,20170425,"MBl这两年都是专注揾中国佬的钱，中国佬在合艾机场落机即被车去丹诺，根本没得去合艾消费购物的，在丹诺里一是看恐龙，二是召鸡，然后只能上课程购买它们一大堆什么的虚拟货币什么的…!实质上就是对向南宁的翻版…当中风险程度、你就自己研究吧…"
元旦8466,20170425,""
莱殊,20170425,"投资某某木头。。。。可以一本万利。。。。骗局。。。。。"
CjHyMC,20170425,"dogdogman网友已经提出了如何甄别老鼠会的方法了。我再加几条。有几个特点：1.高的离谱的回报率2.需要你叫朋友加入3.给你灌心灵鸡汤，比如说富爸爸穷爸爸，比尔盖茨爸爸，乔帮主爸爸，马云爸爸，马化腾爸爸等爸爸的传奇故事。4.对打工抱着一脸看不起的模样5.经常把名人名言，事业这种东西挂在嘴边//其实要分辨回报率多高是离谱，很简单。看看官联公司他们的股价和股息，再对比这些家伙所告诉你的回报率，就可以了。//当然，如果谁认为，富贵险中求。。。也是可以加入，见好就收。//不过，这种赚熟人钱的缺德事，还是少做一点比较好。"
XHunterOz,20170425,"还进会 ？自己开咯 等什么 ? 开一个  DJDGZ  ~  打救打工仔  随便打个  10% 一个月都很多天真未来拿督抢着进 。"
盡用話題,20170425,"在以前还有一种比money game更缺德的，就是闭门炒孖展，整个上落都是他们预先知道的，一收到第一消息就叫外面的傻b快快进场，自己在后面等收钱"
dupont378,20170425,"一副炒鸡排模样就是"
死蠢,20170425,"国阵"
一燈大師,20170425,"火箭募捐晚宴排著登場，只要投入 RM50, 就有機會改朝換代，人工第二天就雙倍，油價每公升0.99，馬幣匯新幣1：1，還有樓主最期盼的雜飯三樣肉咕嚕肉、炸雞、蒸魚才2.50。"
metis,20170428,"我听过的是养蚯蚓，种檀香，种海藻（蓝藻绿藻），黄金，白银，风水宝石（说什么什么宝石合你命门的），手机预付卡，卫生棉，化妆品护肤品，保健产品，香精/香薰，吸尘机，上网补习课程，旅游配套，还有开cafe的red island。有产品的都是贵死人，都是拿后期进的钱给前期加入的人 = 老鼠会。"
残兵之上將潘凤,20170428,"给你一个指标吧，就算股神巴菲特的平均年回酬也只有20%，任何保证高于这个的你就要先怀疑了"
deathhell,20170428,"火箭milo tim会算吗？"
kennyteoh818,20170428,"你要去做2.5？"
