Topic title: 「巫师王」公开道歉，我只是在「演戏」
username,date,text
monster.inc,20170426,"http://news.seehua.com/?p=267868（吉隆坡25日讯 ）日前遭警方扣留一天的「巫师王」依布拉欣马金，今日公开懺悔，並承认自己之前所做的一切，其实都是在「演戏」。他也宣佈，放弃「巫师王」这个称號。他说，之前在发生MH370事件及金正男遇刺事件期间，他在吉隆坡国际机场、吉隆坡中央医院等地区进行的施法，其实是受到「某人」指使，以进行相关「演出」。「现在，我不希望別人再称呼我为『巫师王』，我对我之前的所做所为，感到非常遗憾。我向大马及全世界的穆斯林道歉。」依布拉欣马金是在联邦直辖区宗教局（JAWI）安排的记者会上公开道歉，表示自己之前的所做所为，让大马蒙羞。这项记者会的其他在场者包括联邦直辖区宗教司拿督祖基菲里及联邦直辖区宗教局局长阿都阿兹祖索。另一方面，阿都阿兹指出，依布拉欣已经承认，自己触犯了《1997年伊斯兰刑事犯罪（联邦直辖区）法令》第7(a)条文，即污辱伊斯兰教。依布拉欣马金是在本月21日在柔佛州昔加末被警方被捕，但隔天就获得保释。依布拉欣马金早前分別是在今年3月12日及13日，两度出面「施法」。首次是在海边与3名助理，使用椰子、木棍、竹竿、地毯及海水，进行搞怪施法，並表示施法是为了保护大马，免受任何国家，尤其是来自朝鲜的威胁或攻击。而隔天，「巫师王」乘车经过中央医院太平间时，忽然打开车窗，再度手持两根长约一尺的木棍充作「望远镜」，將焦点对准太平间，隨后他立即表示將乘车环绕中央医院一圈后，再回头做法。他下车后取出两支「望远镜」，先朝太平间唸唸有词，较后再半蹲在马路上做法，並表示该施法是祈求让金正男的灵魂儘快回返朝鲜。「巫师王」施法事件除了於我国社交媒体上广传，且被网民狠批外，更遭大批国內外媒体广传报导，而首相署副部长（宗教事务）拿督阿斯拉夫更在此后於推特条文，指其破坏伊斯兰教形象，同时透露警方和宗教局已针对事件展开通缉行动。大家以後沒戲看了。"
khteoh2001,20170426,"有点可惜，没有闹剧看了。"
完美@1010,20170426,"相信大选时他还会出来娱众"
kwai56,20170426,"原來巫師王是假的 "
dylannam,20170426,"“他在吉隆坡国际机场、吉隆坡中央医院等地区进行的施法，其实是受到「某人」指使，以进行相关「演出」。”比較好奇是到底誰指示他來表演笑話娛樂我們的？"
yming2475,20170426,"演戏 ～～这一定警察逼他说的 。。"
kennyteoh818,20170426,"吓到漏尿.."
阿白,20170426,"以后谁舞狮舞龙, 也会被控侮辱一丝懒叫"
cct2050,20170426,"马来人传统信仰受到霸道伊斯兰的全面压制"
JK's,20170426,"本国的导弹（捣蛋）防御系统不攻自爆"
寂寞的小子,20170426,"有必要去调查看看那个某人是谁"
羅馬王子,20170426,"被警告了。。。"
莱殊,20170426,"没人找他拍戏。。。。他太寂寞了。。。。。"
小张栋梁,20170426,"演戏好过骗钱"
xiyu8910,20170426,"如果说是啊辣指使的，不知后果会如何"
yk13,20170426,"出来道歉就当没事了我们的马来同胞还真是礼仪之邦啊"
immigrant_at,20170426,"國師暫時性敷衍那些政客。COCONUT 不能被用。。。改用WATERMELON BANANA!問你死不！不服的話！國師會運用JAGUH征服你!"
cct2050,20170426,"不这样说它会变成许牧师第二"
天然夜行者,20170426,"後台不夠硬？"
李国锋,20170426,"受指示破坏国家形象。。"
bcteh,20170427,"辱伊斯兰教巫师王是开明派"
瘋流材子,20170427,"原来侮辱伊斯兰教不需要坐牢的"
羅馬王子,20170427,"他也有今天。"
瘋流材子,20170427,"原来侮辱伊斯兰不必坐牢，也没有被提控没有人会对付侮辱伊斯兰的人"
羅馬王子,20170427,"明顯偏幫。。。"
donut2u,20170427,"难得有人有勇气对抗 回叫强权。虽然最后还是栽了。看来马来传统文化 逐渐被 回叫化了。我敬佩您"
donut2u,20170427,"不觉得侮辱国家。说起侮辱国家，还有几千几万宗更糟糕的坏事。比如那些老鼠会等等。"
donut2u,20170427,"可能是他老婆指示他。"
donut2u,20170428,"人民拿 毫无 伤害的椰子 有错吗？人民没有自由了吗？巫师王 的 VIDEO 里头有说过任何一句 仇恨、煽动、敏感、诅咒之类的话吗？巫师王 用自己方式祈祷 马来西亚 美好、远离灾害 有错了吗？"
firehawk,20170428,"如果不是被逼 。。。等于承认自己是神棍王"
