Topic title: 下屆回教黨或是造王者  主宰國家前途
username,date,text
JowY,20170426,"下屆大選如果納吉的 國陣 或 馬哈迪的國陣 2.0（代號希盟）大勝，回教黨將會失去影響力但希盟不可能大勝，連過半都有難度，這個是客觀事實若國陣和希盟旗鼓相當，這是有可能發生的，兩邊都不過半數議席無法組織佔議席過半的政府，那回教黨就會成為雙方拉攏的對象，到時他們可以開出任何條件，你沒猜錯，他們一定拿虎毒當條件然後就是  Alhamdullilah 馬來西亞成為聖潔之地"
阿镖叔,20170426,"马来中立应该会说火箭是造王者！因为火箭一退出希盟一定倒，希盟害怕组不成政府，必定会任火箭宰割！"
lam69,20170426,"这个LZ很像哈迪--做白日梦"
仓底货,20170426,"希望邪教解决普通人。"
..parislean.,20170426,"上来卖的嘴客而已，，作些假设性事论，再配以些所谓的精湛见解上台来博掌。  "
阿镖叔,20170426,"推销员卖烂货的时候吹得天花乱坠，可是他们自己也不相信自己的产品，中立推销刮阵的所谓精湛见解就是这样！完全没有自信，一被人反驳理屈词穷就口出恶言！"
JowY,20170426,"如果希盟過半的確是火箭做大，因為議席最多那也是一個可能，只不過可能性不高"
JowY,20170426,"哪裡不可能了來 講"
JowY,20170426,"口出惡言你說巴黎貓 和 你的罵人分身 Bill Clinton 嗎"
PulauKentang,20170426,"麻花呢？年轻的，穿着短裙，拿着Pom Pom，等看谁赢就去应征拉拉队？？？老的，掀开裤裆证明自己割了，排队应征大内阉人？？？"
JowY,20170426,"馬華下屆可以解散去做鴨，肯定大賺錢給紅豆插，紅豆兵最喜歡插馬華仔的了"
PulauKentang,20170426,"不会。。只有梧桐大只的麻花才会爽"
JowY,20170426,"你的意思是紅豆很小？不是最粗最硬最大條的咩？"
JowY,20170426,"紅豆看到馬華仔就硬了   "
NickNick,20170426,"打倒回教党！"
元旦8466,20170426,"马来人都四分五裂了，华人要选好边来站就行了，别搞多多花款就好，最好是政党替换后再替换也没关系了…"
q(o_o)p,20170426,"光說沒用，給出 link 來"
Upgraded,20170426,"然後就是  Alhamdullilah 馬來西亞成為内战之地，闹天灾，食物短缺，出口难民。。。。这些都发生在全世界。。。。 "
mchen3389,20170426,"与其担心伊党成为关键少数，西瓜靠大边，不如去思考如何应对执政党要耍的各类戏码，为免失去政权，一定会用尽手段，维护政权。。反对阵营，小心到口的鸭子飞了。。"
Ecor1,20170426,"最有原则政党，回教党是伪中立最喜爱的政党成为他们的造王者，正合他们意"
PulauKentang,20170426,"红豆是舍啊？麻花仔喜欢用红豆塞啊？怪癖下"
阿镖叔,20170426,"若在野党执政行动党当老大纳吉讥马哈迪父子言行矛盾 纳吉 行动党 马哈迪 慕克里兹发表于 2017年1月18日 下午3点0分     更新于 2017年1月18日 下午3首相纳吉继续大谈行动党凌驾在野党的论调，声称若在野党联盟赢得来届大选，即便行动党没掌握政府要职，仍能向希盟和团结党发号施令。“民主与政治是数字游戏。谁拥有最多议席谁就赢。就算一个赢得最多议席的政党，没获得政府高职，它实际上仍是执政。”“我分析了这场游戏，若在野党胜选，行动党将统治天下。”“不是公正党，不是诚信党，不是‘大红花党’（团结党）。”行动党执政后果堪忧《星报》报道，纳吉昨晚在吉州一场集会上，呼吁吉州人民必须深思，以行动党为首的政府所带来的影响。上届大选，行动党所赢得的国会议席，仅次于巫统。纳吉也是巫统主席。他在去年的巫统大会发表政策演讲时大肆攻击马哈迪与行动党。他更警告，一旦行动党执政，自由主义将抬头，而巫统捍卫的土著主权将消失殆尽。剑指马哈迪慕克里兹纳吉也批评希盟和团结党，一直改变对于政策的立场，领袖经常发表矛盾的言论。他指出，两名罪魁祸首是诚信党总裁马哈迪与其儿子慕克里兹。“父亲批评一马公司的朝圣计划，而他儿子还是吉州大臣时，却在这个活动下，送逾20名吉州人去朝圣。”“马哈迪谴责一马援助金，之后当人民批评他时却U转。”“一直以来，这个大红花党的网站，有个部分是协助人民登记获得一马援助金。”纳吉说，若一个政党是因为要复仇、出于不满或从创党人利益出发，它不会长久。1Read more: https://www.malaysiakini.com/news/369674#ixzz4fLGGem00纳鸡的意思是希盟执政火箭本身就是王！"
JowY,20170426,"紅豆兵喜歡插馬華仔看到就硬  插了就高潮"
JowY,20170426,"什麼時候到口了？"
JowY,20170426,"在佳禮沒有所謂的偽中立國陣的、中立、偽中立 統統叫中立你不要來亂，不然叫紅豆兵插你"
PulauKentang,20170426,"紅豆兵是那穿红衣。。有个叫假吗的领袖的吗？"
李国锋,20170426,"火箭这届大胜应该会加入国阵取代马华，到时就会说其实全部极端都是因为老马和安华。"
小张栋梁,20170426,"回教党还不错"
JowY,20170426,"不是喔  你的名字叫阿嬌嗎"
JowY,20170426,"也不是不可能，老馬救不了林冠英，納吉可以林冠英現在撈到風生水起應該不想坐牢的"
lumixcer,20170426,"包头佬现在翻转猪肚是好事，好过选后冚家过档大厂。。"
莱殊,20170427,"那个是 Red-Shirt Army。。。。。。红豆兵是Red-Bean Army。。。。是一群被老千洗脑团洗脑的人。。。。然后他们又成为老千团的一分子。。。。。"
盡用話題,20170427,"let it pass FIRST这一招绝不像是一向自视过高的巫桶所玩的手段。。随便收卖几个青蛙过来便可扭转乾坤了。。"
