Topic title: 【JJPTR崩盘？】李宗圣再度发言 “骇客国外入侵，报警也没用！”
username,date,text
Cari_PHJ,20170427,"继首度透过视频发言向投资者交代JJPTR事件进展后，李宗圣再次发出贴文，针对林立迎的建议表示不要将问题政治化！JJPTR创办人李宗圣于星期三（26日）晚上8点10分，在JJPTR会员的威信群组里发出了最新的留言，表示自己将不会逃跑，同时希望这件事不要再被政党政治化。“请所有的会员相信我，我说过我确保所有的会员拿回本金，而我本人，确定不会逃避也不会像传闻中的那样准备逃跑。”他在文中强调，希望所有的会员都给予他信任，他将会确保所有的会员都拿回本钱，而他也不会一走了之。但在这起事件中，最令他感到惊讶的是，行动党的议员们竟主动替会员伸张正义，促请他在48小时内现身并报警，或是与行动党和会员见面以商讨赔偿事宜。“无论如何，我真心希望这个课题不会再被任何政党政治化。”另外，李宗圣也强调，由于户口被骇客入侵是发生在国外，因此在国内报警并无补于事。“我方公司已经下令所有的分行照常营业。我也呼吁部分会员不晓得上网填写表格的可以前往任何分行的公司，公司的职员帮助他们填写。”图片来源：JJPTR面子书"
hangz81,20170427,"外国骇客本地报警没用？  他不知道这世上有interpol（国际刑警）的？"
一燈大師,20170427,"5 億被偷不用報警呀。"
一燈大師,20170427,"不是 26 億，所以不重要。"
aidj,20170427,"他是在怀疑新加坡警察办事效率吗？"
kwai56,20170427,"這是刑事，所以問題不可以政治化 "
adamlevine,20170427,"一下可以黑5亿这样多？我国领导的好朋友是吗？"
mchen3389,20170427,"5亿不见，如此处理，也算大开眼界。"
探险家,20170427,"可以投报FBI....https://www.ic3.gov/default.aspxhttps://www.fbi.gov/scams-and-sa ... emes/internet-fraud几年前有几单大型的Internet Scam真的破案了....."
探险家,20170427,"我当年遇到Internet Scam, 搞到我去投报FBI & UK FSA, 最后虽然钱还是拿不回来, 不过英国有因为这件事而加强新的Regulation和执法.....这条水居然自己不报也尽量叫人不要报, 背后是什么事根本一清二楚了.....有人Hack进必然有IP, 就算是用Proxy, 只要真的调查一定可以找到源点....."
surious_lion,20170427,"他简直是个千年难见的天才老千，他爸爸家山有福，不是随便阿猫阿狗可以如此了得运用心理学术，就算一个强读心理学高优医生，都无法与他比批。除了有无巨胆量，他已摸透人性弱点，上至元首高官下至平民百姓都已玩股在他手中，接下来第二轮的狂扫，会是五亿的双倍吧！"
stupid819,20170427,"移民手续做好 就闪人了~还鸟你们~"
pcmont,20170427,"听教主这样说。。。。说起来就大马皇家警方拿老鼠会教主也没办法了。。。。意思是说五亿就让教主和教主夫人享用吧！"
yk13,20170427,"虽然警察可能真的没用，不过事情发生了居然叫人不要报案，还有责反对党多管闲事？！这个人还真以为自己是JJ教主啊"
leouy,20170427,"和以前的那只鸡一样，以为在国外偷就不会被捉，但最后那只鸡发现在国内偷才是最好的。"
SilLyPanDa,20170427,"直接报警咯，不要等了，醒醒一开始说报警，会让户口被冻结现在又说报警是于事无补"
kokteong,20170427,"JJ教主萬歲!"
e1caec6b6002837e5f1828c444c1d57d.jpg,20170427,"都是光头律师的错。"
