Topic title: 火箭这次会很惨。。
username,date,text
jellyfish_8,20170427,"很多面书，Instagram，twitter 都是一面倒火箭。。"
蓝火爆,20170427,"火箭酱也叫惨，国阵岂不是要叫仆街冚家产？。。。。"
盡用話題,20170427,"如果你平时不是倒火箭最多，也许我还会相信你。。南方紅，人气升，槟州出了個林冠英。他為人民謀幸福，呼兒咳呀， 他是人民的大救星。林冠英，愛人民，他是我們的帶路人。為了建設新马国，呼兒咳呀， 領導我們向前進。行动黨，像太陽，照到哪裡哪裡亮。哪裡有了行动黨，呼兒咳呀， 哪裡人民得解放。南方紅，人气升，，槟州出了個林冠英。他為人民謀幸福， 呼兒咳呀， 他是人民的大救星。他為人民謀幸福，呼兒咳呀，他是人民的大救星。大救星　"
kenny16031984,20170427,"虽是华人为主，可惜卖华，倒了也好，只有乳臭未干的年轻民粹粉还再支撑淋神。"
蓝火爆,20170427,"然后马华可以趁虚而入？。。。。"
pulauturtle,20170427,"我100%槟城人，对林冠英满意，也有批评。但是对国政完全没有好感，只有反感"
JowY,20170427,"中立的說，火箭這次肯定會少很多遊子票，但仍然可以秒殺馬華但是國陣仍然可以橫掃希盟"
..parislean.,20170427,"我们有马哈迪，先扫五州政权后让巫统内斗，再逼纳吉下台"
假冒是神20,20170427,"KOKSGEKICK OUT KIT SIANG GUANG ENGKICK OUT 淋族奸 淋屠父不必相信UNCLE看下去就知道了哗哈哈哗哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈"
..parislean.,20170427,"帖子无内容没连接，主题也不俱实质意义也没讨论价值若依据版规所写的开帖条件是否应关闭呢？@latte3948 "
假冒是神20,20170427,"#11管你妳多少州KOKSGEKICK OUT KIT SIANG GUANG ENGKICK OUT 淋族奸 淋屠夫不必相信UNCLE看下去就知道了兴啊旺啊发啊哗哈哈哗哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈"
一燈大師,20170427,"火箭會執政中央的，然後會說為了救國，0% GST +10%。這就是林冠英沒說替代方案的原因。"
假冒是神20,20170427,"#13贪污犯说的话也有人信?是共犯么?嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯"
..parislean.,20170427,"发梦没这早不若这样吧，我们就打个赌来届大选后若林冠英还是续任宾州首长的话你就任人辱骂承认自己是条得把嘴的仙家淋，反之我也任你笑骂受而不反驳。"
假冒是神20,20170427,"#15连任好DAP才有机会陪葬哗哈哈哗哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈"
蓝火爆,20170427,"坦白说，不需和他老人家赌。。。。林神如果赢，他会活活被气死。"
探险家,20170427,"一定会有人迁怒林神的, 特别是那些有借贷的人, 有些人是因为林神才敢敢下手的, 虽然事实上我们都知道不关林神的事, 毕竟林神不可能做了功课才决定要不要站台, 不过有了老马上次Geneva的前车之鉴, 他没有更小心, 所以多少影响一点点选票....."
..parislean.,20170427,"本小姐极度坏疑他和一灯其实是不得志的火箭散仔留在行动党没出路，投靠马华又不行所以唯有上来唱平衡心理  "
假冒是神20,20170427,"#17要几单官司都有反贪拿回去的里面人名多得是呢哗哈哈哗哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈"
假冒是神20,20170427,"#20平生不做亏心事半夜敲门也不惊你妳很怕么?做了亏心事?哗哈哈哗哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈"
蓝火爆,20170427,"猪八戒照镜子，里外不是人？"
..parislean.,20170427,"16#只敢说梦话自high不敢断言了"
..parislean.,20170427,"好像刺痛他了，，开始话不对题避开事实  "
假冒是神20,20170427,"#26SEE 你妳的TOKONG IN JAIL哗哈哈哗哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈"
lumixcer,20170427,"火箭躺着选都sure win选区就超过了7-11，有多惨？"
假冒是神20,20170427,"#28没多惨EVERY HATERS 只要一个TOKONG进去蹲ONLY哗哈哈哗哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈"
mchen3389,20170427,"火箭会很惨，支持者大家更要加油了。"
..parislean.,20170427,"既空怀壮志无人问为何不效法屈原死Q左去算呢"
假冒是神20,20170427,"#31UNCLE 啥都不缺不缺权不缺钱不缺福气和安康不必滥权吃钱去做牢正好是对付你妳的TOKONG淋屠夫的最佳人选啦对不对?哗哈哈哗哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈"
重甲霸王,20170427,"是不是卖华仔下届大选要走最后一里路了。拼命出来到处狂吠。"
假冒是神20,20170427,"淋纣王两父子的最后一里路咯计时倒数中哗哈哈哗哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈"
仓底货,20170427,"现在小贩的票很重要？需要外劳代劳吗？"
盡用話題,20170427,"把槟州变为首都，万事有转机"
..parislean.,20170428,"毛你就大把，有出路你就不会打字渡日了 "
假冒是神20,20170428,"# 37你妳毛落光了么?难怪丑人多作怪嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯"
莱殊,20170428,"火箭现在是半沉。。。。不过还有时间滴。。。。。更惨的还在等着它呢。。。。"
普特朗,20170428,"我投 JJPTR 政党一票， 强烈支持李宗聖当槟州首席部长。"
kellykelly00,20170428,"以前都现在到以后都是一样的咧，没有比较惨因为已经习惯了"
okboy,20170428,"我所知道小贩90%都在反他"
lier-king,20170428,"47%的说51%的惨，笑死人。"
kwai56,20170428,"很普遍的現象，大選要來了，開庫又開戰 http://www.orientaldaily.com.my/nation/gn45635010497374"
angkianhau,20170428,"我100%槟城人，对林冠英满意，也有批评。这句话说的好"
一燈大師,20170428,"火箭這次面對兩方的指責：第一種是沒參與 money game 的選民，對火箭站台 JJ 和參與感到反感。第二種是參與 money game 的選民，被火箭的 林立迎 “舉辦報警會” 感到氣憤。結果就是火箭吃廢票。"
ahlauweihotmail,20170428,"那时因为他在槟城得不到火箭政府的project，所以反目成仇。从粉丝变成粪丝。"
鸡不择食,20170428,"连火箭的人都玩money game了，还帮JJPTR说话然后否认自己有玩，过后给人Screen shot捉到痛脚。真的是形象尽失，林神这次真的头大了。"
一燈大師,20170428,"火箭的忠實支持者也討厭火箭了。幫你火箭打生打死賣 Milo tin 募款晚宴票，你火箭卻保障不到 JJ 投資者。"
wlwl,20170428,"不用浪费力气和伪中立的说话！讲多无谓，直接马华仔和民政党大头一起来槟城，看看人民怎么选！"
扶风,20170428,"林冠英=毛泽东阁下=红卫兵"
赤练仙子,20170428,"更加多面书，Instagram，twitter 都是一面倒国阵、污桶。。那又怎样算呢？"
一燈大師,20170428,"安華 confirm 了，背後插到 火箭。火箭和國家敵人馬哈迪結盟，這次又失去一些選票了。"
apci,20170428,"I think all parties also having issue now."
寂寞的小子,20170428,"所以直接灭火箭吧，马上大选"
Legend11,20170428,"這個你可以和他賭，現在林冠英官司纏身，也許在全國大選以前，國政就會把他弄到監獄去。"
paranoidx,20170428,"哈哈哈，狗粮不是这样赚的"
jellyfish_8,20170428,"钟摆定律是避免不了的了，明智的大马人民"
jellyfish_8,20170428,"一睡没烦恼二睡没三舞舞三睡快乐似神仙"
IMG_1810.JPG,20170428,"你知道為何嗎？還不是等林冠英的回答為何林冠英的數據和稽查報告不一樣囉。林冠英答不出來。"
jellyfish_8,20170428,"还以为在等完成了85%的海底隧道报告"
