Topic title: 潘俭伟飞抵亚庇机场 却遭禁止入境！
username,date,text
Cari_PHJ,20170428,"潘俭伟被禁止入境沙巴州！行动党宣传秘书潘俭伟于今天中午12点45分抵达沙巴亚庇国际机场后，却被告知他遭到禁止入境沙巴。根据行动党发出的文告，潘俭伟遭拒入境后，在沙巴行动党主席黄天发的陪同下，逗留在亚庇机场，预计将于今天下午2点回到吉隆坡。同样是八打灵再也北区国会议员的潘俭伟，早前因在面子书上进行直播，随后被指内容涉及诽谤首相纳吉，星期三（26日）早上被警方传召录口供，并且将扣押其手机。"
山村野夫,20170428,"支持砂沙移民自主权。"
一燈大師,20170428,"支持東馬主權，禁止火箭議員去東馬搞破壞。"
prince,20170428,"东马是巫统后宫，只有巫统可以去dell，他人一律不可进入。dell 啊 dell 啊 dell！"
mark,20170428,"希盟国州仪员，要得到MO1的批准才可以进Sabah,Sawarak"
prince,20170428,"现在去东马就好像探监一样，觉得他们好惨！  "
mark,20170428,"谁叫MO1只手遮天(集三立于一身)...谁能奈它何..."
jellyfish_8,20170428,"不只要禁止西马议员去东马；还要禁止董总去东马办洗脑生活营"
kenny5116,20170428,"昨天才开live说希望能过，今天就。。。。。。。。MALAYSIA BOLEH"
kentpua,20170428,"马来西亚政府太儿戏了？"
garrod,20170428,"楼上有位酸葡萄心态"
Engineer,20170428,"潘帅明知自己应该还在黑名单内，没有必要去闯关"
lumixcer,20170428,"要黑名单到几时？"
山村野夫,20170428,"若要给禁足设下一个期限的话，我希望是一万年。  "
e200,20170428,"嘎！！你说也对！！..对于没自由活动权利的来者......这里无疑就是他们的监牢......."
e200,20170428,"门票是不需要的！！..但是飞机票就肯定要！！...不懂得遇到这样的情况，可以要求把飞机票退钱吗？？....."
garrod,20170428,"那位人士很假，砂选举前在砂论坛自认是砂民，现在又出此言论，可能有精神分裂  "
garrod,20170428,"潘氏要从沙入境砂呗"
e200,20170428,"是不是啊！！？？..真的是如此吗？？..那就别再搞他！！..有精神病的人！很危险滴！不可以跟他main-main!!"
garrod,20170428,"不信可以去砂坛搜一艘  "
q(o_o)p,20170428,"火這麼大 "
justebelmont,20170428,"LATTE 快点进来，你看下你的版，西马人可以出言不逊侮辱沙巴人是动物园里的动物，你是不是应该管管了。"
e200,20170429,"很多东西，大家的心知肚明的！...现在在cari的网民都开始注意了存在感！....潘帅这样的无知的举动！..不就做戏吧了！！...明天可能就大发媒体，靠北一下！...证明下！自己还有再存在！！..也就是所谓的漱存在感.........p/s!他会不会的，有再暗中观察cari论坛里面的网民讨论...？？？？"
tuatualiap,20170429,"是不是有自主权，自己知道"
vivera,20170429,"好听叫自主权 不好听叫勾政滥权很多不清醒的人觉得是希望 结果就那样被人牵着被骗的路继续走 "
cct2050,20170429,"替政棍伸冤它们会从千万亿万的银库拿出 100万给各位做茶水答案是什么，大家心知肚明哈哈"
syncsw1,20170429,"酱的虚伪玻璃心人生会累吗？"
syncsw1,20170429,"上面这样的言论（#8）被屏蔽警告应该还有被扣分，同一个贴的下面这个言论（#12）却什么事也没有。咔灰版主真的超公正 derrrrrr "
cct2050,20170429,"曾经是网路兵团云集的正义之声管理员之一的小邓透露505 前， 潘俭伟要求他们捐款100 万，钱到手，就这样人间蒸发了"
浩浩荡荡,20170429,"要是东马发生惊天大灾难，西马人不需要捐款的吧？"
jellyfish_8,20170429,"他其实没有必要去沙巴向沙巴人民解释那个雪兰莪建筑指南。沙巴人民不懂这些"
garrod,20170429,"自主权不要也是可以的。  多数人是扮不清醒喽  "
justebelmont,20170429,"我只是问候几个红卫兵而己，而那条水是侮辱全东马人，性质不同。  唔顺超，就举報啦！！  "
