Topic title: 買股票就是擁有這家公司的一部分，玩money game究竟有什麼?
username,date,text
冥府修罗,20170428,"買股票就是跟不認識的人合股做生意，跟股東一起分享公司的營運利潤，你完全不用擔心會被騙因為有國家銀行擔保，股票有起落，公司卻還在玩money game究竟買到什麼? 就是得到一個口頭承諾說多少利息分給你。玩money game的人 真是天才! !"
dupont378,20170428,"买股票也是赌的一种也照样会输到跳楼"
nyluon,20170428,"買到一個會發達的幻想"
hawkman,20170428,"有關股票, 你說的有兩點不對.1) 政府是有監管股票的公司. 但不是有保障.   有事的時候, 政府是會找有問題人負刑責, 但是政府不會賠錢給所害人.2) 股票的公司也可能倒閉. 股票就會變成廢紙."
仓底货,20170428,"买个 “ 爽 ” 字而已。"
HellJoker,20170428,"股票是可以从公司前景那里分析，你十年前买苹果，你今天坐在这里笑了 "
Barryliaozs,20170428,"你看我朋友拿钱寄在阿癃（认识的）那边每个月收多少利息（忘了多少）。简单来讲就是你借钱给阿癃阿癃再拿去借给债仔。有分别吗？这个好听点，叫投资，但他怎么运用这些天晓得。比较起来股票安全多了。"
leo3_puff,20170428,"有機會給人當水魚啊"
冥府修罗,20170428,"我指的擔保是不會被騙，而不是不會虧損如果公司做假帳，只能怪自己不好彩，但公司負責人要承擔法律責任，即使錢不見了我心裡也好過些"
prince,20170428,"这5年来有谁输股票跳楼？"
kwai56,20170428,"要堅持才可以笑 "
lumixcer,20170428,"Money Game 每个月几十%回酬，股票有这么好康吗？"
冥府修罗,20170428,"股票翻幾十倍是常用的事，但你要會選"
潘君亮,20170428,"不论是买股票还是玩money game都有个共同点，那就是要有多余的闲钱才可以玩，否则结果都是一样的。至于是不是被骗，也不是我们来判定，而是看当事人，如果当事人输得起，不肉痛，当然就不觉得被骗，当然也有些人因玩money game而发财，你能说他被骗吗？但人家心甘情愿被骗，也被骗得爽。凡事看开一点吧！"
NyD-WiLL,20170428,"玩money game就等于，亿人捐款，一人致富。"
javabean,20170428,"有什么money game玩到现在还没有倒的？"
