Topic title: 为什么不应该“投资”金钱游戏。。
username,date,text
不吐不快999,20170429,"我是一个普通平凡的人。。七情六欲。。包括贪。。我都有。。但是除了这些我还是一个有底线的人。。金钱游戏能赚钱吗？能，不然为什么叫快速致富呢。那为什么我不玩？我输不起？我胆小？都不是。。是因为我知道金钱游戏的严重性。。看到jjptr说自己被害到家破人亡，说政府为什么打击金钱游戏而不合法化，说自己的儿子为社会作出贡献，我看了除了感到无语还了解到人是可以脑残的。为什么那么多金钱游戏不说唯独说你jjptr？简单，就因为你们太过正义凛然的样子令我看不过去。。说得自己是救世主，创出了前无古人后无来者的金钱游戏。。为什么不玩呢？很简单，我对身边的人下不了毒手，人在这世上除了钱，还有太多太多应该重视的东西了。。你说很快回本。。对。。但这是零和游戏。。意思就是你赢的钱是别人的钱。。谁是别人呢？对，就是你朋友不然就朋友的朋友，再不然就是朋友的朋友的朋友。如果你是一个很自私，认为只要不是自己亏钱就好的人，那恭喜你发财，你太适合金钱游戏了。要知道崩盘是一定的，意味着你身边的人会亏钱。别说这是投资，太偷换概念了，如果投资你的钱会进入市场，会流动，会促进经济发展，而且合法的投资都是有实体经济支撑的，简单的说就是“有啲楂拿”。。房子，土地，股票，黄金，等等。会升会跌，有人监督，这才是正常投资。金钱游戏赚的是你身边的人的钱，有意思吗？投资赚的是市场的钱，人家有需求向你买之前你投资的物品，供与求，最简单的道理。而金钱游戏等于你说了一个谎话，说服朋友或亲戚拿钱出来放进你自己的口袋。。什么意思？意思就是一旦你“投资”金钱游戏你就是在骗人，还是在骗相信你的人。。这才是金钱游戏最恐怖的地方。。它破坏了朋友亲人们之间的关系感情。。也别和我说金钱游戏和赌博一样，还是在偷换概念，赌博你输的是自己的钱，赢的是庄家的钱，愿赌服输，完全没问题。而金钱游戏你是在说谎骗身边人的钱，骗钱明白吗？硬要套在赌博的话，你就是在出千。。因为金钱游戏就是一个大谎话而已。。还有人怪罪政府贪污严重，经济不好，不玩金钱游戏无法生存，赚点外快。。政府有贪污的情况是事实，但难道人家杀人你就可以放火？经济不好你就可以骗钱，还是骗身边人的钱？最笨的还是自己拿小头，把大头交给所谓的创办人。。有意思吗？我们生活在这个和平时代，要知道感恩，那是上一代用血换回来的，要维持这个和平时代就需要有规则，法律，需要人人遵守才有社会秩序，持续发展。贪污不捉吗？捉，但是当那个人位高权重的时候，就需要另外一种规则了，政治博弈，避免社会动荡和暴乱，因为到最后无路可走的时候就是战争了，你想要吗？别什么东西都赖在政府身上，作好身为一个公民的责任，在法律范围内争取公平和权益，要不然你和那些人又有什么不一样呢？和平，不是必然的，我们这一代无法想象战争的痛苦。。。离题了。。还有人说我玩金钱游戏又没杀人放火。。你比杀人放火更严重。。你摧毁了国家经济稳定。。人与人之间的信任。。还有对下一代的荼毒。。祸国殃民知道吗？你去过澳门吗？赌城。。说是旅游景点。。但是去到看的还是赌场。我记得那时候去，很多商店都没开门做生意，想买杯矿泉水，卖土产的店家说这里没人卖的，叫我去赌场拿。如果说政府如你所愿，合法开盘做金钱游戏，每个人都玩，结果会是什么？没人要做工了，每个人都说做什么工啊，玩金钱游戏啊，坐着等收钱，结果有钱没人做工，社会会变得怎么样。。澳门赌城都可以弄的那样子了，何况这个赚身边人钱的金钱游戏。有人说不需要说得那么严重吧，我只拿一点掉了也不心疼的钱出来玩，我也不拉下线就等拆分，这样没骗人骗钱了吧。对，你不拉下线，但是你助纣为虐，这社会不乏明知是骗局但还是玩的人。。想一想有了一个这样的你。。就有千千万万个这样的你。。什么结果呢？就是你把钱贡献出来给上线让他们得以分钱来维持这个金钱游戏，维持得越久，他们能说服的人越多，意味着受害者越多，影响和后遗症更大。。而你就是帮凶。这里就不点名那些成功拉长几年寿命的盘了，成功拉长不代表不会崩盘只是说温水煮青蛙而已。说了那么多还没说到重点，这几年的盘都说投资外汇啊，有专业赌博团帮我们到世界各地赌什么的。。不用什么数据分析，证据证明，只要不脑残，想一想，如果他可以凭投资外汇就可以赚每个月20%，那么他根本不用到处跑开演讲说解救普通人，他只需要把那时间拿来赚钱然后分给普通人解救他们就好了，而且那些索罗斯什么的估计都会几百亿几千亿美金送上门跪求。。5亿美金打个喷嚏就有了啦。。赌博团好像真的可以耶。。拜托用脑想一想。。人家赌场看你专业赌徒就马上把你列入黑名单了。。全世界的赌场共享资料库。。你还能世界各地到处赌？再看到richway的老板，真心无语，有些话是不能说出口的，如果真的法律制裁不了你，你就不怕被更坏的xxx了？"
e200,20170429,"这样的帖子！！估计没几个人会在乎！.......这里就帮忙你顶一下！....没啥原因！！揭发骗局！人人有责！......红豆就别来鸟........."
pulauturtle,20170429,"其实money game的坏处除了奔盘时害到后来的人,最不健康的是造成一大堆人相信可以很容易赚钱而不必工作,造成社会很多工都没人要做。。。我完全认识什么是svi, jjptr, mbi, moonspace, mama captain, pollywood等等的。。。"
dupont378,20170429,"Money 光明正大挂招牌开办公室证明当局默许 / 参与 money games 操作和 大陆 新加坡 完全走不同方向money game 崩盘让 本来 信心满满 的 B N ， 雪 PKR , 槟 火箭 添变数亏钱民众把怨气发泄在选票上"
仓底货,20170429,"号称重灾区的槟城竟然没有出现受害者，真的是可喜可贺，团结一致，供养老万。"
pulauturtle,20170429,"我可以大胆的告诉你,money game背后大多是掌握政府机制的相关人士高的。国症掌控的中央机制可以用来牵制它们的。可是当你知道一些还有警长下令为它们开路,旅游局还为它们铺路欢迎它们时,你就知道我们国家的机制是默许的"
pulauturtle,20170429,"亏的怕拿不到钱上岸的希望多赚几轮"
kmrddecade,20170429,"人民反中央政府但是却去支持中央政府掌握的money game送钱给他们来骗自己，真他马的蠢过猪。"
pulauturtle,20170429,"这世界金钱作怪是很厉害的。当你看到一些人游手好闲却大把钱花,整天吃吃喝喝,你也会被吸引的。。。"
yming2475,20170429,"人若贪心只落得一个字 ～～ 贫 。"
不吐不快999,20170429,"对，我们都不是圣人，我也会被吸引，想说为什么我要那么辛苦，为什么那些人说几个骗话，做几场戏就可以集资那么多钱，种种都让我的世界观颠覆，我们普通人的努力生活到底代表了什么？但是，我们必须知道有些东西是不可以碰的，就如潘多拉盒子一样。老土的说句，人生在世，除了钱，还得有底线，还有就是国家兴亡 匹夫有责，如果基本公民责任都做不了，那我们也没资格去指责zf了。。"
Barryliaozs,20170429,"其实没啥应不应该的，个人造业个人担。其实你要投资什么都可以，什么后果独立承担，但问题是你一直去拉拢人家，给洗脑这就不好。金钱游戏不是图一个人的钱，他要偏地开花，所有的钱往他那去。然后涉及的就是诚信，银行崩盘，国家银行或政府接管，这种东西崩盘，就完蛋了。"
不吐不快999,20170429,"这几乎是肯定的，虽说马来西亚不怎么样，但还不至于一个简单的金钱游戏也打击不了，不会的话看看新加坡怎么做啊，大选，政治，利益，打击团结，各种各样。让我说的话，支持金钱游戏差不多就是卖国贼了。。为什么？看一下各国政府对金钱游戏的态度就知道了"
SurveyPlayer,20170429,"别傻啦都是bn默认给华人傻孩子玩的东西行情会影响多大？"
Weida,20170429,"现在是华人自己起了《贪念》才给老千有机可成，如果他们不是贪每个月赚取20%利润怎么样会上擋？到了这个地步何必要怪罪政府呢。其它人已经赚够本请问这些人有扣税吗？"
jellyfish_8,20170429,"开地下赌庄，林神输 1 赔 100。把本钱拿回来"
dupont378,20170429,"如果全面崩盘BERSIH 参加者连口号也喊不出"
jellyfish_8,20170429,"赌林神输 1 赔 100200 块就有 20,000不只回本还有赚一点"
不吐不快999,20170429,"其实想一下为什么金钱游戏在槟城特别猖狂，被包庇了？还是被国珍陷害？无论什么理由身为槟城政府把槟城被搞得乌烟瘴气而什么言论也不发表，林xx责无旁贷，什么声音也没有，这是代表了什么，身为一个槟城人的疑虑。。请记得金钱游戏不是小事，都是动戈上亿资金的事，涉及上万支持者的事。。"
pulauturtle,20170429,"你说得很对。我接触它们很多,但是就是不参与。我当然知道它们赚很多,也有心动过。不过自己需要有本事赚钱,满足,那么这东西就没那么容易影响你它们可以静静等待也赚钱的,不必招人。这是它们说的静态。"
pulauturtle,20170429,"那你错了,这东西不是州可以克它们的。我还接触过警长及旅游局的上头是上线, 它们会员出门时有警察开路,旅游句做活动迎接它们。而且在别州。你说,这是谁在后台？"
NickNick,20170429,"JJ 倒了，还有别的 money game 好介绍吗？富贵就是要险中求！"
不吐不快999,20170429,"如果你说幕后是马华国珍。。那反对党在野党连这个也管不了 反不了，那你说这个反对党还有用吗 而且还是在自己执政的州属。。马华国珍不好众人皆知。。但是如果连反对党也这样。。那。。"
aidj,20170429,"地府有幅对联：上联云：“阳间三世，伤天害理皆由你”下联云：“阴曹地府，古往今来放过谁”"
IRR2000,20170429,"有谁收到J2本钱吗？？"
yoke2312,20170429,"反正都认为背后是谁搞的penang 火箭应该大吵特吵，为民除害干嘛diam diam "
yoke2312,20170429,"本人非常生气penang 火箭这次不帮人民出头"
fristblood,20170429,"我觉得这些money game多多少少一定牵涉到政治人物在里面"
不吐不快999,20170429,"涉及是肯定的。。不然你认为一个不到30的小伙子可以这样跑了还逍遥自在。。光明正大发视频东山再起？看一下有些报章的报道。。模凌两可。。看似揭发骗局其实就在帮它说好话。。顺便卖广告。。马来西亚已经到这地步了吗？实话说我不认为他厉害，只认同他够胆死。。"
pulauturtle,20170429,"这种最直接就是国家立法把它列为非法,警察直接调查抓人。中央的呀"
chinapee,20170429,"大概有送钱给政府的， 所以都没烧他们店。。"
探险家,20170429,"闹大后政府被逼一定要采取行动, 如果不做事就等于默认了金钱游戏, 目前闹很大=宣传, 到时候会开始进攻最大的马来人市场, 而上面顶端的都是华人, 而金钱游戏是一定会爆盘的, 最后死的全是下端的马来人, 华人全部笑眯眯, UMNO地位直接动摇因为联合华人欺骗马来人.....所以现在有机会跑要尽快(如果还有机会), 政府绝对不会妥协, 一定会找事做....."
chinapee,20170429,"大选要到了， 要经费 ！！！。。 就逼MG捐钱给巫统就对了。。。"
莱殊,20170429,"Joseph Lim 将槟城人民的资产木蔻山出售给money game。。。。可见槟州政府和money game的关系有多深。。，，，"
dupont378,20170430,"绝对不能报警报警的赶快打死"
莱殊,20170430,"Joseph Lim 将槟州人民的资产木蔻山出售给blacklisted company 。。。。可见是存心包庇。。。。。"
eck88,20170501,"玩金钱游戏的人肯定知道这种游戏根本就是骗局，只是本身的贪婪念头和抱着博得过就赚大钱的侥幸心态，所以才会掉入骗子所设下的骗局。我是槟城人，槟城人玩金钱游戏的风气太盛是事实，连身边的一些朋友都沉迷金钱游戏。有一个朋友开始玩JJPTR时的确赚到钱，还跟别人说翘脚都有钱拿还做什么工，后来因为贪心要赚更多钱，就拿出更大笔钱投入JJPTR金钱游戏，现在JJ出事，结果搞到他的钱提不出来，整个人变成精神恍惚。                      朋友当中有一些好像中了降头一样沉迷金钱游戏，也有一些就非常理智完全不涉足，因为他们非常清醒地了解金钱游戏就是抓住人类的贪念而设计的骗局。              "
不吐不快999,20170501,"知道什么是上瘾吗。。你以为自己意志坚定。。一不小心就沉沦了。。我写这文就是提醒那些说我的钱我喜欢怎么样就怎么样的人。。要记得你所作所为对社会的影响。。身为现代社会一个人的基本公民责任。。你以为为什么那些美国首富为什么那么低调。。做善事 裸捐什么的。。因为社会都在看。。如果太奢侈高调就会引起仇富心理。。社会风气不好。。当然我们普通人没那么受关注但是会影响身边人。。当这个数目变大时就会有产生社会问题了我们需要一些信念来支撑我们 避免自己掉入这些陷阱。。概念要正确 不然那些人偷换一下概念 你转不过来就认为理所当然了。。"
FreeScotland,20170501,"你太过天真了！有些朋友说朋友的錢你不赚别人也会去赚！这个现实的世界没有所谓的朋友！如果你有本事有錢就很多朋友！"
不吐不快999,20170501,"赚？这是赚？你看这就是问题。。这是赚吗？这叫骗。。大家一起骗 然后相信一个美好的谎言。。你如果说这叫赚钱 那我无话可说。。劝告你一句如果你所谓的朋友是因为你有钱那你太悲哀了。。"
AMOS5566,20171221,"根据警方调查，国内的43家金钱游戏公司，今年首11个月总共骗走130万人的58亿令吉，情况的严重性令人瞠目结舌。58亿令吉是个一般人难以想象的天文数字，《南洋商报》为此解析：若以3%年利率定期存款计算，58亿令吉每日可得超过47万令吉利息。还有，43家公司骗走58亿令吉，等于平均每家公司骗走逾亿令吉，而130万人受骗58亿令吉，等于每人受骗逾4600令吉。金钱游戏最严重的问题，就在这里。4600令吉，对那些有经济背景的家庭当然不算什么，对中产阶级或许也没什么大不了，但对手停口停一族来说，这绝对是一笔不小的数目。当了几十年打工仔后，银行户头才勉强存得一万几千令吉的大有其人，而这类人更容易铤而走险参与金钱游戏，对好些人而言，最好的“投资”莫过于金钱游戏。平心而论，没有几个人会傻到完全相信金钱游戏是一种正当的投资，只是大家都心存“早起的鸟儿有虫吃”之侥幸，希望自己是金钱游戏的“先头部队”，刮了一笔之后就拍拍屁股走人。殊不知越容易得来的东西就越容易失去，在人性贪婪的驱使下，许多人后来是食髓知味，不断“加注”，最终落得个血本无归的凄惨下场。武吉阿曼商业罪案调查局总监拿督阿马星语重心长，呼吁公众切莫轻信回酬率高到难以置信的投资计划，这位长官对金钱游戏受害人的循循善诱，我们相信完全出于真心，但我们同时相信，要是政府当局没设立一套完善的防患于未然法制，金钱游戏终有一日还会卷土重来。曾几何时，金钱游戏曾风行一时，泡沫破裂后宣告销声匿迹，但谁又想到30年后的今天，这个不晓得害惨多少幸福家庭的金钱骗局又再大行其道。1980年代，合作社风暴席卷全国，后来1990年代又有“快速致富计划”，今天我们管它叫“金钱游戏”，若干年后，谁敢确定它不会改头换面，以一个更美丽动人的名字重现江湖？（南洋社論）"
paulng85,20171221,"其实就是赌博。"
猴年馬月,20171221,""
Diend,20171221,"目前现在最热的就是比特币～请问lz对比特币有什么看法？虽然我自己是没玩，只是看到身边的朋友开始不断在投资不同的货币不在工作了...我的看法就是玩玩可以，但当作可以永久收入还是想都别想"
