Topic title: 火箭不敢在國會裡反355，改在走廊stream FB，卻被伊黨mark著來打，馬華站起來反卻沒事
username,date,text
一燈大師,20170429,"火箭不敢在國會裡反355，改在走廊stream FB，卻被伊黨mark著來打，馬華站起來反卻沒事。早知如此，火箭 36 個國會議員轟轟烈烈地在國會幹一場，或許還獲得更多掌聲。大家說對不對？嘻嘻。http://www.sinchew.com.my/node/1638626"
miche0724,20170429,"到底是怎样啦？编好剧情可以吗？到底行动党是出卖华人清真化槟城，还是因为反对落实355而得罪回教党？consistent一点可以吗？"
一燈大師,20170429,"很一致呀。人家一直來都不反 355 的。人家以為 stream FB 不可能得罪伊黨。和清真化檳城的政策很一致。可是伊黨很奇怪，就是要咬死火箭。#吃popcorn看戲"
krai,20170429,"唔通的旺旺没办法咬火箭，就只好放来牛撞。看不出原来舞同怕火箭多过怕那只老马"
miche0724,20170429,"奇怪，你是住朝鲜的吗？https://www.facebook.com/pg/kinitvcn/videos/伪中立惨遭打脸马华就是静静，所以才没有被咬啊去看看到底是谁支持推行355法令哎呀，又被打脸了吧"
latte3948,20170429,"反355法令 + 支持清真 是这个意思吗？"
Ex-5th,20170430,"大师说得真棒棒，火箭 36 应该在国会轰轰烈烈干一场，嘻嘻。"
crovoseas,20170430,"355。。。。let it pass first。。。。money game。。。。。diam diam。。。。。土地照样卖给他们。。。。。"
莱殊,20170430,"馬華還是有部長當。全馬華人知道馬華有在國會反 355，火箭沒有。全馬穆斯林討厭死火箭。已經足夠了。嘻嘻。"
一燈大師,20170430,"可怜的马华要出钱请枪手。下届大选我们送它一程。"
kent913,20170430,"这个小号等下又被封了"
kent913,20170430,"这种帖应该放上去Facebook的马华主页去啊。那样才多人看到。为什么在这自己唱自己爽"
kent913,20170430,"连射都不敢还叫什么火箭。。。。bird bird死了吗"
miche0724,20170430,"火箭粉、紅豆兵，也不嘗試在 哈迪阿旺 和其他 PAS 臉書幫火箭討公道。"
一燈大師,20170501,"最后回教感谢谁？感谢国阵。卖华每年都做戏。。"
