Topic title: 【JJPTR崩盘？】外汇投资变拆分盘？ JJPTR推出新盘继续玩！
username,date,text
Cari_PHJ,20170502,"JJPTR东山再起推出了全新的投资计划，让投资者可以继续玩金钱游戏！早前宣布崩盘的解救普通人（JJPTR）星期一（1日）晚上11时于面子书上发布了最新消息，该公司推出了全新的投资平台予投资者，将原本的外汇投资改为拆分盘的方式继续投资计划。根据JJPTR发布的视频显示，这项最新的投资计划标榜能让投资者每10天赚取永续收入，最低的配套金额仅100美元，最高则是1万美元。此外，投资者每次拆分时还能通过幸运抽奖活动，赢取手机、摩托车，甚至汽车，而拆分后还能获得“JJ点数”，在一些特定的消费享有优惠。JJPTR还表明，公司将会把旧平台的投资款项退还给所有的会员。Loading FB Video..."
仓底货,20170502,"恶意灌水？"
普特朗,20170502,"你今天敢做别人不敢做的事，明天才能拥有别人不能拥有的东西！"
山地阿高,20170502,"这条水很勇一下。。警察都开始调查他了还再继续开新盘"
Weida,20170502,"一千千到底才是做大事的人！"
crovoseas,20170502,"有了免费宣传，这次发了。"
普特朗,20170502,"..."
加峻,20170502,"继续玩，国家银行会插手吗？"
arionb212,20170502,"打抢银行！绑票富豪！这些能够算吗？"
寂寞小伦,20170502,"就算今天铲除了他 还有千千万万个他 LOL"
爱林宜,20170502,"他的目标1B马币目前还没达标"
小杨,20170502,"既然要当con man，那么就要当最大的，这方面还可以向鸡大人学习"
Weida,20170502,"一但国行插手有可能会导致更多MG公司崩盘和涉及者罚款！"
sm99999,20170502,"这条水后台很硬一下，闹了那么大的新闻了，竟然没有警察敢抓它。"
VINCENT@YONG,20170502,"今晚开新盘了…目前这些MG公司有三个都倒闭了…之后应该会更多"
kitkatlaw,20170502,"进吧，进吧，这样老板的劳斯莱斯就指日可待了。他银行账目的数据，取决于您的“智慧”。。。。。"
Weida,20170502,"现在没人报警没所谓，要看谁知识薄浅在他的上擋！"
chtan69,20170502,"做老千可以做到这样明目张胆还真的是成功了。只能怪sohai太多。"
Weida,20170502,"http://www.sinchew.com.my/node/1639179/jjptr%E6%8E%A8%E5%87%BA%E6%96%B0%E6%8A%95%E8%B5%84%E8%AE%A1%E5%88%92%EF%BC%8E%E6%9C%89%E4%BA%BA%E5%8A%9B%E6%8C%BA%E6%9C%89%E4%BA%BA%E5%90%81%E5%8B%BF%E5%86%8D%E5%8F%97%E9%AA%97"
Weida,20170502,"如果今晚开新盘，相信国行很快有所行动！"
BWccf,20170502,"这可能又是MBI做幕后军师了"
professiorKing,20170502,"空手套白狼，噢不对不对，套黄猪才对"
jq5169,20170502,"哇咔咔卡！又有新的金钱游戏可以玩了！"
kwai56,20170502,"捉不到，因為Roti Canai檔太多了 "
三傻Samsung,20170502,"因为有亿亿兆兆个白痴跟随者"
deviruchi838,20170502,"把credit score 做漂亮，下次就能滾到更大筆的錢了"
noob1900,20170502,"國行說去找貿消部，貿消部說去找警察，警察又說去找國行"
c_long,20170502,"政府根本就是不要捉啦，要捉的话早就行动咯。可能后台很硬，不然就是大选后才捉"
hawkman,20170502,"照現在的走勢, 整件事,應該會不了了之."
洋葱小弟,20170502,"进吧，早进的可以站在顶点。收钱多多"
小张栋梁,20170502,"大家快sailang 下去。不要走宝了！"
luh,20170502,"加油,把全部身家都投下去吧"
immigrant_at,20170503,"2017,2018 本帝国BNM 老千竞赛设的入门标准1b ringgit 用心良苦啊。老千们已经提高技术作战了。"
Weida,20170503,"http://www.mytimes.org/cat/63/node/104649"
