Topic title: 大马商人出差到中国搞女人   “妻子”携女儿照片来马找负心汉！
username,date,text
Cari_LSV,20170503,"旁述：李诗韵 l 摄影：陈玟享 l 剪辑：林安琪忦灋梋生意勹呠羸人出差歭肏兂时寂寞难耐，随便搭上榱諺婫瘳了当諾演犂地女子，还让女子为嬍凲他鑺漛賹结婚麄轝生子。结果，孩子昧縴刕生出兣欏来后，生媕睏抷意人鵍佴却玩失踪！找不柯玳糡着丈夫懽兤的女子苦存8年圇勚积蓄后，才终于浓凧攒足旅费，到棤瑚萈马来綡郾西亚寻找负心汉！"
盡用話題,20170503,"都说了很多次，偷吃就要找一些有经济能力的女人，这些女人不单没有手尾，而且还能自己独立帮你养大外面的私生子，等孩子长大成材后一定会想找回自己的亲生父亲的，再说女人容易心软，到时声泪俱下的扮死狗tam她两下就会让孩子认回你了。。。可以省回很多米饭"
盡用話題,20170503,"我说我见识过这种事，你也不会信的。。"
AMOS5566,20170503,"一山難容二虎  山雨欲來風滿樓 "
fiona_lee,20170503,"也不會很漂亮，看錯 以為是左邊那位！"
malaysia_boleh,20170503,"耳朵这么软，三言两语就决定自己的终身"
AMOS5566,20170503,"因為寂寞難耐，所以飢不擇食。"
Nexon,20170503,"马来西亚一大堆这种贱男有女友老婆还出去玩。。"
大屁股HR,20170503,"你是人材"
ECP,20170504,"我也看错了那个应该是助理 蛮不错下"
淋神无敌,20170504,"内射那么厉害！都不带套哦。"
monster.inc,20170504,"有什麼不放負心漢的照片？"
小杨,20170504,"每个男性都想当种马，这是DNA使然，是深深imprint在遗传基因里面的 "
yming2475,20170504,"坐在张天师的隔壁的人有点像 ～～ 曾志伟 。。"
giftfre,20170504,"许多马来妹认识了孟加来的老公，然后回国就是仙，绝尘而去，无影无终。"
kennyteoh818,20170504,"要遵守游戏规则"
kwai56,20170504,"那來這麼多負心漢，當下都是兩情相悅的"
阿粒,20170504,"負心漢？會不會是女方要敲詐？"
leeds17,20170504,"龙哥的朋友"
Barryliaozs,20170504,"玩玩就算了，还搞大人家的肚子。。。手尾够长的。"
Takashi,20170504,"我也是以为左边的那个，听说张天赐的助手都是美女。"
wrm95,20170504,"重情女子遇上负心狼"
fiona_lee,20170504,"看回大馬許多的異國婚姻 如果離婚了女子回國 他們的孩子就跟著一起回國 或者 留下就分隔兩地了"
apurumakke,20170504,"应该是以成龙哥为榜样。 臭男人， 卑鄙无耻。"
史忽瑰,20170504,"算了吧，除非放那个男的照片和全名，不然我看那男的是肯定不会出现的"
macdude,20170504,"无言。。还找到来大马 。。 "
RingRingRing,20170504,"野花毅力太强了 誓要揪出中出她的精神让我佩服佩服"
sm99999,20170504,"他犯的错误就是没带套。其实都是两情相悦，自愿上床的。（眼光好差）上完床后，回国了，没留下联络方法而已。而且，没人敢保证，是不是自己的种。"
180,20170504,"万试万灵 ?"
大炮勇男2,20170504,"@亲中勇男 ，你唐山老婆找你！"
beoa,20170504,"身体痒的贱人"
coveygoay,20170504,"孤掌难鸣..."
fiona_lee,20170504,"別怕 國際版 有一lorry親中老處相信他們會願意接手"
fiona_lee,20170504,"龍王 kkkoKenny123456lala澎拜barryliaoskwant華實春秋D路飛"
chtan69,20170504,"老实说那个猫不吃鱼，不吃鱼的肯定不是猫。"
Carpenter,20170504,"这种负心汉生的女儿就是特别可爱美丽，希望母女能坚强面对日后的生活，这条水估计已经消失不见了，名字也很可疑，八、九年前到中国大吃大喝，还可以说自己是马来西亚的富商，其实说穿了可能只是月光族或名符其实的“负”商！呸，贱种，拖衰马来西亚人！"
盡用話題,20170504,"我有看过一两个例子而已，如果女人已经改嫁了就不要幻想了"
wisec,20170504,"華男大部分都是渣男。"
derrick523,20170505,"张天师的秘书真的很漂亮，很上镜"
