Topic title: 檳消協質問國行：為何看著民眾上當卻不先發制人？
username,date,text
元旦8466,20170504,"张建起先来我国以为可各民族都要大小通吃的，结果只能跑路去去泰国…但即刻被捕捉!根本不需泰国民众报警的，现在回来捐独中…至于在马来西亚的非法金钱游戏、大头目赚钱了就可着草了，现在国行更放话，不论下线、中线或亲朋戚友的投资人都要中捉了……这是什么的逻辑国情??大家又知道是什么原因的吗??=====http://www.chinapress.com.my/?p=954295檳消協質問國行：為何看著民眾上當卻不先發制人？      莫哈末依德里斯檳城消費人協會質問國家銀行，為何允許涉及金錢遊戲的公司進行非法活動，且讓消費人自行選擇和非法金融活動進行交易。該協會主席莫哈末依德里斯今日發文告說，JJPTR（解救普通人）、CYL、Richway環球投資與BTC I-系統，都是最近引人關注的金錢遊戲計劃。“如果國行先發制人控制這些金錢遊戲公司，相信情況不會變得糟糕。”他說，國行是執行2013年金融服務法令的執法單位，據758法案第8條文（1）（b）闡明，無人可進行未經授權業務，除非獲得國行批准，違例者可被監禁10年或罰款不超過5000萬令吉或兩者兼施。莫哈末依德里斯說，國行聲稱JJPTR在今年2月24日已被列入金融消費人警示名單，說明國行已知有關公司提供非法金融活動，為何需要有人報案后才調查？“就我們所知，這家公司至今依然被允許繼續營業。”“為何國行看著民眾上當，卻只能在接獲投訴后才能採取行動？”他要求國行立即針對JJPTR等金錢遊戲公司採取行動，並要求國行解釋，為何相隔這樣久還沒採取對付行動。"
淋神无敌,20170505,"因为林首长在背后撑腰壮胆警方不敢得罪林大大！的最了林大大不给捐钱回教基金几亿的就亏多了！"
yk13,20170505,"其实我也很好奇这一次政府和国行完全是袖手旁观，放任JJPTR大小通吃"
kwai56,20170505,"檳州也是大馬 "
kennyteoh818,20170505,"银行没生意"
chtan69,20170505,"神逻辑巫桶恨不得有大好机会把林神干掉，如果可以还不趁这机会觉得反倒是国阵华基蚊子党骗钱的戏码。这样的逻辑还行的通。"
Barryliaozs,20170505,"事发前出手不叫先发制人而是阻扰人家发财；事发后事态严重了才出手又被说反应太慢。这种愿者上钓的在哪个国家都是很难抓得成的。"
vongolia,20170505,"说得有理，我也想知道为什么，国行为何不采取行动，往往等到爆了后才来假假要采取行动。。。"
khteoh2001,20170505,"我相信这和后台有关，到现在为此，朝野政党双方都有污点，都被人拍到出席有关的活动。"
kit,20170505,"答案是。。。没人报案。"
山地阿高,20170505,"国行应该不用等人报案才可以采取行动吧。。。金钱游戏可以如此猖狂，国行，政府和执法单位都有一定的责任"
mark,20170505,"事实证明这些金钱游戏的目后大佬板很power，连国行和执法单位都不敢动它..."
kmrddecade,20170505,"据说李宗圣放话下届大选国政赢下槟城他就还钱，国政再输掉槟城他就拍拍手说88，要拿回钱大选时就要识做。"
元旦8466,20170505,"这都是马来西亚一向来的风土国情……不然阿猪阿狗随便拿条法例说要去报警（警方说是报警大过天的），就可事先老屈money game头马十万百万了，也不像泰国分为两派实力平衡阵线（警方军方）…可控告金钱游戏的七八法令…1. 刑事法典2. 2016年利息投資法令3. 1993年直銷與反金字塔計劃法令4. 2001年反洗黑錢、反恐融資，及非法活動獲益法令5. 2013年金融服務法令6. 2013年伊斯蘭金融服務法令7. 2016年公司法令"
dogdogman,20170505,"許多藍X兵說國行和執法單位不敢動它，是因為有林冠英照着。藍X兵為了抹黑而故意裝白痴這種境界，有時候我也瞞佩服他們完全不怕報應（欲出去的態度）的做法，是我這樣幹這種造孽的事情話，每天早上醒來第一件事就是去檢查孩子的屁股，看看是否不見掉了。"
元旦8466,20170505,"这还不夠绝…俺收的风是…纳吉会在即将宣布2018财政预算发几个月的花红给公务员，几百万人数的公务员更要识做了……"
512MB,20170505,"Bashlyner其中一个分身还开贴要天收林冠英。。。马华民政网络兵团的素质。。。"
一燈大師,20170505,"不好意思。我們是看數據的。例如數據顯示檳城森林沒被砍伐過，即使全島島民每天都看著禿頭山越來越光，州政府和執法單位也能自我感覺良好。"
kingpower2016,20170505,"我国的执法单位就是 没有出现受害者没有出现伤亡 是不会行动的。除非是死亡高管是受害者再或是等级很高的人来报案才会上新闻去彻查。之前的tan sri案件还不是苏丹投报案 "
kingpower2016,20170505,"我亲人告诉我他们在香港 新加坡 台湾。民众去投报 不管多小的是 警方等单位会去查问，如果没有违法就没事 违法就会去大师彻查。不像我们这里。。。apa hal...?"
kit,20170505,"过亿进出国家， 国行 A 都不敢 A 一声。。。"
元旦8466,20170505,"所以张建只能回来大名目…捐独中…揾华人钱了…!你给钱投资亏损自负了…也犯法…又要给钱执法单位的，"
mark,20170505,"其实你也不能怪卖华中立，它们也是打一份工.卖华主子亲自下令攻击雪州，槟州和林冠英....卖华中立也知道它们在写什么就算开废贴也要开，如果没Hit到target就没2750加被主子吊...它们觉得在佳里给人吊好过给主子吊....这你也明白为什么在这里有那么多的中立贴...."
