Topic title: 首次领军大选经费庞大 纳兹里：纳吉向沙地国王求援
username,date,text
abc74,20170505,"首次领军大选经费庞大 纳兹里：纳吉向沙地国王求援 4/05/201723:47（吉隆坡4日讯）对于纳吉户口内的26亿令吉，纳兹里在华团交流会上细数大选所需的费用，指纳吉首次领军大选时，面对庞大的大选经费感到压力，在不知如何是好的情况下，亲自向阿拉伯国王要求金钱援助。“他去见阿拉伯国王时，也没有说要多少钱，是阿拉伯国王自己说要给26亿令吉的。”他说，纳吉不知道应该如何接领这笔钱，所以就开了一个户头把钱汇入户头内，之后让它成为大选经费的一部分。他抨击前副首相丹斯里慕尤丁、沙菲益阿达及慕克里，在大选时从纳吉手上接过这笔大选经费时，为何不询问资金来源，而是等到纳吉面对指责时才站出来抨击纳吉。“你以为当党主席很简单？是要去找钱的，我们上阵222个国会议席及500个州议席，一个国会议席1万令吉按柜金，州议席要5000令吉按柜金，你自己计算到底多少钱？还有选举时候的钱，纳吉那时候还给每个区部5户人家5000令吉维修房子，这些钱，慕尤丁、沙菲益及慕克里都有拿的！”“若纳吉可以在这些钱中自肥，那得反问领导过5届大选的马哈迪到底你拿了多少钱？”纳兹里说，以上的话都是他想要在与马哈迪辩论时发表及反问马哈迪的，奈何辩论一直无法顺利举行，这相信是警方在袒护马哈迪，他甚至开玩笑说，也许是警方担心他对马哈迪的问题，会让马哈迪晕倒。他认为，大家应该对纳吉面对舆论的坚强毅力表示欣赏，因为若这样的事情发生在他的身上，也许他已经选择结束生命。他感谢华总在敦马攻击纳吉的两年内，不断给予政府的支持，为国家稳定作出努力，他希望，在未来的日子及下届大选，大家还是能够继续给予纳吉支持。http://www.kwongwah.com.my/?p=314599"
professiorKing,20170505,"很好，这次找谁要钱去？"
yming2475,20170505,"把大马城改去回教城 ～～ "
bashlyner,20170505,"如果纳吉有学老马养那么多朋党就不必铤而走险找阿拉伯国王捐款了如果大家认同捐款论（虽然沙地王子已经承认捐款了），就代表纳吉并没有从 1MDB 偷过钱啊"
khteoh2001,20170505,"我就假设捐款是真的，那么，沙地不可能毫无条件的捐款26亿令吉，天下有如此便宜的事？如果是26万令吉，我还能相信是毫无条件的捐款。"
syncsw1,20170505,"如果nazri在马来村跟kampung仔讲这番话不意外，现在竟然对着华总讲。不知道nazri自己傻相信了捐款论，还是nazri真的把华总当kampung仔了。不过nazri傻不奇怪啦，国家政府高官就是一群庸才。连当了18年的彭亨大臣（而且还是主管财政，经济和投资的）都相信自己的$10 ASN投资能够变成RM3000 "
loongken,20170505,"狼来了讲了又讲人民的智商没这么低吧！"
mark,20170505,"26亿令吉是陈金隆拿人民的钱过账给MO1的....刚开始MO1说没拿到这笔钱，过后被发现才说有拿，还是捐款...最后MO1没提供transaction还把1MDB的报告列为鸡密...不可问不可提。说身没屎是假的...."
Barryliaozs,20170505,"简直是提供理由给反对党和老马攻击自己。"
dogdogman,20170505,"藍X兵現在把納吉的什麼X都好，都pusing給老馬。老馬和納吉之前那個阿都拉，藍X兵故意忘記掉。阿都拉的朋黨數目莫非還大過於納吉和老馬的？因為阿都拉的大選成績似乎是歷來國陣最棒的一次。"
dogdogman,20170505,"當初許多中立藍X兵還說納吉不可能傻到把巨款存入自己的私人戶口來替納吉辯護。"
wlwl,20170505,"中国是不错的选择"
wlwl,20170505,"可以想到的原因有两个：1）沙国国王有痛脚被逮住 2）国王很欣赏萝斯马 "
lumixcer,20170505,"不必兜了，大家明的。。"
professiorKing,20170505,"你没看新闻？中铁都不要bandar malaysia"
khteoh2001,20170505,"如果是要附合你说的两个原因，我只能想到的是沙王被“嫉（吉）夫“捉奸在床，但是机率是0.000001%，如果是40年前，那么机率就会比较高。"
mark,20170505,"最近MO1已成功把课题转移去金钱游戏和种族课题了..这厮还提起26亿，真的是不怕神一样的对手只怕猪一样的队友..."
mark,20170505,"应该是林神的错因为没监督MO1..."
仓底货,20170505,"又来展示乾坤大挪移，是不是意味着现在的消费税分分种变成捐款？"
bashlyner,20170505,"这就要看老马当时候愿不愿意把他的朋党叫去帮助阿都拉。大家都知道 1MDB 到处收购私人发电厂，纳吉放任日本车降价让破桶吃蕉，不起弯桥等等。这些都是老马朋党的免费 ATM，人家的财路被纳吉断了还会资助他？"
bashlyner,20170505,"26亿只是沙地国王的一条毛罢了，他们资助周边国家都是以百亿为单位的捐款当然是有目的的，因为不想见到大马落入反对党手中，民粹治国就会像阿拉伯之春那样鸡犬不宁，加上安华与索罗斯关系匪浅，如果反对党执政沙地阿拉伯将会失去一个可靠的盟友。"
一燈大師,20170505,"火箭也有拿以色列 12億 和無數場的 Milo tin 募款。BERSIH 也有得到索羅斯的協助。"
kwai56,20170505,"領導的一個謊讓黨員用無數個謊言來圓 "
dogdogman,20170505,"你可以繼續臉皮厚厚pusing。汇款26亿给一号官——谁是“陈金隆”？Read more: https://www.malaysiakini.com/news/369193#ixzz4gBJ942W3"
khteoh2001,20170505,"即然26亿是沙地的一条毛而已，为什么纳吉不叫沙地再继续捐款呢？反正国库都没钱了，纳吉也不用冒着成为公敌的风险做了好些政策上的改变，如收GST和减少津贴等等的政策？这些都是被反对党的红豆兵和铁粉们用来攻击的理由。只要沙地继续给那么一点点的毛，纳吉不做任何改变，国阵就能稳稳的执政了，根本就不会有阿拉伯之春的隐忧了。"
monster.inc,20170505,"真的是越描越黑。"
bashlyner,20170505,"国家每年预算案是两千多亿呢，而且拿着拐杖伸手这种行为只有老马做得出来，纳吉至少还会把剩余的捐款退回去而且希盟现在这种鸟样，不需要太多金钱投入也可以收他们的皮，而且还有令华人精神分裂的中国政府力挺纳吉"
bashlyner,20170505,"沙地亲口承认他们捐款的呢，你怎么就选择性看那些左膠媒体 而且刘特佐就算是滥用 1MDB 的钱，也不代表纳吉涉及，说好的美国 DOJ 要审判纳吉呢？人家现在亲中亲到出面，红豆兵最爱的美国政爸爸还不快对付纳吉？"
morris43,20170505,"哈哈哈  有这样的队友  替基哥感到难过"
heme123,20170505,"当人民傻瓜?26亿无条件支持你，还直接进你户口。之前印尼仔副相又说是对抗is的钱。吹水都要用下脑。"
nyluon,20170505,"我想買房子但生活負擔沉重，也不知如何是好。你納玆裏可以捐款嗎？不多，26万就好至於有什麽好處，囯陣以後的大選將會永遠得到我及我家人的一票。怎麽樣？"
梦想之追求者,20170505,"他说，纳吉不知道应该如何接领这笔钱，所以就开了一个户头把钱汇入户头内，之后让它成为大选经费的一部分。之前就讲是人家坚持要他开私人户口，现在变成不知道应该如何接领这笔钱,当人民是傻瓜如果对方没有任何意见，直接进去党的户口就可以了，何来”不知道应该如何接领这笔钱“"
MC2,20170505,"把一笔这么大的资金流动，捐款说得那么理所当然，不认同的却被说成分裂国家，破坏民族，诋毁领导人，不知道这是哪门子的思想。"
雷克斯R,20170505,"越描越黑 "
qazz1947,20170505,"肯定那个国王不是业余演员？"
prince,20170505,"破绽处处，26亿是用来大选，那么大选后26亿为何没有减少？马来西亚大选关沙地屁事？沙地王子不是马来西亚公民，为何“捐”巨款给那贼？既然用于大选，那么应该把钱汇入巫统的户头，为何是那贼的私人户头？为何身为副首相木有钉浑然不知有这笔钱的存在？“捐”款被揭发，为何不把钱捐入国库偿还国债，而是把钱“退回”那贼的另一个私人户头？"
mark,20170505,"就是解释不了，所以MO1直接把这case列为鸡密...之前MO1还要反贪污呢！！"
prince,20170505,"一将功成万骨枯，那贼假假打贪污！"
ss24,20170505,"不用讲那么多的，直接公开资金流动链就一清二楚了。捐款者名字户口===〉何时何年何月，通过什么银行转帐，总数多少===〉去到那只鸡的什么银行户口===〉何时何年何月，通过什么银行转帐/按钱，总数多少===〉去谁谁谁的户口银行的纪录是存5-7年的，只要执法单位调查有调查令，就可以提出这些资料。行动最实际，不要耍嘴皮。"
JowY,20170505,"表醬紫，納茲禮是林冠英的好brother還有哪裏不可能了"
JowY,20170505,"Abdullah 乖乖做幾年就下臺，很識相還有沙地根本不用擔心 Adullah 領導的國陣會倒臺使馬來西亞落入 kafir 手中，現在的火箭支持者當年還是投馬華的 "
JowY,20170505,"因爲中東聖城不想失去對馬來西亞的控制，更糟的是安華當時還被傳是梵蒂岡的人，這個你可以問陰毛論大師 @dupont378 "
teachew,20170505,"如果是 1）的话，乸鸡可以继续拿钱，拿到天荒地老，拿到没完没了，直到沙国国王把乸鸡杀掉；如果是 2）的话，河马必须献身，沙国国王会这么“重口味”吗？看来我宁愿相信是 1）了！"
teachew,20170505,"对啊！那位什么一凳大屎等下就跳出来说：“这就是林冠英和所有火箭议员没有严厉监督政府执政造成的，林冠英和所有火箭议员必须引咎辞职，下台！”"
