Topic title: 伊党合作? 我投废票
username,date,text
孤鸟,20170507,"之前旺姐说如果伊党肯和希盟合作，就可以来届大选一同参与。最近希盟的作风就是管你阿猪阿狗什么党，只要可以凑选票就欢迎加入。上届大选后，反对党的理念就越来越模糊了。最近的新闻，什么9岁可以结婚，强奸犯可以娶受害者，膜拜要关店停止做生意这些烂理念，你愿意交一个国家给那些时常利用宗教当作权利的人执政吗?把伊党放进中央政府就像放个恶性肿瘤在你身体扩散，伊党成功进了政府，他们争取的是什么?伊刑法。可以利用伊刑法来做土地王，说什么就算，无法无天。这很不文明也不是多元种族国家的特性。所以，如果希盟有伊党，我投废票。(虽然投不投国阵也会赢)"
Screenshot_2017-05-07-20-59-00-1.png,20170507,"什么投废票？不投票才最实际。投废票也需要用到钱和时间。"
仓底货,20170507,"希盟支持者一直讲回教党退出希盟将会是最大输家，他们忽略了公正党也是压力很大，尤其是他们可能只剩下华裔议员在华裔多的混合选区获胜而已，那么就很尴尬了。"
科学就是未来,20170507,"巫统和伊党呢？"
玄竹灵峰,20170507,"也是投废票，我替那些中立的回答。"
蓝火爆,20170507,"伊党+希盟 = 废票，伊党+国政 = 废票；不如直接坦白希望大家投废票啦，尤其是亲希盟的，不要害羞。"
crovoseas,20170511,"伊党是希盟的唯一救命稻草。。。。。但它并不是希盟里唯一的毒瘤。。。。。老马的土团破坏力不在伊党之下。。。。。火箭正在积极的伊斯兰化。。。。。蓝眼要盖伊斯兰城。。。。。"
莱殊,20170511,"极端回教主义国和极端贪污腐败过国，俺选择后者。"
islington,20170511,"支持投廢票教訓伊斯蘭黨。"
一燈大師,20170511,"投廢票？我这里有一大群，连注册都懒了。"
kpsia118,20170511,"很好，我也支持他們以不註冊，抗議任何和伊斯蘭黨合作的政黨。"
一燈大師,20170511,"我决定投独立人士了管他是谁，是人也好，是鬼也好反正我的地区就只能投马华和伊党"
yhsoon,20170511,"PKR这次真的好L cheap。。"
lumixcer,20170511,"红豆逻辑这是汉奸的行为支持希联救国家，不管希联再怎么不好但换了一切自然而然的会变好，所有问题在希联上台后就一定可以解决就算到时真的神权治国那也是符合马来西亚国情，一点点牺牲是必要的重要的是鸡哥一定要下台"
hangz81,20170511,"要是选区只有梧桐和伊党当然投伊党 千万不可给国政拿回三分二国席另一方面想 要是伊党想推行回教法 哪会和国政斗 "
us2009,20170511,"看来这届很多人都投废票。。。国家希望渺茫，没好的政党可依赖，难为人民了。。。"
孤鸟,20170511,"看了这贴 证明很多人会投希盟庆幸大马很多人爱自己家乡 想换个好政府 为未来下一代"
us2009,20170511,"投投国阵都不会投伊党。看看现在的阿富汗和印尼。回教国是没有回头路的。 贪污或许很严重。只要有决心， 还是有点希望"
玄竹灵峰,20170511,"这一届就要伊党这个左右逢源的搞屎棍彻底消失！"
盡用話題,20170512,"投国政只会让回教法更加快通过应为梧桐得回三分二  就会回报伊党不信的话 就看看咯"
孤鸟,20170507,"之前旺姐说如果伊党肯和希盟合作，就可以来届大选一同参与。最近希盟的作风就是管你阿猪阿狗什么党，只要可以凑选票就欢迎加入。上届大选后，反对党的理念就越来越模糊了。最近的新闻，什么9岁可以结婚，强奸犯可以娶受害者，膜拜要关店停止做生意这些烂理念，你愿意交一个国家给那些时常利用宗教当作权利的人执政吗?把伊党放进中央政府就像放个恶性肿瘤在你身体扩散，伊党成功进了政府，他们争取的是什么?伊刑法。可以利用伊刑法来做土地王，说什么就算，无法无天。这很不文明也不是多元种族国家的特性。所以，如果希盟有伊党，我投废票。(虽然投不投国阵也会赢)"
Screenshot_2017-05-07-20-59-00-1.png,20170507,"什么投废票？不投票才最实际。投废票也需要用到钱和时间。"
仓底货,20170507,"希盟支持者一直讲回教党退出希盟将会是最大输家，他们忽略了公正党也是压力很大，尤其是他们可能只剩下华裔议员在华裔多的混合选区获胜而已，那么就很尴尬了。"
科学就是未来,20170507,"巫统和伊党呢？"
玄竹灵峰,20170507,"也是投废票，我替那些中立的回答。"
蓝火爆,20170507,"伊党+希盟 = 废票，伊党+国政 = 废票；不如直接坦白希望大家投废票啦，尤其是亲希盟的，不要害羞。"
crovoseas,20170511,"伊党是希盟的唯一救命稻草。。。。。但它并不是希盟里唯一的毒瘤。。。。。老马的土团破坏力不在伊党之下。。。。。火箭正在积极的伊斯兰化。。。。。蓝眼要盖伊斯兰城。。。。。"
莱殊,20170511,"极端回教主义国和极端贪污腐败过国，俺选择后者。"
islington,20170511,"支持投廢票教訓伊斯蘭黨。"
一燈大師,20170511,"投廢票？我这里有一大群，连注册都懒了。"
kpsia118,20170511,"很好，我也支持他們以不註冊，抗議任何和伊斯蘭黨合作的政黨。"
一燈大師,20170511,"我决定投独立人士了管他是谁，是人也好，是鬼也好反正我的地区就只能投马华和伊党"
yhsoon,20170511,"PKR这次真的好L cheap。。"
lumixcer,20170511,"红豆逻辑这是汉奸的行为支持希联救国家，不管希联再怎么不好但换了一切自然而然的会变好，所有问题在希联上台后就一定可以解决就算到时真的神权治国那也是符合马来西亚国情，一点点牺牲是必要的重要的是鸡哥一定要下台"
hangz81,20170511,"要是选区只有梧桐和伊党当然投伊党 千万不可给国政拿回三分二国席另一方面想 要是伊党想推行回教法 哪会和国政斗 "
us2009,20170511,"看来这届很多人都投废票。。。国家希望渺茫，没好的政党可依赖，难为人民了。。。"
孤鸟,20170511,"看了这贴 证明很多人会投希盟庆幸大马很多人爱自己家乡 想换个好政府 为未来下一代"
us2009,20170511,"投投国阵都不会投伊党。看看现在的阿富汗和印尼。回教国是没有回头路的。 贪污或许很严重。只要有决心， 还是有点希望"
玄竹灵峰,20170511,"这一届就要伊党这个左右逢源的搞屎棍彻底消失！"
盡用話題,20170512,"投国政只会让回教法更加快通过应为梧桐得回三分二  就会回报伊党不信的话 就看看咯"
