Topic title: 6匪徒明目张胆抢劫  韩式烧烤店顾客遇劫
username,date,text
Cari_CYJ,20170508,"6名匪徒胆大包天，竟在光天化日之下闯入营业中的韩式烧烤店，并抢劫当时正在用餐的顾客！Loading FB Video...从闭路电视画面可见，这6名男匪徒当时头戴头盔，手持巴冷刀走进位于安邦淡江地区的一家韩式烧烤店内，并开始搜刮在场用餐的顾客的财物和收银机内的现金，两三分钟内就完成整个抢劫过程。根据每日新闻报道，安邦再也警区主任韩查助理总监指出，当时烤肉店仍在营业，至少有8名顾客在店内。当匪徒闯进烤肉店后，便开始喝令他们交出财物，在场的顾客和店家损失大约2万9千745令吉。警方初步怀疑，这6名嫌犯是巫裔男子，当时他们分别乘坐3辆摩托车到案发现场，警方也正在竭力追查他们的下落。警方目前援引刑事法典第395条文（结夥抢劫）及397条文（持械抢劫）调查此案，并呼吁民众若有任何线索就通知警方，以协助调查此案。"
nyluon,20170508,"幻覺來的。政府說了我國治安良好"
deadman,20170508,"raya快到就很多这些案件。"
loongken,20170508,"能拿着长刀招遥过市没被捉真是奇闻。"
lengflower,20170508,"佳节在即 牛鬼蛇神又忙 ' 扑水 '鸟"
ccsoon3279,20170508,"无法无天？连在外用餐也不安全？"
blackcat98,20170508,"搶的好,馬來搶馬來"
loongken,20170508,"经济太好的效应。"
kmrddecade,20170508,"问题是没有人敢反抗啊，拿椅子起来直接冲过去，你够凶他就怕"
qazz1947,20170508,"这家店我去过卖猪肉的"
梦想之追求者,20170508,"没办法，raya到了，各自找吃咯"
loongken,20170508,"不是吧好像看到有包头的在吃东西。"
hangz81,20170508,"真的吗？  影片好像有巫裔哦"
beoa,20170508,"出去吃顿饭都有危险，什么世界？"
ongtk,20170508,"大家带多一点现金吧，如果他们坚持开出来看只是卡会砍你几刀！"
wlwl,20170508,"如果店里面有便衣警察如果又有枪，他敢拔枪吗"
kingpower2016,20170508,"那些抢劫的，都是在节日前需要钱应急。很多时候他们的父母就是在远地方的一个小村落。他们的父母没有想到自己的儿子就是劫匪。 以前我当手机店主时候 很多马来人就是raya前都来卖手机 典当手机，很多。。。为何他们真的是那么不行的吗？"
mangolu,20170508,"又是中国人干的？"
alienwong,20170508,"有什么问题？２６亿（大便纸）都可以无端端变成捐大便纸，为何他们不能拿长刀打抢？都是有样学样啊～～～"
quekjh,20170508,"手里拿的刀可能是强国制造的。。。。。。。"
mangolu,20170508,"以前是不是中国人，就是中国新移民，要不跟中国人学的！现在你又多了个，凶器是中国造！不错，有进步！"
monster.inc,20170508,"馬來人搶馬來人。"
AMOS5566,20170508,"不要幸災樂禍，出門在外，誰都有機會中招。"
quekjh,20170508,"所有东西都离不开强国制造，祖国强大。。。。。"
macdude,20170508,"哪里来的，店名？？"
mangolu,20170508,"你祖国是马来西亚！我建议鸡哥给你个护国有功奖！再来个丹斯里！"
q\=.=/p,20170508,"很猖狂，哪间？什么店名？   "
otkkalahteruk,20170508,"動物園那邊，聽說是偏僻的富人區"
loongken,20170508,"有能力的都不敢出手怕伤到这些地球王子上次都有几單反抗打死劫匪被控谋杀。"
seankaz,20170508,"在场的人也太冷静了啦"
坦克車,20170508,"腫頸長的一句話害死人了"
草根一名,20170508,"是呀，很多马来人都很穷，而且别被他们表面骗到。好像我的马来妹租客，又不是租很贵，才 RM750，也不能准时给，但她还是要坐入口车。不过总的来说，马来妹还算肯做工，马来仔，，，，懒到，，，连我租客也承认马来仔懒。"
三傻Samsung,20170508,"吃韩国菜吗？活该"
天主的女儿,20170508,"今天在看死亡笔记连续剧，这些打劫让我想到。。。如果真的有死亡笔记解决这些事情，不知道是好还是不好？"
Carpenter,20170508,"之前看了你的回复，都是以上那段反讽刺的说法，我笑到不行！但对于这种治安或政治腐败的新闻，我只想说，...不是马来人，就是印尼移民，要不跟马来人学的！...不是马华的错，就是民政的错，要不就是国阵的错！"
神垂死,20170508,"有点假。。。那些顾客还可以聊天，被抢了还坐在那边讲话。。。"
mangolu,20170508,"不是反讽，而是本坛真的有很多人在这么说，要不要我呼几个人进来？典型的：@Don2011 还有几个，想到再找出来！"
BIZET,20170508,"不夠12個, 仍然治安良好."
LIHUI0114,20170526,"监控录像呢，很难追吗"
q(T_T)p,20170526,"哇，可怒也～～～～林观音下台！！"
