Topic title: 无良老板怂恿职员，打OKU员工
username,date,text
合气求道,20170509,"在脸书看到这个po文，感觉里面的残障和弱智人士在水深火热之中。。。原文如下：-“这个影片是来自一个朋友要我帮她发出去的 。(她不方便发)。。。无良老板欺负员工。。(自己不打叫员工打他们，已经不是第一次被打了)影片里被打的三个员工红衣是残障人另外两个是有点弱智。。地点在SUNGAI LONG UTAR 对面某饭店请大家帮帮忙分享出去。。感恩!”Loading FB Video...应该不会有人拿这种损人不利己的事情开玩笑吧？如果属真，希望能还他们一个公道。来源：Facebook"
盡用話題,20170509,"不要讲弱智，连我们这些正常的也会有这样的遭遇，office最多"
合气求道,20170509,"东方有独家出现了。http://www.orientaldaily.com.my/s/195818"
Screenshot_2017-05-09-19-33-12.jpg,20170509,"很多畜生請弱能人士就只是為了發洩自己的獸性而已"
deviruchi838,20170509,"脑残老板！"
肥仔聪,20170509,"有没有搞错哦，连残障人士都要欺负？ 希望警方尽快介入调查此事！"
vongolia,20170509,"你被打过？"
loongken,20170509,"捉去坐牢兼打鞭。"
loongken,20170509,"暗示是那一家饭店嘛... 下次绝对不帮衬他"
21岁人。。。,20170509,"要是红衣的拿起那把刀。。。"
浩浩荡荡,20170509,"脸书有人爆料啊。"
合气求道,20170509,"为什么他自己不打呢？为什么那个员工要打呢？"
firehawk,20170509,"為毛那老板要叫其它夥計打他們啊？"
Satin_meow,20170510,"Sinchew也出了。無良老闆知道事情鬧大，想私底和解。那個動手的臭屁孩應該給他應個夠夠力，不斷挑那廚師打他"
cef_careu524,20170510,"他要顯示他的權威。這種人不配當老闆"
cef_careu524,20170510,"等吃監牢飯"
Satin_meow,20170510,"请oku工作的好处：-一堆人给钱你赚，还会到处帮你宣传-会有一堆人说你很好人，请oku工作，不歧视oku-就算餐馆有什么问题，出餐慢，顾客也不会生气-薪水低-有什么不如意的事/压力大，可以发泄在oku员工上以上纯属虚构，如有雷同实属巧合"
无名好留,20170510,"看到不公义的事要出来指责 ，或者自己的良心受到责备 。。"
yming2475,20170510,"够力OKU都打 ，我真的不敢看下去 。。看了心里不舒服"
yming2475,20170510,""
平谷,20170510,"酱的无良老板要给他够力 “红”， 红透半边天。 无良老板脑残都不如！！！"
合气求道,20170510,"前两个都被拍打罢了还好，最后那个被拳打脚踢凄凉。"
AMOS5566,20170510," 人神共憤！蒼蠅拍應該用得上了，生意額滑落谷底應該指日可待。"
@25,20170510,""
五十步,20170510,"欺善怕恶~见高拜见低踩MK仔~"
盡用話題,20170511,"无中生有，捏造故事让全公司人对我反感"
