Topic title: 她并没有吸毒！逆行撞死人女司机无罪释放
username,date,text
佳礼编辑,20170512,"19岁的黄佩雯在3月14号在槟城双溪赖往北海反方向车道反方向行驶，结果导致迎面相撞的一名轿车司机死亡。虽然早前爆出因为她吸毒而导致车祸发生，但今天的尿液检验报告却让案情来了个大逆转！"
meetknight,20170512,"撞死了人哦？ 有没有吸毒只是加罪罢了 为何无罪释放？ "
koeyqi,20170512,"啊啊啊，没事？ johor 的就好像要控告"
paulng85,20170512,"可能是控告她吸毒，没有控告她闯死人。"
@25,20170512,"不是吧"
vongolia,20170512,"7月5号还要过堂的，什么无罪释放。。。"
seicaibao,20170512,"意思是说吸毒罪无罪释放，7月5号是令一条罪过堂"
50912cmea,20170512,""
kmrddecade,20170512,"美女，反正她犯的错没有超过26亿，不如无罪释放好了。"
50912cmea,20170512,"美女？？？"
houlangeng,20170512,"又吃钱啦"
+_o_+,20170512,"一卡在手，畅行全高速公路。（oku卡）"
koeyqi,20170512,"上面恶心图片，想吐！标题改一下， 应该是吸毒罪释放，没吸毒"
apurumakke,20170512,"你讨厌cari的copy paste新闻是你的事， 不要影响其他人。"
Orochimaru,20170512,"尿液证明没吸毒，所以这条毒吸毒罪名就不成立，另一条危险驾驶导致他人死亡的应该很难逃得过瓜"
大炮勇男2,20170512,"霉女！很倒霉下！"
thunder,20170512,"cari 神逻辑！她没吸毒所以逆向撞死人无罪释放！"
vvti_84,20170512,"误导人的报道。。。吸毒无罪....但是还是面对危险驾驶导致他人死亡的控状还没审判===========================（大山脚12日讯）早前在高速大道上逆向行驶酿1死5伤的19岁女司机黄佩雯被验出体內没含毒品反应，因此在危险毒品法令下无罪释放。不过，被告仍背负一项触犯陆路交通法令案，今早在大山脚法庭过堂。http://www.orientaldaily.com.my/s/196207"
miloicekawkaw,20170512,"再次看见 Malaysia Boleh 的能力了。。。。"
sifuking,20170512,"在马有钱什么淋都boleh"
daimon,20170512,"希望她得到應得的懲罰"
爱林宜,20170512,"很奇怪的一个报道无罪开释的到底是吸毒罪还是撞车罪呢？"
chinapee,20170512,"钱到位， 强奸犯都能变英雄"
Razor_1130,20170512,"那时新闻好像有说吸毒,而且尿检呈阳性的哦现在又变没吸毒了..可是这个case..我很希望这个女的进去坐一坐..害人不浅"
雷克斯R,20170512,"改標題好點吧 . . ."
vvti_84,20170512,"好多人看报导不看完内容 "
beoa,20170512,"触犯陆路交通法令案，应该不是无罪吧？！"
学无出路,20170512,"希望她能获得轻判改过的机会，毕竟才19岁。"
阿白,20170512,"没吸毒, 那么就是蓄意杀人, 应该重罚"
leo3_puff,20170512,"大家要慎言啊，這是法庭判決，前往別為一時之氣，而不小心犯下藐視法汀之罪"
rometyk,20170512,"那我也要去打抢银行了叫法庭告我吸毒，然后证明了我没吸毒所以我没罪"
lumixcer,20170512,"没吸毒没酒精会这么狂？"
RingRingRing,20170512,"title 不要误导人pls 做报道要负责任啊 "
gaomin,20170512,"你可以试看，需要的话，配备有人会提供的。"
Heng1234567890,20170512,"难道事主是咖喱的人？为什么不写只是吸毒罪无罪释放但是还有其他罪还在控，这样的标题很误导人"
vvti_84,20170512,"虽然被告在危险毒品法令下获释，但她仍面对另一项控状，即1987年陆路交通法令第44（1）（a）条文。在此条文下，一旦罪成，將被判监禁不少过3年，或不超过10年及罚款不少过8000令吉或不超过2万令吉。其驾驶执照也可能被吊销至少5年。"
