Topic title: 不能穿传统服装在KLCC公园拍照？“服装不恰当为由，驱赶他们”
username,date,text
Cari_YWQ,20170515,"鬍畄在马鞮鯦来西亚唧錳勂这該窨个多元种族的瑏扌賵癁菙国家，除衞閻万了马来官根焗人输瞪、华惦炈锄人、印度蝿蠅锕人三斅輷大种族，还枬鮧有卡达山人岤玨纕、达雅胞一人、伊班瓗曆鷷人等原住民。不晤鷞劗得麙頤仨不提的衣棍麓是銄瘟銛，駽霮在这毒摫兰些少数族群中灯羝椝，很多部族的镬蓍唐服饰丰富多彩，各具特色。没想到縫涶唕蚕郒的是稉嚻蒙，日前唹矙鶍就后霞被有砂拉越荫嘁人身穿漂亮旵萪篣的传统服饰准备在悬凬亃吉隆坡渑辺国油双峰塔（KLCC）外面的狦燃菄公园拍照留念蝜瑴拸时，竟然遭到刜臧蛳双峰塔管理层弁祽人员驱赶！图片来戧葭源：截图自面子书网友Abam Supir日前在砂騑面子书发文指出，日前覹冉骒有一铱氋批砂拉越隚勼塻人前来娝蝻愠吉隆坡广播大屜兽縍厦（Angkasapuri）参加传统舞蹈比赛，而他渹頣蜪正是龈盐鵏招待这欹韄噸滱一批参赛者嫷嚴郠的负责人啥訫。在深腙艫这韉籆期间，緬遢犨他也带领大敽吪家到炄铙齫KLCC拍照留念，没想箐骖到双峰塔管理层竟然蟢噖糪以服装柵澄轲不恰当为黸桂蟫由，驱赶他浆虭们鰗颉。“游客想幰惎蓕要拍照都阻止，还说如冺滥栏果要釛骛嬿拍照，竦圡傜就请先回去酒店换衣再回蚿蔫憱来。”Abam Supir非常气愤爴捜地问：“这姫蟘鎞鹣擁到底是鱙诱透什么愚蠢的錰珻銽规则？他擳毗仳得媼顆们只是钕翴停留鉹怿在双峰塔外面阢嗤的公园、喷水池拍照，又不毧牜译騅煕媢是魙跚掸在那边跳舞，更琊遂不是窉嬌彘走进双峰塔内拍照！”虽然Abam Supir嚴兀弮在帖文呼吁聤萖嚅大家广传此帖文，但记者发现，帜嫻他删除憏眓了有婈祑关帖文。   另一蹮靫名来悪剉自砂拉越滥頏的网友Haslina就吞鵵将Abam Supir的摍阵倏帖文截图，并谴责KLCC管理层饞党这样的愮庶剿做法简直是嚘扥贡疯叿意螂的，同趦慚鯛时质问僢磂对方是延齃嗂否賨繳妟不知道癡盯这恵喲是传统服装？Haslina餣憭喕在帖文中縀犊指出，他虬拮凔神對了解梬恂国油双峰塔闐製这令欏眍蘊人引以蝬飑磜施偐为傲呒鞙的私人仚桱昶建筑物有験夬遘着装标准，但是杊褔畨双峰塔外的逴虓公园趶墟鵀是公共场合，那既然發垏鳺是公园，应该熩伄是穿韶僺腏上什么衣服都可忲嬪轼以。图片鞬噞来源：面子书“他褣肢剣褶攐们精心打扮，当然凸黎檻是吓梢要鱖挙来著名的洦米莯地隣鳥方留下獚瓏衼美好沜殗的回忆。”“不蕇鴐憜过，我嚆鹜也想问篪磒鮲国油双峰塔管理层，所谓怞戼懨的着装标准又是簊奼嘁什么？乯士緮对唸沛窀我来孔塕擬说，只淡濻要不曝趗勔働碤是光着身子就壯潎阃符合所谓羗睥的着装标准。”“还弾優瞽是，阻止者是猃榁科个豄懥对继棧啾懁壝大马文化一噑銞墑无所知苓犃的挐伩籰大马寮瑋籯人，例堎吚如保安縞贙粱人员？他梳鏳鷤不贆婺明白砂拉越有潏镻鹺着鵵虘鞤这样的跞菪剫文化、传统？他綥陰墬们魹焳哙不毷攢姁知道达雅族娆篁齼的传统服装也鑵鷕叆是像马敏讘蜡来装、旗袍、纱丽一觽赱靗样，都厇紉是传统服装？”当然，Haslina也说，保安磯秽人员可能不明裯是筥犔駞大犺赓马婽佡人，或许是珊箵薠我蹒狊卐们緙紳常常看到抖药繨的窽禅尼泊尔、缅甸雝關橔人等外劳。Haslina感叹，身为轾簆计一毰瀰狝个曋玴焅砂拉越鑠楯人，疻飪蕛他觉得悲另珊国油双峰塔管理层这墰惕样的栤蓸頗做法根本是盌驀硡惭对砂拉越文化枋畸的侮辱。有楛崓狱关帖文决獿在棕癶不到笅毗柣礦迉一天的設糁时匯驵间里，就蓙鮳有玩倪超过1000人巾鶴转载讉鄡分享，魺慝有厞朽廪不少网友留言表示伤心，弬斷有人泚刌韯则表示难籍鄐挳以置信畏閣会发生硑椊曝驃诘柟这样嚌蔊醥的事情。同时捼兼痓，惰聮有网友留言指出：“侍镧甿国油双峰塔似乎忘了蓦觿沙他婘珟鲯勔潎们的糍躓石油大螂睘多源自砂拉越。”"
山村野夫,20170515,"国油的六成收入来自砂拉越，其他四成收入来自沙巴，吉兰丹，丁加奴和海外。"
loongken,20170515,"没用到就当你是草。"
hong_87,20170515,"欺人太甚的管理層"
c.c.chong,20170515,"上一次有位来自西方国家的夫妇在klcc公园手拖手居然中saman(行为不检)"
des_cho,20170515,"管理层可能担心他们是那些街头表演者又或者是那些没有拿批准去那里拍什么短片或拍戏的，又或者是担心婚纱摄影的团在那里越来越泛滥，所以一律都 say no 简单搞定。"
完美@1010,20170515,"下次去那拍婚纱需要申请吗？"
类一凡,20170515,"东马人本来就是笨，财富被贼偷走还要被贼赶"
洋葱小弟,20170515,"KLCC 不是在砂劳越人的砂劳越。 驱逐"
fish_pg,20170515,"你们自己的选择还能怪谁？"
盡用話題,20170515,"没有这样的事，我在那边抓宝可梦时，有些女的没戴lin笠跑步，两粒晃到我都流鼻血了，也不见有保安赶她们走。。"
阿白,20170515,"保安也流鼻血中, 忘记执法了"
盡用話題,20170515,"大众福利嘛"
kblk1988,20170515,"自私，没交我一起去。"
adamlevine,20170515,"KLCC够下衰的，作为旅游文化的一部分，竟然做出这种事"
盡用話題,20170515,"你有抓宝可梦咩？"
tuatualiap,20170515,"所謂有自主權？"
q(o_o)p,20170515,"這些 石油是屬於 馬來亞 的 ok？不是說某個地方靠近你家就是你的"
神垂死,20170515,"山番应该住树上拍照，来什么摩登的KLCC~"
Heng1234567890,20170515,"没有说伤害到他们的尊严的？，如果是其他种族可能会拉队来示威了"
syncsw,20170515,"可惜不是komtar或者penang botanic garden，不然就可以看到马华仔/中立仔倾巢而出，一唱一和起码炒到5，6页。"
莱殊,20170516,"老马兴建的KLCC。。。。留下种族主义的文化。。。。。连老马的拍档林吉祥都说老马是挑拨种族仇恨情绪的主脑。。。。。。"
justebelmont,20170516,"是中囯的，问下勇男吧！"
cct2050,20170516,"穿中东白袍肯定可以"
512MB,20170516,"lucky不是发生在槟城，不然马华民政网络兵团开工打炮了"
q(o_o)p,20170516,"可憐的 Sabah人，在自己家旁邊的寶藏，就只能眼睜睜看著 pRC 和 馬來亞 在搶 "
Cinabaku,20170516,"西马人入境都要批准，在西马大地拍照当然要批文了"
justebelmont,20170516,"给 PRC 人也好过绐你这番薯。"
nyluon,20170516,"莫不是工作人員剛被上頭罵，心情不好故意倒米？"
monster.inc,20170516,"東馬山番入城，被人趕了。"
monster.inc,20170516,"可能男的露腿，不哈拉。"
beoa,20170516,"还没长见识。"
梦想之追求者,20170516,"放心吧，大选前几个星期，你要什么服装都可以，围起来让你拍个痛快都可以"
gaomin,20170516,"这叫什么管理层，根本就是小拿破仑，最后就说是“沟通出问题”，沙捞越人听不懂马来话。"
gaomin,20170516,"原来是这样，可能会拒之有理。"
kpsia118,20170516,"由这事情看来，砂州土著和西马马来人不合拍。甚至，西马马来人会说：东马马来人，不够伊斯兰。可见也未必和砂州马来人合拍。隔了一个大海，有了天生隔膜"
macdude,20170516,"有这样的 law ？"
元旦8466,20170516,"佳礼砂沙份子咧?没话说?"
gaomin,20170516,"不是有没有这样的Law，是他们要怎样做，只要他们想做，就会变成Law。"
gaomin,20170516,"他们能说什么？等事情冷了，他们又会排队出来，S4S,沙捞越国,没什么比这个爽。"
jswongyt,20170516,"就好像卡达山人~~加入穆教就包紧。。都没有了卡达山人衣服文化~"
paulng85,20170516,"又是小拿破仑。"
yming2475,20170516,"伊班人应该吹有毒的飞镖让保安人员中 ～～ 毒  "
平谷,20170516,"何止东马和西马马来人不合拍？ 依偶看， 西马华人和东马华人也不合拍。看了几楼的留言后，大胆断定西马华人长期被西马马来的种族政策欺压，导致有心理障碍， 看到东马人在西马遇到的芝麻小事就好象找到出气筒酱， 死命shoot。  "
kpsia118,20170516,"说句实话，砂州华人认为西马华人非常没礼貌、讲话非常气势压人。就连你西马一句：“唔该”听在西马华人的耳里=非常有礼貌。但听在砂州华人耳里=语气敷衍、不耐烦、好像要快快赶你走。要如何弥补这种印象呢？除非那个西马华人，用肢体语言+“唔该”。好像拜神那种动作+“唔该”。这才能让砂华人听起来，感觉非常有礼貌。或许是习惯不同吧。有时广东话听起来就是有点，语气敷衍、不耐烦、好像要快快赶你走。"
kblk1988,20170516,"我不捉宝可梦，我要看东西。"
prince,20170516,"国阵边缘化他族政策做的怪！"
q(o_o)p,20170516,"做麼醬"
justebelmont,20170516,"喁想说，日本人也有份的，只可惜只是那短短的3年08个月而已。"
盡用話題,20170516,"那就6.7点来吧，随便找个亭子来坐就行了"
q(o_o)p,20170516,""
kblk1988,20170516,"不见不散"
q(o_o)p,20170516,"如果 西馬人 的語氣你都覺得很串，那 香港人 估計都是 Spartan 了"
justebelmont,20170516,"讲眞，为什么你要台湾读书，读岀条材嚟，係唔係英文唔掂？我早说独中害人不淺，幸好东馬的独中都改制成英校了。"
q(o_o)p,20170516,"臺灣 我連去都沒去過，你講什麽鬼話"
