Topic title: 没“闪”，邓章钦好样
username,date,text
tco911,20170518,"政治人物的形象是建立在他们的才华与操守的基础上。有麝自然香，工作能力强、有社会正义感而又有口德、有知错认错、改过道歉的道德操守，自然会受到人民的尊重与爱戴，良好的形象就在工作表现上、在言行举止上建立起来。有的政治人物，口不择言，出口伤人，予人没口德、没风度的印象；做起事来，公私不分，为巩固自己势力，排斥威胁到自己地位的同僚，表露出“小家子气”的衰样；最令人感到不舒服的是，自以为是，趾高气扬，明知自己犯了过错，却死不认账，不认错、不改过，不道歉、不辞职，还用花言巧语狡辩、用转移视线之法“闪”，厚着脸皮硬撑到底，把天下人当傻瓜。日前，沈同钦、吴良山等人为当年犯下的错误，认错道歉，赢得众人的称许；最近，邓章钦为自己没有做好为“雪州城乡规划指南”第三版的把关工作，承认是自己的疏忽，公开认错，诚恳道歉，甚至愿意为此事辞职，如果大家认为错误严重的话。这肯定是从政者的好榜样！笔者认为邓章钦认错、道歉，甚至做好“辞职”的准备，是一种负责任、敢担当的表现，值得称许。这样的政治人物，相信没有人舍得叫他“辞职”。不过，《指南》的“宗教场所”须建立在距离住宅区50米以外的规定，需适用于所有的宗教，才算公平合理。笔者还认为，邓章钦这种敢做敢担的作风，可以作为其他从政者仿效的楷模，包括涉贪被提控的林冠英。据报章报导，槟州州议会的反对党正在酝酿提出，要林冠英休假或辞职的动议。许多熟悉大马政坛运作传统的人，都认为林冠英在现阶段应呈辞或至少休假，等到法庭宣判他无罪时才再回来，比较妥当。这次有邓章钦树立好榜样，林冠英何不向邓章钦看齐，借机自动辞职或休假？别等到槟州反对党提呈动议之后才这么做，以免让人误会“被逼”才不得不如此。自己同僚郑雨周都那么坚持，必有其道理存在。"
512MB,20170518,"为何马华民政网络兵团楼主不敢说贪污鸡？"
512MB,20170518,"马华楼主开了贴就夹着尾巴逃走了。唉！"
莱殊,20170518,"Joseph两父子已经U-Turn。。。。说一套做另一套。。。。选民擦亮眼睛。。。。赶快U-Turn。。。。抛弃火箭。。。。"
盡用話題,20170518,"以退为进吧"
Engineer,20170519,"小林休假后回来，哪个位子已经不属于他"
Engineer,20170519,"老翁不过是玩弄字眼高手，他根本没有胆去挑战巫统"
latte3948,20170519,"跟红豆兵讲林冠英只是买便宜了，是异曲同工。都旗号分明了，谁会去射自己的主子？"
512MB,20170519,"说话爽快！"
假冒是神100,20170519,"难道你们JJ淋DAP又敢谈贪污马?都这么大一只明目张胆贪污滥权到举国上下皆知的MAMAK都被你们又抱又KISS又不计前嫌一笔勾消了呵呵呵呵呵呵呵呵"
莱殊,20170520,"林吉祥自己都说。。。。马哈迪是一切腐败的始作俑者。。。。为什么今天林吉祥却变成马哈迪的abang adik 呢。。。。。"
lier-king,20170520,"如果你林冠英贪污锅震哪有可能这么容易放过他，早就做牢啦。锅震这么心胸狭窄又输不起，谁不知道哦。"
假冒是神100,20170520,"是UNCLE我不放过LKS AND LGE来找UNCLE吧等你嗯嗯嗯嗯嗯嗯嗯"
lier-king,20170520,"人老真的糊涂了，你的身份低微，谁愿意见你，再说现在是年轻人的时代，如果是uncle,就在家安享晚年，别出来wow wow wow"
假冒是神100,20170520,"回来这里就老当益壮了UNCLE的第一个五连发的帖就是 ZERO STRAY POLICYUNCLE失败了虽然UNCLE在80年代就不爽LKS可还不至于会想到要HAPUSKAN 淋家两贼因为金钱事金钱了可是这一次为了天理UNCLE与LKSLGE是没完没了了正与邪不能两立清楚了么?嗯"
lier-king,20170520,"我知道你是邪的，不必急着承认，何不你去查一下鸡哥有没有贪污？你们不是很厉害查贪污的啊，哈哈哈哈"
假冒是神100,20170520,"UNCLE是邪的就不会捉到吃钱的LGE啦SOME MORE请你转告LGE别再盗用CHRISTIAN的身份DOG DAMN LGESORRYGOD DAMN LGE嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯"
lier-king,20170520,"我也知道鸡哥没贪污，都是河马的错，一身珠光宝气搞到鸡哥很穷才跟人民借着钱先来安抚他老婆，要不然等一下河马嫌鸡哥没钱又离婚就好了。"
假冒是神100,20170520,"那鸡是马哈迪拉下PAK LAH推上去的目的就是CONTINUE马哈迪的吃钱把戏一切在预料之中何奇之有?别扯开焦点了UNCLE是回来PENANG收拾LKS AND LGE你们的嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯"
lier-king,20170520,"收拾？哈哈哈哈，有本事就过来在槟城喊你是锅震的支持者，然后再骂林冠英去死。"
阿镖叔,20170520,"现在是让老马将功赎罪，因为他可以贡献一份力量倒鸡，不是支持老马当首相只有傻孩中立才会把顾问当领袖18路诸侯讨伐董卓，各怀鬼胎，各有盘算，不是ABANG ADIK  为什么中立们歌颂老马英明神武，爱民如子，善待华人多年，现在突然变得那么在意老马的污点道理人人都懂，因为找不到有说服力的理由支持纳鸡，只好拉老马比烂，可是中立首相实在太烂，无论老马当年有多烂，跟纳鸡比起来，至少政绩像样的多！"
假冒是神100,20170520,"就是想不通JJDAP不讨伐已经没权力的马哈迪之前或许是怕他现在却抱他高举他JJDAP果然是很口是心非的投机份子嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯"
假冒是神100,20170520,"就是想不通JJDAP不讨伐已经没权力的马哈迪之前或许是怕他现在却抱他高举他JJDAP果然是很口是心非的投机份子嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯"
假冒是神100,20170520,"过去PENANG的那里?你们在KOMTAR的28楼么?呵呵呵呵呵呵呵呵呵呵呵呵"
假冒是神100,20170520,"啥叫将功赎罪你的意思是滥过的权吃去的钱不必还了?那么个个这么说法院监狱要来是干啥呀?可以通通都关掉啦嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯"
一燈大師,20170520,"uncle 你不孤獨，我與你同在。"
假冒是神100,20170520,"谢谢EDEN大使呵呵呵呵呵呵呵"
一燈大師,20170520,"知己不言謝。         "
lier-king,20170520,"不要讲这样多，隔几天我希望可以在报章或fb看到你在槟城你收拾林冠英，没有的话你就是懦夫。"
假冒是神100,20170520,"不是很多人在收拾得他喘不过气了么?那么多人看他不顺眼呀现在那么多人在排着队要修理他嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯"
莱殊,20170520,"老马身为一切腐败的始作俑者。。。。更应该将他绳之以法。。。。让他为过去的作为负责。。。。而不是像火箭那样包庇他。。。。赞美。。。。帮他洗白。。。。欺骗华人。。。。"
假冒是神100,20170520,"一条一条挖出他的贪污滥权冻结充公他与家属一切国内外因贪污而盗取得来的财产你说好不好?呵呵呵呵呵"
kblk1988,20170520,"别开玩笑了，这是火箭里面最狡猾的家伙，比岳不群还岳不群，问下党内人便知道了。"
阿镖叔,20170520,"先杀吕布以后杀董卓就不容易，所以让老马将功赎罪杀鸡而已，反正老马已经不是首相，这不叫包庇，中立们对纳鸡才叫漂白包庇，希盟里没有人像当初的中立一样肉麻兮兮的歌颂老马英明神武，爱民如子善待华人。。。。。老马当初呼风唤雨，靠的是污桶，现在已经失去污桶的老马在希盟里最多当个挂名顾问，纳鸡和马来中立说老马是被利用滴！"
