Topic title: 電影人被掌摑事件中，華社被紅豆兵和煽動專頁挑撥，成為充滿仇恨不反省民族
username,date,text
一燈大師,20170518,"電影人被掌摑事件中，華社被紅豆兵和煽動專頁挑撥，成為充滿仇恨不反省民族。兩人的衝突，被紅豆兵和煽動專頁的渲染下，拉整個華社下水，對國民團結完全們有幫助。"
bashlyner,20170518,"这些红豆兵最喜欢就是用这种标题来散播种族仇恨，如果是老马年代华人敢这样嚣张的话早就出现第二次 513 事件了"
CariusAuto,20170518,"这些MSL真恶心，马来华人还要被恶心多久"
Lify,20170518,"【星洲越来越国阵 越来越不启迪华裔的智慧】星洲不实话实说又再蒙蔽华人读者，你们看看以下内容的差别：Malaysiakini中文版根据事实的报道：【过程中，张秋发申诉纳吉只接受坐前排者的提问，而完全忽视后排的参与者。】星洲蜻蜓点水一语带过的报道：张秋发站出来要求主持人拿督罗斯央【给大家有个公平发言的机会】，罗斯央当时面露不悦。Boycott罢看不买烂星洲，越来越腥臭！"
Lify,20170518,"提醒华人社会这野蛮暴力的人是污桶党员有错？看不起这些华人走狗文字枪手！"
一燈大師,20170518,"用煽動情緒製造仇恨來提醒麼。 "
一燈大師,20170518,"又或者，在你眼裡，任何華人贊成宗教師呼籲穆斯林別阻塞交通，就是『走狗文字槍手』嗎。"
Lify,20170518,"一路来怂恿没有分析力的华人支持你的米主污桶，就是你们这些拿钱枪手的一贯伎俩，还好意思说嘴？"
us2009,20170518,"大师又被真相打脸除了卖华 现在连自尊都不要 自己华人被梧桐欺负 还维护梧桐枉费受了酱多年华人教育 连自己的根都卖给梧桐"
Lify,20170518,"在台湾，日本和新加坡等先进国人民素质比较高，乱按喇叭最多被骂，不会被极端种族主义的人围殴，你的金主要来这里发帖强制洗脑华人被一群野蛮人打是应该的？"
Lify,20170518,"可悲成为没有是非分辨能力没分析力盲目的污桶以华治华工具。"
一燈大師,20170518,"一路來煽動華社仇恨馬來人，是盲目火箭支持者的畢生志願，的確好意思到處散播仇恨。"
一燈大師,20170518,"馬來西亞華社的確被紅豆兵和煽動專頁害得比他國人民的素質低。"
一燈大師,20170518,"可悲的是沒分辯是非的華社，繼續被紅豆兵和煽動專頁荼毒，將個人衝突抹黑成民族糾紛，仇恨馬來人過日子。"
Orochimaru,20170518,"不要打人啦,楼主不要鼓吹暴力教坏小孩子!"
一燈大師,20170518,"華人來自禮儀之邦。無禮在先應該道歉。"
Orochimaru,20170518,"打你一巴掌才道歉"
wong23233030,20170519,"你错了，是打你一巴掌，还要你向我道歉非政府组织：苏莱曼掌掴没错．要求张秋发道歉"
miche0724,20170519,"所以中立的告诉我们，不爽的话，就直接一巴下去"
bashlyner,20170519,"俄罗斯人一言不合就大打出手，华人会说他们是战斗民族，很 man 很有血性马来人或者印度人互殴，华人就说他们是没文化的猴子马来人打华人，华人不会还手，但事后会说他们是野蛮民族要打压华人结论：华人不止崇洋媚外，而且极度没胆。如果是俄国人被打后还 KPKB 会被人讥笑是娘炮，只有华人被打后上 FB KPKB 还可以自我感觉良好是高等文化人"
瘋流材子,20170519,"没有几个华人会被这群废狗欺骗的我们眼睛看到的是，某族已经开始堕落，不断退步落后，一再被种族注意洗脑成野蛮山番一样看吧，10年后华裔只会更高高在上，而他们沦落成眼红山番等着被淘汰"
lier-king,20170519,"讲到离间种族的和谐，怎么不敢提五毒散这个报章呢？怕得罪你老板啊，再说打人就是不对，就要面对处罚，马来西亚的道德教育是这样教我们的，如果他不受惩罚的话，证明锅震包庇这些狂徒，也证明马国的法律是保护锅震的人，也就是说马国法律以死。"
一燈大師,20170519,"馬來人有黨報，那火箭也搞紅豆兵煽動專頁，教唆華人也要極端，對嗎。"
一燈大師,20170519,"華社是安份守己的。暴戾的一部份華人是受到煽動疏擺。"
nyluon,20170519,"給我你的地址。我這就上門去掃你巴掌及毆打你。然後你就好好道歉並反省自己吧"
一燈大師,20170519,"放下仇恨，冤冤相報何時了。不如你現在為你的無禮，向我道歉，好不好。"
hellmales,20170519,"你说别人煽动挑拨，那你开这个帖呢？是鼓吹大家一起学你丢掉尊严，在这里做个忠心舔鸡鸡的X中立？"
一燈大師,20170519,"我們華社應該學玻璃市宗教師反省的美德。約束自己時刻禮貌行事，才獲得尊重。你說好不好。"
lier-king,20170519,"对不起，我不是红豆兵，而且火箭的专页从来没说过叫华人不喜欢马来人，他们写的新闻是马国政府办事不力及贪污，不要乱赖。就算有，也是马来人真的做了不对的事情。"
一燈大師,20170519,"你是中立嗎。你支持一個馬來人動粗，就拖整個巫統來罵嗎。又或者你支持火箭有一個貪污領袖，就判火箭是貪污政黨。"
khang14,20170519,"’对不起，我脸皮太厚了，你打我害你的手受伤，真的好对不起‘ ？？"
Cinabaku,20170519,"基本上华社已经无救了，大家就移民去别个理想国吧"
lier-king,20170519,"对不起，那个人在鸡哥面前打了人，而且目前还没受对付，而鸡哥和锅震的人也没对那马来人做出不满的投诉和对付，那就足以证明鸡哥他们认为它是对的。而且讲到贪污，前世界的人更认为鸡哥更是全世界第一，哈哈哈哈。忘了还有高贵又不尊贵的河马夫人。"
pretender,20170519,"我也想看。。。在他们的世界暴力永远是对。。。 只要你不服从，你就被打。  "
牛牛好累,20170519,"马来西亚处处被中国牵着鼻子走还自high，那又叫什么？"
一燈大師,20170519,"反省和互相尊重就可以了。"
一燈大師,20170519,"你見到首相必須無禮嗎。"
一燈大師,20170519,"警察已經開檔調查了。若被打的那位站穩立場，堅持自己沒錯，為何當場言和，為何不報警。"
一燈大師,20170519,"你回复正確的帖子嗎。"
Lify,20170519,"任何人或种族打人都是违法的，更何况是突然去台上打人或另一个事件一群人围殴？这不是野蛮吗？你在鼓吹合理化暴力？"
lier-king,20170519,"他错了，也不是随便给人打，是由警察对付他，而这人已经动了私法，他也应该被抓，如果是这样，我看到人做错事情我就可以打他咯？对吗？"
Lify,20170519,"大部分有权有势的污桶党员+米虫的确目中无人，这是事实，你要否定什么？"
Lify,20170519,"一味盲目护主奴隶心态出来了，现在网友说得是首相为何没有不分种族发文谴责暴力？"
Lify,20170519,"因为被打的那位是和你一样只考量利益失去尊严的华人，造成野蛮友族更加看不起华人。"
牛牛好累,20170519,"确定没错。因为天真正义的网民都常被媒体误导。我只是想将它们从幻想中导回正途。"
阿镖叔,20170519,"污桶极端分子在纳鸡在座的场合会比较特别爱挑衅，可能是觉得靠山强，当年巴东埔补选，有人发表寄居论时，当时的副相纳鸡也是在台下微笑听演讲！"
一燈大師,20170519,"哪一家媒體，誤導成份是什麼？"
Lify,20170519,"坦白说，在欧美先进国【任何人都会尊重发言是人权之一】，即使是【乞丐】也有表达自己看法的权利，只有亚洲盲目崇拜的阶级文化传统错误根深蒂固才会认为有看法表达出来是错的，张没有错。"
一燈大師,20170519,"反省就不會失去尊嚴，反而會被尊重。"
牛牛好累,20170519,"网络媒体。看看就好，不分是非还信到足。"
一燈大師,20170519,"動私法固然不對。紅豆兵煽動專頁不協助被打的去報警，反而拖整個巫統下水，散播仇恨，你覺得是這個私法又如何？"
一燈大師,20170519,"大部分就不是全部了。你同意華社盲目地將無相關的人士也一起被仇恨嗎。"
bashlyner,20170519,"如果是洋人闹事打架，比如英超常常就发生球迷打人，但是华人都不当一回事甚至会认为是常态"
Lify,20170519,"别想试图为污桶暴力脱罪，转移视线扯到外太空去。"
nyluon,20170519,"請問我怎麽無禮了？我即沒有問候你祖宗，也沒有把你和某些生物聯係起來。只是你既然覺得打人無罪，被打者應該反省自己做了什麽，那麽我打了你你自然應該反省啊。"
Lify,20170519,"每个人都有发言权包括身为人的乞丐，张没错为何要反省？反而打人的野蛮污桶党员不需为自己的暴力负责？什么逻辑？颠倒是非的国阵打手坦白说，在欧美先进国【任何人都会尊重发言是人权之一】，即使是【乞丐】也有表达自己看法的权利，只有亚洲盲目崇拜的阶级文化传统错误根深蒂固才会认为有看法表达出来是错的，张没有错。"
khang14,20170519,"打人就是有礼？两个人的错为什么道歉就只是一方而已？他比较贱？一个首相不能有效的当场解决问题已经能力有问题了，发生后也不表明什么，让那些红衣的去报案捣乱就静静而已，难道又要国防部长出来帮他讲话？"
loongken,20170519,"好像赞打人那方是对这样。"
一燈大師,20170519,"當場不是握手言和嗎。既然解決了問題，紅豆兵煽動專頁不甘心，貼文扯其他政黨下水，讓網民情緒再次爆發，又是哪種解決問題的方法。"
一燈大師,20170519,"依照劉鎮東邏輯，對方不是王族，就可以無禮和批評，對不對。"
一燈大師,20170519,"問人地址，然後說去打人，是有禮貌嗎。這樣的話，郭素沁被懸賞蓋巴掌，也不算無禮了，紅豆兵不必群起大罵了，對不對。"
Lify,20170519,"被打的那位会道歉是因为和大部分华人一样只考量他公司未来能不能申请政府津贴的利益而失去尊严的华人，造成部份野蛮友族更加看不起华人。另外一个事件那位姓张的当事人没有错，但在野蛮国家他被迫成为错的。坦白说，在欧美先进国【任何人都会尊重发言是人权之一】，即使是【乞丐】也有表达自己看法的权利，只有亚洲盲目崇拜的阶级文化传统错误根深蒂固才会认为有看法表达出来是错的。"
khang14,20170519,"那个拳手啊里是什么？那4个红色番薯在人家公司外面做什么？他们全部是红豆兵？当场握手言和，打人说我打他我不后悔这个是又是什么？"
Lify,20170519,"不要试图转移视线扯到别人去。还有按照你的逻辑，原来表达看法就是无礼？看来你盲目奴隶心态很强，不怪华人会被看不起。"
lier-king,20170519,"如果这专页有诬蔑的地方锅震早就报警处理了，就是因为说的都是真的所以每次问题被人挖出来然后那些闹残部长就在那边乱乱pusing了，锅震的pattern人民会不清楚？"
lier-king,20170519,"我非常同意你的说法，领导不接受人民的批评就会原地自封，国家就不会进步，伊斯兰国就是最好的证明。"
Lify,20170519,"马奶下流行固步自封无法进步提升人权，政府最喜欢人民笨笨的，所以通过霉体洗脑人民。"
nyluon,20170519,"問人地址去打人是不禮貌；直接上臺打人則是正確，被打的需要反省。嗯，受教了"
Cinabaku,20170519,"60年。。。太迟了"
workinpenang,20170519,"你是個被敢出家的人，而不是個有修養的出家人。只會教華人尊重馬來人，包括那些沒有理的流氓。但是你整個人，整個情緒都沈沒在對抗林冠英當中。你一定是個有人格分裂病"
workinpenang,20170519,"華人如果現在都不開始學習了解自己，尊重自己應該的地位。如果不開始學習, 那麼就算再多五十年，也不會強大起來。我們自己要自重，更要教其他種族也尊重我們，同樣我們也要尊重那些懂得尊重我們的人那些不尊重我們的人，我們不需要去舔他們的腳。這是漢奸才幹的出的事"
lumixcer,20170519,"你每天开帖数臭人家又怎么说？己所不欲，勿施于人啊。。"
Engineer,20170519,"时代不同，老马时代消息传播比较慢，键盘侠还没有出现"
kmrddecade,20170519,"我只想知道，如果一个公开讨论会，我一直举手可是就是没有叫到我来发问题，那么我可以上台去骂主持人吗？"
一燈大師,20170519,"難道你會對紅豆兵煽動專頁敬如師長？"
一燈大師,20170519,"嘴巴長在你那裡，你是可以罵的。你也可以選擇反省，為何就是不叫你發問。"
一燈大師,20170519,"反省是美德。共勉之。"
一燈大師,20170519,"原來帶頭的那個竟然如此種族化事件和悲情化反對黨議員。"
thunder,20170519,"以后大家看到中立仔,一巴大大力kam下去，然后让他们自己去反省"
nyluon,20170519,"本來只要讓保安之類的把人“請”下去也不會變出那麽多事；偏偏就是有要在老大面前邀功的去掃巴掌。然後更噁心的就是許多人跳出來說什麽打人有理，劣根性之類的。"
三傻Samsung,20170519,"椰树告诉过阿勒，被人打了右脸就要把左脸也送过去"
