Topic title: 马华会长国阵几十年强区文冬。玻璃口华小十多年申请不到拨款建校舍。
username,date,text
重甲霸王,20170521,"年年如此。国阵强区好像有些落后和没有被照顾。文冬华小盼政府能给特别拨款。阿莱从 2014 讲到 2017 都没有结果。别个政党帮一下。就是没有啊莱影踪。反而阿莱在文冬办2017新春晚会花了136万。"
完美@1010,20170522,"这次拨款会有着落了  "
kennyteoh818,20170522,"所以说人笨没药医"
kwai56,20170522,"沒撥款沒關係，反正不會影響到議席 "
paulng85,20170522,"大选快到了，加油。"
512MB,20170522,"不是在槟城，一灯江夏说nvm ！"
qweasd147-,20170522,"可以帮我tag那几个中立吗。。。我想看他们表演pusing"
wlwl,20170522,"因为他们不是沙砂州人民"
thunder,20170522,"莱了赖了，大选就会说一里路，肯定会赖，谁你都可以不信但忠犬阿莱你一定要相信最近红豆兵很关注阿莱!整天看中立的Shoot淋神看到显了，看点阿莱的丰功伟绩也不错"
重甲霸王,20170522,"马华丑恶的党史太多了。好像缠脚布那样又臭又长。"
