Topic title: 支付宝已经登入大马7-11！！！
username,date,text
淋神无敌,20170523,"不过要怎么用阿？？？是中国游客来大马的7-11可以用支付宝给钱而已？？？（鸡骨）那如果本地人要top up 支付宝呢？？？？？？ 陈志远解释一下好吗。感觉好垃圾阿。。。。。。。。jack ma ！"
us2000,20170523,"本来支付宝是宝来的但是给垃圾们去谈合作时 不懂废物们如何和强国人谈结果来到这里 变成垃圾了"
SilLyPanDa,20170523,"目前只support在7-11消费付款而已，还不能top-up "
Takashi,20170523,"原来是可以用支付宝在7-11付钱啊？我还以为可以top up 支付宝呢？"
adamlevine,20170523,"支付宝跟MOL合作，我想是本地人用MOL, 中国人用支付宝还有Kenny Rogers, Starbucks也会参与其中"
kenny16031984,20170523,"如何才能实名认证？"
舞猫猫,20170523,"怎么使用的呢？"
us2000,20170523,"那个支付宝暂时给中国人来大马用罢了大马人好像用不到"
kwai56,20170523,"泰國7-11接受支付寶和微信支付 "
神垂死,20170523,"理他什么宝，带cash才素王道～"
csin14,20170523,"我也想知道"
淋神无敌,20170523,"这样不就是个废物吗？只是给中国人用！"
淋神无敌,20170523,"jack ma 看不起大马人？ 要其他商家配合支付宝可是又不让大马人用支付宝。"
淋神无敌,20170523,"其实我是要去淘宝购物啦！现在才知道是个垃圾来的。我晕！ "
神垂死,20170523,"淘宝都要进来马国了，到时711可以当场付款，不然可以付信用卡，没什么分别的，支付宝要广大到各类实体店才有用处～"
死八婆,20170523,"支付宝好用吗？还得输入密码什么的，酱麻烦，感觉直接用paywave或Apple pay更方便。"
仓底货,20170523,"可以用支付宝买多多博彩吗？"
雷克斯R,20170523,"为了要赚中国人的钱"
yming2475,20170523,"用你的手機 ~~ scan "
舞猫猫,20170523,"你的手机可以借我scan吗"
yming2475,20170523,"可以呀 ～～ 下次請你吃大餐時我SCAN給你看 ～～"
MC2,20170523,"一旦7-11开始使用支付宝，接下来成功集团属下的公司，应该会跟进。陈志远果然占得先机。"
prince,20170523,"不能topup，怎样消费？"
zaqre,20170523,"可惜是人民幣結算本地人用的話，匯率應該是轉換(虧)兩次..."
atrassdelflama,20170523,"不能给本地人top up，然并卵。。。"
VINCENT@YONG,20170523,"KK也有了，就是不知道怎么样用…员工也呆呆的不会…"
VINCENT@YONG,20170523,"亏一次，因为没有手续费～具体汇率每天不一样…所以我也不知道是多少"
VINCENT@YONG,20170523,"只是给中国游客用的…大马人用不到哦～"
VINCENT@YONG,20170523,"大马人可以使用信用卡阿"
dangabay,20170523,"恭喜"
tnh,20170523,"只是给中国游客用的…大马人用不到哦～真的吗？"
淋神无敌,20170523,"是的不能给你大马人top up ！ 所以有什么淋用？ "
weiwei318,20170523,"不关我们的事"
SilLyPanDa,20170524,"支付宝本来就是内地的e-wallet，所以用户99%全都是中国人。 它现在跑出国外以目前我国本地人消费者来说的确是不相干的但是从商的话，可以吸纳以及方便更多中国消费者对兑换商是个挑战"
SilLyPanDa,20170524,"我的意思是不能在本地7-11top-up从中国银行户口或信用卡转进支付宝就可以"
thunder,20170524,"昨天经过711才发现到那个sticker，以为可以top up，原来是拿来摆美的!"
淋神无敌,20170524,"有中国户口就不用期待支付宝来马了啦！"
Barryliaozs,20170524,"干脆像是政府强迫商家落实那样。推得很保守，对国人没啥受惠，我看其实就是试试水温，看市场受落不受落，如果真的受落才会进一步的拓展他们的设施。目前来看锁定的目标应该还是来马的中国游客。"
147258,20170524,"有没有想过支付宝其实不止是方便消费者和商家，其实背后还有一个策略在运行着。中国一直想以人民币取代美金，就应该要用支付宝来在个个国家普及化。"
zaqre,20170524,"不是虧兩次啊？比如我在7Eleven用，就7Eleven的價錢（馬幣）轉換去支付寶（人民幣），這裡就匯率損失一次如果是大馬人，付款給支付寶時又馬幣轉去人民幣，這裡又要匯率損失一次如果是中國人就沒差，付款給支付寶時就直接人民幣沒用過，不知詳細情形，感覺是這樣..."
khteoh2001,20170524,"你可以看这个视频，看他们怎样使用。Loading FB Video..."
kpsia118,20170524,"现在信用卡或现金付款在中国已经落伍了。如果信用卡付费需要30秒~1分钟的时间。支付宝再慢只需10上下秒。在中国，你去超市场买菜都可以支付宝付费。这点和信用卡系统，不同的是，商家不需要电脑、不需要额外的机器。只需一张QR-CODE :站在商家的角度，不需要额外的电脑系统，额外机器等成本。就一张纸，带自己的手机就够了。而且好像几乎没有手续费。信用卡，有些还要3%手续费"
孤鸟,20170524,"首先支付宝要认证马来西亚的用户先吧，这个之前好像鸡哥有和马云谈合作，应该很快落实吧，而Vincent tan可能借用这个机会先铺排，到时他就是最大的代理商。"
kpsia118,20170524,"这个中国无现金支付，是世界第一。就连美国也才开始研究中国在这方面的经验。如Apple pay也是刚刚才开始出现。目前好像只有中国人能用，大马人我想需要时间吧。"
yw98,20170524,"还是给RM比较好"
SilLyPanDa,20170524,"不明白你说什么"
jinreung,20170524,"應該是不會。主要是因為支付寶是有區域限制。馬來西亞註冊的支付寶應該是以馬幣為帳戶貨幣；大陸註冊的支付寶是以人民幣為貨幣。應該只會在異地才會兌換貨幣（比如大馬帳戶在大陸交易才會兌換）"
50912cmea,20170524,"用人民币結算？？？Loading FB Video..."
Restart,20170524,"港版支付寶明日開通[/url][url=mailto:?subject=%E6%B8%AF%E7%89%88%E6%94%AF%E4%BB%98%E5%AF%B6%E6%98%8E%E6%97%A5%E9%96%8B%E9%80%9A&body=http%3A%2F%2Fimoney.hket.com%2Farticle%2F1820196%2F%25E6%25B8%25AF%25E7%2589%2588%25E6%2594%25AF%25E4%25BB%2598%25E5%25AF%25B6%25E6%2598%258E%25E6%2597%25A5%25E9%2596%258B%25E9%2580%259A?cpsdem]"
flashang,20170524,"收費，付款，找錢，大家都使用人民幣就沒有問題了。 "
BlueMonkeyLYK,20170524,"支付宝是要全球化吗？"
神垂死,20170524,"这些东西在马国看看就好了，就如什么visapay打广告买东西直接不用签名按密码扫描就可以走人才不到10秒，这里还不素一样看你有没有过账卡素不素假的还素一样要等，这里的老千太多了越简单的东西就越多人想hack，不怕跟你说，之前还有一个pm偶说帮他们hack信用卡机，成功一部有RMXXX佣金，问偶要不要捞偏门~"
BlueMonkeyLYK,20170524,"既然某些国家已经有了支付宝，那些国家是不是也必须要以人民币交易？"
洗零,20170524,"全球支付宝 阿中是志在必行的神阻杀神 佛阻杀佛"
txymd,20170527,"支付宝在支付小额的时候是不用支付密码的，只要扫描支付码就可以了。支付密码是为了防止你的手机被盗后别人也用不到你的支付宝付款。"
txymd,20170527,"支付宝不用top up哦，你可以选择你的支付方式先后顺序，如果支付宝的余额或余额宝都没钱，会自动从你绑定的银行卡扣除的。"
txymd,20170527,"你是对的，只是现在马来西亚的支付宝是针对有中国银行户口的人，迟点马来西亚银行跟阿里巴巴合作后，就可以用马币支付，不需换成人民币支付。"
hang333,20170528,"淘宝不是支持国际信用卡和马来西亚网银吗？"
hang333,20170528,"我觉得我看的新闻都写得很清楚？是说方便中国游客使用..."
