Topic title: 来吧，一起宣告我爱拿吉证据增加民调
username,date,text
can_fei_ren,20170526,"见到有人发表民调，支持敬爱的首相巴仙率很低，真不公平，民调都没有问我的。我爱国家，支持首相，首相万岁。如果我们高调呼喊支持首相，得到媒体和官方注意，大选会尽快来临的。就让大家忘记一切来佳礼哄：我们爱政治伟大人物：拿吉。"
khteoh2001,20170526,"只有愚蠢的人，才会把政治人物当偶像。"
qazz1947,20170526,"拿吉改名拿钱我会支持他"
can_fei_ren,20170526,"偶像很好啊，每天给娱乐休闲大众，又带来经济繁荣，所以你不称赞阿鸡哥就是叛国，让我们高歌对偶像唱aku negaraku。(虽然老夫内心只有negaraku kukukukukukuku...都不知他唱什么的)你即使不喜欢也要表态支持首相啊！死蠢，画公仔要画出肠吗？"
can_fei_ren,20170526,"你不表示支持他，他就不高兴，等下就不给钱你。你要首先表示爱他，喜欢他，哄他上天堂，他高兴极了，自然会派钱给大家，特别需要肥婆的同意。所以我爱首相，及肥。。。(老夫写到这竟含泪发抖写不下。。。。"
李国锋,20170526,"我支持纳吉的亲中政策，给他更多支持让他不需要回教党。我们华人加东马人的支持就足够让纳吉继续推行亲中政策。"
wong23233030,20170526,"有钱分吗"
can_fei_ren,20170526,"好啊。大家都那么爱首相，证明有97%人支持首相了。一灯大使快报告给麻花部长及首相暑，通知他们政敌已经奔溃，民心已经回归国症怀抱了。首相好，首相妙，首相哈哈笑。"
雷克斯R,20170526,"他叫自家用的首相署做一份民调就可以了， 巴仙率还可以自己修改 "
PRM,20170526,"纳吉是马来西亚史上对沙巴和砂拉越最好的首相 "
一燈大師,20170526,"首相納吉是全部首相中最好的一位。馬來西亞有納吉領導，不但挫敗新加坡成為世界第一理想投資國，更在人民醫藥福利傲視全球。我愛馬來西亞。我愛納吉。"
wong23233030,20170526,"纳吉是大马最好的首相講完了可以分多少钱"
一燈大師,20170526,"Invoke 已經有民調了。納吉個人獲得 31% 支持率，遠遠拋離希盟十個候選人的個人支持率。"
一燈大師,20170526,"中立你好，  尊敬首相，尤其是勞苦功高，愛國愛民的首相，是發自內心，由內到外，再從外到內地感覺充實，有效率地工作成為納吉的後盾，貢獻給國家 Negaraku。"
使用者,20170526,"我要收錢的咯。支持也要體力的。"
