Topic title: 没分类垃圾，罚250令吉！执法员有权进屋检查 #60樓：如何被嫁禍後討清白
username,date,text
一燈大師,20170528,"没分类垃圾，罚250令吉！执法员有权进屋检查   **************************************各位檳城的朋友們多注意了。尤其是有女生的住家，在家人和眾多市政廳人員前，拆開你女兒剛丟棄的月經巾，是件很尷尬的事。"
512MB,20170528,"一灯江夏你搞study group非法脚车党，为何马华民政不搞rubbish group跟踪这些执法人员？如果执法人员要开罚单时，你就跳出来拉布条，call记者来。。。吊林神。也许大家都会感谢这个rubbish group而投票马华民政。"
qiqi51,20170528,"干嘛可以有权进家"
gaomin,20170528,"根本就是荒谬，他有什么权进屋，凡没丢出来的，都不是垃圾，应该是那个大师断章取义，唯恐天下不乱。"
一燈大師,20170528,""
gaomin,20170528,"执法人员入屋的目的是什么？他想要证明什么？"
全球樱,20170528,"想钱想疯了。"
假冒是神100,20170528,"问你的TOKONG淋呀嗯嗯嗯TOKONG需要向你交代的么？想折你TOILET就折你想反抗?你一定是BN派来的欺善怕恶X 七次嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯"
假冒是神100,20170528,"又不是第一次杀狗都硬硬闯入民居多少次啦需要证人出来作证么?嗯嗯嗯"
一燈大師,20170528,"用舊報紙包著用過的月經巾丟棄（許多女性都這麼處理）等同不將垃圾分類，是違法的。"
莱殊,20170528,"现在火箭州政府要推行清真大计。。。。要支持老鼠会的运作。。。。花费巨大。。。。。州政府目前积极开各式各类罚单是重要财源。。。。。"
一燈大師,20170528,"前朝不執法、不收停車費，是前朝的錯，火箭林冠英 CAT 政府是有效率的政府，不喜歡可以滾出檳城。"
一燈大師,20170528,"檳城人民要 UBAH、要改朝換代，選火箭林冠英州政府，就是要交門牌稅、交停車費、環保垃圾分類，打造美好國際都市。"
假冒是神100,20170528,"UBAH鸟想起了那一只IJM DONATE的PLASTIC落水鸟他马的几万RINGGIT MALAYSIA的一只PLASTIC鸟IJM也赚去了不少咯嗯嗯嗯嗯嗯嗯嗯嗯嗯"
gaomin,20170528,"想知道那一州不必交门牌税，停车不收费？"
gaomin,20170528,"rm15万买一棵树，会买贵吗？"
一燈大師,20170528,"還浮著嗎？          UBAH 口號也改掉了。"
一燈大師,20170528,"林冠英火箭州也同巫統州一樣 不例外嗎？    "
莱殊,20170529,"不事前通知就悄悄的行动。。。。。摆明就是要开罚单收钱。。。。小心槟州人民让火箭滚出槟城。。。。。！"
