Topic title: JJPTR网站重新开放  预料三日后启动“新系统”
username,date,text
CARI_KJW,20170529,"相隔一巉諳星期，“解救普通蟇吏人”（JJPTR）的螽豕甯官方网站目前已重新开放！JJPTR网站矮唗鰓是于邒鯬醙上敵務周二（23日）开始关闭，令外界纷纷质疑JJPTR已“正式”崩盘；泭伇如今，JJPTR网站不縔璁覲仅重新开放运作痚剩劊，网站内也注明巏探了JJPTR负责人偫洰正与仲介经纪商洽谈，预料将瞯镴在三日后启献鐿动“新系统”。截图自：JJPTR网站星报引述一姎盿顤名JJPTR倬湠頂会员的豚鏆蔱谈话指出，冷鼣厄他除了丱鯎鏿能够顺利登入网站外，其会軚峸譐员资料及过去的祶云唥投资记录也完好无损，并没郀龌有随着网站暂淛纃时关闭而消失。你也可糠虻以看JJPTR网站悄悄关闭 40万会瘏水员资料或已遭删除！"
盡用話題,20170529,"不懂现在加入还是不是喝头啖汤"
Weida,20170529,"其实JJPTR的网络根本都没有关闭，只是信徒在后面没加login才不行！"
wong23233030,20170529,"你敢开，我敢来。做个勇敢的中国人"
盡用話題,20170529,"新盘我要做会员002"
阿白,20170529,"我要早进中出"
ttntt,20170529,"那条骗钱的水(李xx)放出来了吗？"
leevis501,20170529,"王者归来，期待你的从新出发。"
Ex-5th,20170529,"教主出关，神功盖世，普度众生，唯我独尊！"
Weida,20170529,"恭贺李大千推出JJPTR2.0新盘！现在要看谁是大笨蛋愿者上钩！"
beoa,20170529,"预料中。。。"
使用者,20170529,"真的假的？"
bdclwl,20170529,"笨蛋何其多"
longisland0708,20170529,"信徒們，借阿窿了沒有要快點啊新盤要來了一次過下，這樣比較爽"
雷克斯R,20170529,"抢着做first batch? "
阿庄,20170529,"一样给月报２０％吗？　我要投资１００千。。。。"
kosmiklove,20170529,"行快d啦。。。。喂。。！！！"
乐派小咩,20170529,"JJPTR事件后，还会有人再继续投资money game吗？"
chiew2005,20170529,"我一切都准备好，现在就只差钱了"
洋葱小弟,20170529,"这一次头期我一定放多多。"
kosmiklove,20170529,"我訓身。。唔夠。。再借。。借到盡。。。。首富仲唔系我。。。！！！發啊"
乖乖的老鼠,20170529,"我不要早进。。。我要中出。。。"
h3op,20170529,"我已经准备好了"
pupuman,20170529,"这种骗钱游戏全世界只有大马可以关了再从开，而且不用担心执法单位。"
阿白,20170529,"没有进去, 要如何中出呢?"
weiwei318,20170529,"对他是没有什么好感的，不过他这些行为是要告诉大家他没有在耍奸诈？"
uncle_tan,20170529,"最近好像人间蒸发了没有了他的消息。"
kennyteoh818,20170530,"立刻进。半年出。拿去 买爱疯8"
Daewood,20170530,"新骗局2.0？"
盡用話題,20170530,"行头执输惨过败家"
LovemberBoy,20170530,"现在的情形是怕骗多一轮再跑路~ 2, 3个月后就会崩过"
prince,20170530,"都怪那贼偷了几千亿马币，不放在本地银行，却抛售马币换美金新币，搞到马币大跌，害惨人民！好在老马揭发那贼恶行，要不然现在usd1 =rm10了，不要讲粽子，你他x的连绑粽子的绳子都买不起！"
XHunterOz,20170530,"那么好的赚钱系统应该引进邻国 这些怕输心态的钱最好赚  "
乖乖的老鼠,20170530,"这我不知道，我只是时常看见DVD的封面写中出。。。没有提到早进。。。"
阿白,20170530,"也是要进去了才能中出啊不然就是外喷了"
SweeJIANG,20170531,""
壬炜,20170531,"以执政当局在取缔MBI的快速度来看，很多的骗局可快就会连根给拔起了！JJPTR? 命休矣！"
diorz1,20170531,"成为世界未来首富的机会来了~是时候ALL IN了！ 有梦想，有惊喜，有快乐！除了呵呵，还是呵呵"
三傻Samsung,20170531,"还敢开么？这JJ今天过后连春袋缩都缩唔切囖"
hawkman,20170601,"由哪天起算三日.  今天是第幾天?"
只是普通人,20170621,"应该是潜逃了不然就是躲起来, 还不怕人家请(特别人士)来买他层皮?肯定着草先啦....躲起来风浪过后就是巨富的时机了."
