Topic title: 火箭檳州政府如果成功取得中國超低利率借貸10億，未來或以高1%-2%利率借給發展商
username,date,text
一燈大師,20170530,"火箭檳州政府如果成功取得中國超低利率借貸10億，未來或以高1%-2%利率借給發展商。不愧是專業會計師，連經濟奇才潘儉偉也想不出來。"
cct2050,20170530,"都說或  可能而已也可能不借，自己拿來用"
cct2050,20170530,"標準政棍"
cct2050,20170530,"食言已經不是第一次很多次了，已經 3~ 4 億錢不知所蹤"
FB_IMG_1496149759164.jpg,20170530,"人家說報告已經完成 87% 了。當然，用了很值錢的地付了報告費。 "
一燈大師,20170530,"既然州儲備金有 13億，那根本不用向中國銀行借錢呀，直接借給發展商賺利息不好嗎？"
一燈大師,20170530,"林冠英說向中國借貸能 抬高聲望，然後把借來的錢借給發展商賺利息，簡直是名利雙收呢。這是政治奇才，又怎會是政棍呢。"
一燈大師,20170530,"恭喜马华枪手一灯江夏，民政一定会拿下槟城。让我们一起来欢呼徐子根回来"
512MB,20170530,"你以为每个槟城人都来看佳礼论坛咩？荒谬之极！我们玩FB更加好！"
teachew,20170530,"你的假设是不可能成立的。中国为了支撑经济，每年大量印钞，所以通货膨炸非常严重。根本不可能以超低利率借钱给槟城，所以就不需要幻想了。"
~Zack~,20170530,"你這麼說，就是指林冠英撒謊？別褻瀆州首長好嗎。"
一燈大師,20170530,"马华仔通常常识比较差，又要我花时间塞钱入你袋，不要客气。1。槟城轻快铁是大项目，国内银行未必有足够的钱借给gamuda。这个跟老鸡鸡的bandar malaysia需要跟外国4大银行借钱的道理是一样的。2。世界各国的政府都有融资给私企的案例，只要有适当的条款保护政府的利益，这是没什么问题的。Government to grant RM1.5bil soft loan to Proton（老鸡寄“借钱”给proton是反面教材，因为没有抵押，利率低，而且proton可以自己决定要不要还钱。所以只要林神倒反来做，就没问题了）3. Gamuda账面上有价值数十亿的房产和土地，抵押品根本不是问题，就看gamuda要用哪一个来抵押了。"
syncsw1,20170530,"既然国家银行储备金有961亿美金，那根本不用向中国银行借钱啊，直接借给发展商赚利息不好吗？会是什么原因呢？难道钱根本没有那么多？还是这几年被老鸡鸡花掉了？"
syncsw1,20170530,"不要再欺骗华人了，火箭就只会培养骗子吗。"
李国锋,20170530,"可以说一下我上面的回复骗了哪些东西吗？"
syncsw1,20170531,"這個難說習近平準備在 10 內砸 9000 億人民幣促成一帶一路的成功"
cct2050,20170531,"中央一天没变，这是都是梦想。中央不可能会批准的。"
wklam73,20170531,"一切都是空真实的是地和 Money 已经进入吝吉祥家族口袋"
cct2050,20170531,"看来李大爷越来越不长进了，每天只会说：“不要再欺骗华人了，火箭就只会培养骗子吗？”哦，就连标点符号都放错了！可笑啊！"
teachew,20170531,"这家伙只会说：“欺骗华人”、“欺骗华人”、“欺骗华人”………………除了这一句，没有其它的词句了，这叫做词穷。这家伙可能就是他的自身本人，他叫做“不容诬赖”。"
northsea之子,20170531,"来看看神说什么。"
淋神无敌,20170531,"penang 郎果然是做偏的起家的！！！！！！！！！林神只是follow会阿聋的政策而已！！！没有错啊。"
坏孩子1989,20170531,"听说一个啥报告都弄不出来，还要搞轻快铁？反而贪污腐烂低效率的BN政府已开始MRT的construction了"
假冒是神100,20170531,"UNCLE告诉你淋冠英他把PENANG拿去当铺典当的最主要目的是啥他是想用交通大烂图为藉口借钱来FUNDING不久后将来临的大选这个王八蛋利用PENANG当他的ATM利用PENANG到这种假公济私的地步够无耻必须STOP他马上LOCKUP他了呸呸呸呸"
假冒是神100,20170531,"另外就是如他说的借钱来帮他那些周转不灵的发展伤用STATE来JJ他的CRONY没有比这个更无耻的CM了PENANG历史以来的第一个"
一燈大師,20170531,"人家還很無奈地說是1999年巫統的工程讓人家的報告卡在 87% 呢。然後中央工程部長叫人家拿那個 87% 報告去工程部看看，卻拿不出來。"
一燈大師,20170531,"絕對支持 KOLGE & KOLKS 運動。"
假冒是神100,20170531,"可以给他用STATE的名誉借阿隆条件是STATE与DAP签个约所有DAP的党员作GUARANTORS有啥冬瓜豆腐STATE的任何一样被阿隆拿去GUARANTORS必须法律与金钱上负责到底嗯嗯嗯"
一燈大師,20170531,"UNCLE ，已經算過了，10億的話，每個檳城郎負擔  RM 600+ 和利息而已。州政府一次援助你 RM 790, 就夠 cover 鳥。"
jellyfish_8,20170531,"真心羡慕槟城郎。有JJPTR好玩；还有住家游泳；现在还可以借大耳窿。多姿多彩刺激无比，枪林弹雨，水乡槟城生活"
科学就是未来,20170531,"他可以问 Azmin Ali, 为什么雪州不需要跟银行借钱，却可以有LRT MRT"
科学就是未来,20170531,"这个后来没有下文了？没有人质问这个还未完成的报告？"
一燈大師,20170531,"人家都說了卡在 87% ，不拿出來了。工程部長想幫也幫不了。"
oyak5155,20170531,"一带一路大约需要1万亿美元，中国投入1000亿，其他90％从市场融资。"
一燈大師,20170531,"錢生錢錢滾錢錢賺錢"
teachew,20170531,"錢生錢錢滾錢錢賺錢"
一燈大師,20170531,"兩億，一張紙也看不到。"
teachew,20170531,"兩億，一張紙也看不到？给无聊家伙看的咩？无聊家伙以为自己是乜水啊？不要真的以为自己是皇帝，他把这无聊家伙当作秃驴罢了啦！"
teachew,20170531,"有人一直进来灌水，应该是月尾期限到了，要hit quota啊！大家都不“鸟”这无聊家伙呢！"
假冒是神100,20170531,"签了给人63亿的那张也拿不出来给大家看你还想说啥的么?嗯嗯嗯"
teachew,20170531,"你们看不到就对了！马华公会员或民政党员怎可能看到这些文件？"
假冒是神100,20170601,"在一张白纸上签个名就63亿TERMS AND CONDITIONS也是空白一片不过63亿ONLY又不比那鸡的26亿多紧张啥的嗯嗯嗯嗯嗯嗯嗯嗯嗯"
teachew,20170601,"你有这份文件？拿来给老UNCLE看看没有的话，就是讲骗话 的 骗子，欺骗华人。。。呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵"
假冒是神100,20170601,"DAP议员说的签了才告诉大家想要阻止都已经来不及了一个人就能决定63亿在白纸上签个名就63亿嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯"
teachew,20170601,"没有啊？那就是UNCLE欺骗华人罗！哟哟哟哟哟哟哟哟哟哟哟哟哟哟哟哟哟"
teachew,20170601,"UNCLE也可以说是一凳大屎说的信口开河谁都会哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦"
teachew,20170601,"我看见UNCLE拉屎在裤子想要阻止都已经来不及了拉到一裤子都是所以拿不出文件来给大家看哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈"
一燈大師,20170602,"為何說了財團發展商會承擔風險，還要自己拿檳城州的地皮，抵押給中國銀行借錢，然後再由檳城人民的地皮承擔風險借給發展商呢？"
