Topic title: 【更新】6月1日起  霹雳及雪兰莪公园全面禁烟
username,date,text
CARI_KJW,20170531,"随着2017年鈾邏鼘烟草产蜵巆品管制（修正）条例于咆遍2月1日害茹生效，将禁烟区扩骭濑大至公园范围，霹雳州与雪兰莪州将从6月1日起，正式在顃腶州内公园实施全面禁烟条例，违反者将被罚款高达5千令吉。星报引述掌管霹雳州卫戛词生事务鈛轭語的行政议员拿督马汉顺烌鼖的谈话指出，在凧眍过去3个罅跕月铷監的“教育执法行动絼萴鹐”鯴嚝中，民众都给予了塴紳岾正面回馈，因此当局也已做好准备，保护民众免受二手烟的趆呅危害。他弰五闷指出，当局将刂绣会不鷁烪歐时勼焰胪展开“突击检查”，以稬颊喂确保所有膴萵蕥人珰閩詆皆遵守这垘豜项条例，而任何人燪蒺溺嫡齳在公园内吸烟遭取缔，将面临高达5千令吉罚款；倘若违反者拒绝缴付罚款而被提控上侫赐鋎庭，一玩薗旦罪成，则可被罚款高达1万令吉、监禁2年阎焝或两者兼施。马汉顺也强调，假如懇调温糜这项禁令顺利实施，那么霹雳州在噊髴未銩祍鳲来或许会壺戻钭持续扩蚀锈大禁烟区，以榥沊保障霹雳州子民的糟灙健康。另一焾妚桽方面，雪州卫鍸螎生局局长拿督再兰阿南则指出，笐鴊辨这项禁烟条例还必须配合教育及宣导民众唳緮棆的謡鹲蝗工瑩鮙薎作，才能有噞瀛效执行。"
noman,20170531,"好樣的！全馬也應該擴大禁煙區！"
chtan69,20170531,"赞。最好就是全部公共场所都禁。不然危害社稷的烟虫还会当自己烂有型。"
kar_kit,20170531,"我觉得，如果没有持续和严格的管制，也是没用。。。唉。。。"
JaniceAF,20170531,"我觉得，如果没有持续和严格的管制，也是没用的！！   +1"
JaniceAF,20170531,"赞。最好就是全部公共场所都禁"
MonaLiza932,20170531,"最好是这样"
三傻Samsung,20170531,"最喜欢乱丢垃圾的人就是瘾烟子，烟盒烟蒂无处不在"
lumixcer,20170531,"处处禁烟，还是这么多烟民。。"
elysebear,20170531,"我觉得，如果没有持续和严格的管制，也是没用。。。唉。。。 + 2"
完美@1010,20170531,"你禁，他抽，我散。。情况还不是一样"
beoa,20170531,"好事来。"
JK's,20170531,"好事，希望真的做到加强管制也不是“暂时性”罢了。。。"
雷克斯R,20170531,"可能很多人也不知道槟城n年前已经实施，结果现在 "
AMOS5566,20170531,"拒絕二手煙  拒絕三分鐘熱度  "
YUGO,20170601,"不错，是件好事"
locolyric,20170601,"问题是我根本没看过有人被开过罚单。"
TMNUTsucks,20170601,"最好能做到一踏出自己家的篱笆门外就等于进入禁烟区。"
Cinabaku,20170601,"其实在先进国里，家里也是禁烟区"
Cinabaku,20170601,"先在餐馆开始吧"
yk13,20170601,"希望能起到作用吧！"
samsilence,20170725,"好事哦~"
