Topic title: 清真寺内演讲触怒雪州苏丹 公正党议员：无关政治
username,date,text
CARI_KJW,20170531,"公正党梳邦区斾籦国会唆珆芋议员西华拉沙疑麃晩询在清真寺内发表政治演讲。【图片来籖嚸耜源：面子书】公正党梳邦区疆远涅国删菻会议员西华拉沙疑擅自在鸻袎梳邦马来靶篑甘榜安诺清真寺进行政治演讲，因而惹怒蚕鼫了雪州苏丹沙拉弗丁！星报引述雪州宗教局局长拿督哈里斯摗聬的谈话指出，雪州苏丹曾谕令，唯有鷫鰮宗教司才有焉廂悁资格杹桱觜在清真寺进行演讲，因此违抗指令挦竉的西华拉沙让雪州苏丹感搁杘祊到相当愤怒。不焋恙过西华拉沙日前在柘营接受《每日新闻》采访时潭纍，否认了餧蒷韶猲这项指控。西华拉沙指出，他豩糴霛是聅筲蔭窶謬麣在受邀的琍猾篥情况下渖搯，于咅赻蚵5月17日出席马来浻獓啇甘榜安诺清真寺的咯誛籗移交拨款仪式。“我泚圤发表餓解瓰了一治邒段有尜衮嚉关斋戒月的襋呆叩简短讯息，并只是烚箎愭强调雪州政府将会醋鮁垂兑现承诺，维护雪州清真寺的蓄泬手福利，两闛以及分澨怮魒享釺屯产我塽釀梶在2008邆鯯襆年担任国渖绍会騰柯议员灄抌誨时，曾到鯪騴访这蔭瓣所清真寺輈捂唕的事。”据芞她了解，雪州苏丹已簱濈妨在星期二魜阰下令彻查西华拉沙鎅镾剉在清真寺内发表政治演讲一魲塷儠事，该清真寺舔晚跚的相关负责挄猌鐖人必须在赏茦嚷星期五之前，给予苏丹复跎蜯一个痻鵁合理的瀤宫竁解释。"
Orochimaru,20170531,"星报婆伊斯兰却惹到一身蚁，这家伙不知道meh"
nyluon,20170531,"都說了異教徒就不要和神教扯上關係了。去舔他們的腳趾還嫌你髒，不哈拉呢"
总司令,20170531,"没事献什么殷勤，拨了款还要被噬。"
阿白,20170531,"目屎淋宗教师都没出声，苏丹吵什么？"
Barryliaozs,20170531,"我就不信伊党的人在这种场所没发表过任何政见。"
kmrddecade,20170531,"唯狵佸有宗教司才有资格罕朰在清真寺进行演讲"
Hishammudin,20170531,"应该多看看TV1每周五直播的SOLAT JUMAAT"
Cinabaku,20170531,"tak kena tak tau，sudah kena selalu mau 中文"
Cinabaku,20170531,"大胆刁民，这样说sultan"
空中说话,20170531,"以前巫统时代不敢意见多多，现在民联时代比手划脚。"
一燈大師,20170531,"星報是刊登恐怖襲擊標題，然後照片是回教徒開齋日祈禱，有指桑罵槐，醜化穆斯林之嫌。這不叫婆伊斯蘭。"
一燈大師,20170531,"印度佬闖進回教堂向雪蘭莪穆斯林洗腦歌頌藍眼政績，結果被蘇丹罵。"
q(o_o)p,20170531,"印度人 在 回教堂 發表演講，真是豹子膽"
阿白,20170531,"我只是关心苏丹, 问他在吵什么, 可能我可以帮到他"
阿白,20170531,"那条印度人可能也是木屎淋吧"
JaniceAF,20170531,"没事献什么殷勤，拨了款还要被噬。"
JaniceAF,20170531,"应该多看看TV1每周五直播的SOLAT JUMAAT"
MonaLiza932,20170531,"多多东西........."
Cinabaku,20170531,"不可用吵这字眼，皇上和龙颜大怒的"
一燈大師,20170602,"西華 這次斷到很正，連蘇丹都親口點名責備他。"
firehawk,20170603,"又找到机会了"
Engineer,20170603,"苏丹是州回教事务最高实权领导人，当然有资格发声"
gaomin,20170603,"不可否认的，政治人物讲的，做的，都离不开政治，尤其被25仔放火之后，不过，这个都不重要，重要的是，这puasa期间，不是要学会宽恕他人吗？"
gaomin,20170603,"怎么会没事献殷勤，他们不是一直投诉，说开斋节没钱买这买那？"
一燈大師,20170603,"哈哈哈。西華，你們藍眼背後插刀火箭那麼多次，這次順藤摸瓜，找火箭問話去吧。"
