Topic title: 馬來西亞前景大好，五星報喜將反對黨的『經濟破產國』謊言徹底粉碎
username,date,text
一燈大師,20170606,"馬來西亞前景大好，五星報喜將反對黨的『經濟破產國』謊言徹底粉碎。大家是支持自己的國家馬來西亞，或是每天沉溺在反對黨的煽動抹黑自己國家的言論裡呢？#Negarakuhttp://www.orientaldaily.com.my/s/199471馬來西亞用雙數字證明火箭的口水空論是錯誤。"
jellyfish_8,20170606,"楼主，以前反对党的论调听起来很爽，替我们出口气。听着，听着，好像西门危言耸听的调调都没有发生，可以算是信口开河，无中生有吗？"
loongken,20170606,"国内新闻"
vvti_84,20170606,"一里路都要走几年。。长期的话是多久？ "
一燈大師,20170606,"國家經歷經濟低迷，是確有其事，但利用這課題來煽動、抹黑、扭曲 破壞國家聲譽來影響人民撈取政治資本，就是不忠於國家。打擊敵政，不應該拖國家下水。我們要的是中央政府和人民共度難關，不是反對黨口水政治危言聳聽。"
一燈大師,20170606,"TN50，到 2050。TN50: Transformasi Nasional 2050"
vvti_84,20170606,"2020都extend到2050了 "
一燈大師,20170606,"有持續發展計劃，不停滯，對國家人民是好事。難道你希望你後代們到了 2020，沒發展轉型並衰退嗎？"
vvti_84,20170606,"还是因为2020achieve 不到所以要延后2050 "
科学就是未来,20170606,"（吉隆坡5日讯）花旗研究行预计令吉美元短期内将会走强至4.0关口，至于长期上甚至会低于3.50水平。该研究行表示，由国内固定投资和消费需求带动第一季度国内生产总值（GDP）强劲增长后，旗下的经济学家们将我国2017年和2018年的GDP预测从4.5％提高至5.2％。它说：“我们的经济学家还指出，上述强劲增长势头高于国家银行估计的潜在增长，这将有可能导致产出差距转为正面，并且酝酿空间在今年底或明年初上调官方利率。此外，尽管工资涨幅缓慢，但是美国5月份就业增长依然强劲，这是加快经济活动的又一个迹象，使到美国在本月很大机会加息。美联储将在6月13日至14日举行议息会议。交易商补充，如果美联储真的加息，这可能会导致亚洲货币回落。根据CME FedWatch提供的资料显示，美国金融市场几乎消化了美联储于本月调高基准利率25个基点的消息。令吉升至4.2620兑1美元与此同时，在受到多项利好因素推动下，今日令吉兑美元汇价走强。至于令吉兑美元以外的其它主要货币起落不一。一名分析师指出，令吉兑美元走强，因美国5月非农就业数据远比预期差降低了该国在本月较后加息的几率而令美元承压、大马主要公司纷纷公布强劲的首季业绩，以及我国经济在今年首季取得5.6%的强劲增长，加上世界银行预测大马在2017年经济增长会加快至4.9%，经吸引更多外资回流大马。最近人民币大幅上涨也使令吉受惠，因大马和中国的贸易关系密切。他称，国际频频发生恐怖袭击事件，特别是最近英国连续发生多宗类似事件，经促使许多投资者除了把资金转移至被视为避险资产的黄金以外，同时也将部分资金转移至包括大马在内的新兴市场。因此，令吉也大大地受惠。令吉兑美元汇价闭市时报4.2620/2650，较上周五之4.2790/2820升值。开市时，令吉兑美元报4.2670/2710。此外，令吉兑新加坡元汇率由上周五闭市之3.0873/0901贬值至3.0880/0913、兑每百日圆由3.8380/8417趋软至3.8560/8590、兑英镑由5.5062/5105挺升至5.5001/5057，以及兑欧元由4.8015/8053增值至4.8007/8045。另一方面，中国外汇交易中心公布，6月5日人民币兑美元汇率中间价报6.7935，上调135个基点。此外，1欧元兑7.6629人民币、100日圆兑6.1522人民币、1港元兑0.87208人民币、1英镑兑8.7425人民币、1新加坡元兑4.9187人民币以及1人民币兑0.62935令吉。=========================老实讲，这些专家只会在涨势看涨，跌势看跌，没有新意。听多死快点马币未起之前，没有专家看涨，甚至cari 仙家看跌至 USD 1= RM 6.50"
一燈大師,20170606,"過時的宏願，有必要再矯正，這樣才能和國際接軌，對不對。"
一名游民,20170606,"贪污到极点 影响国家发展 这是铁一般的事实 而且还影响到民生 也是铁一般的事实 大家也感受到  "
一燈大師,20170606,"有時看到論壇帖子 “交通罰單要不要還？”、“多少就可以settle？”、“我那次騙說有$10而已。。。”，也覺得 CARI 網民喜歡賄賂，和中央政府肅貪的政策背道而馳。"
kwai56,20170606,"TN50是下一個30年（2020年到2050年）的目標 "
vvti_84,20170606,"直接TN2200去咯。。持续200年的计划 "
澎湃三国杀,20170606,"贪污不是问题根源，而是贪了后执政效率有没有提升"
一名游民,20170606,"哥，我们不用争吵 全世界都知道政府贪污腐败而导致的种种问题 铁一般的事实  "
prince,20170606,"国阵经济成长罢了，所有国阵部长有钱分，人民却要付出惨痛代价，红毛丹1kg rm10咯，人民吃不起榴莲之后，红毛丹很快也会吃不起，然后国阵会叫你自己买地来种。"
一燈大師,20170606,"那麼你支持政府肅貪嗎。"
一名游民,20170606,"贪污怎么会不是问题根源？就是因为政府贪污而导致国库空虚 欠债累累 年年征税 由于政府收黑钱的关系 执法不严 纵容罪犯逍遥法外 滥权已成习惯 "
澎湃三国杀,20170606,"新加坡政府早在几十年前领了高薪，做出成绩，我国只会吃不会做事，现在才开始起步追赶新加坡"
Barryliaozs,20170606,"我有点同意你回复的那个大哥说的观点。贪污是个大问题，但我们这边的情况更特殊。我们这边即便存在贪污但施政效率依然没有很好，我们不像中国那样花钱贿赂就能买效率，我们有点像花钱来解决被执法，问题是不是会因此而解决呢，并没有，只是久而久之，因为我们的执法当局决心不高，很容易淡忘，就是这样。"
肥仔聪,20170606,"Najib: GST has strengthened economy and stopped ringgit's slidePUTRAJAYA: The implementation of Goods and Services Tax (GST) has strengthened the economy and prevented the ringgit from further weakening, said the Prime Minister. 中文"
空中说话,20170606,"明明都行情怀透了，还要粉饰 ？LZ 是望梅止渴吗？"
空中说话,20170606,"命长就去等啦"
空中说话,20170606,"人家说2020达到目标后，更上一层楼，加把劲往2050， 这个政府是2020不能达到后，我们丢弃，现在目标2050，到时2050又失败，不要紧，到时再推出2100。"
盡用話題,20170606,"老百姓要的是够钱填饱肚子就算了。。马币老是贬值，通膨依旧加剧，你将到马国经济几好几好，老百姓都是没有感觉的。。反而有种非常噁心的感觉"
一燈大師,20170606,"三星 + 二星 = 五星報喜。"
一燈大師,20170606,"就是因為馬幣貶值，所以我們必須支持自己國家，更努力地收復失地。現在已經有 5 項亮眼的曙光，證明我們的國家走對方向。將士們，為我們至愛的馬來西亞衝吧。"
澎湃三国杀,20170606,"一马援助金只照顾低薪，经济成长只让大企业得利，我们这些中产没有得到好处，反而还要承受通货膨胀的压力麻烦转告你的上司，我们中产一直都是被国阵遗弃的，请问我们要如何对国阵有信心"
一燈大師,20170606,"被火箭騙去反政府是這樣田地的了。不如這些中收入階級去問火箭政綱，如何照顧中等收入階級？不過火箭議員通常不在服務中心的，所以要見他們發問，可以先購買 Ruby RM800、Sapphire RM2000、或 Emerald RM5000 晚宴裡見火箭議員。Good Luck。"
澎湃三国杀,20170606,"坦白讲骂火箭只会让华人更反感马华而已"
一燈大師,20170606,"叫你去問火箭，你要罵我也阻止不了。坦白講，華人不投馬華，馬華還是進內閣，有部長當。"
盡用話題,20170606,"老百姓的努力已经是泥牛入海，不知死了多少人，这是个无底深渊。。。捱不下去了"
大炮勇男2,20170606,"坦白讲，应该支持纳吉，纳吉跟中国关系很好！你们这些小甜甜中还质疑什么！只有在纳吉的领导下！马中友好可以满足你这小甜甜中的心态！"
澎湃三国杀,20170606,"我没骂啊，我只是说出中产的心声这些心声每天在论坛，FB不断上演你要我们支持国阵，也要从这里下手"
一燈大師,20170606,"何必當初。反對黨從 2008 年抹黑國家至今，所造成的傷害不是短時間內能復原。"
一燈大師,20170606,"不能捱也得捱，移民不見得能 goyang kaki，我寧願在自己國家捱。"
盡用話題,20170606,"新币和澳币一对三，就算过去要帮猪舔鲍鱼，我也在所不惜，可是我没资格"
richgod,20170606,"当然馬化仔是靠舔当部長拿buta gaji的，根本就无話事权，酱的素质与人格还有丨0%华人支持率你应该燒大香感恩了，鳮鳮要肅貪的世纪笑話还是算了吧你不覺得羞耻林伯也会臉红！"
大炮勇男2,20170606,"到底有谁能够告诉我?!为什么会被屏蔽?!?!"
paulng85,20170606,"但为什么人民却感到越来越穷？"
一燈大師,20170606,"窮是錯覺。真正的是虛榮心作祟。接觸太多媒體廣告，看了買不起，就怪政府無法讓他們一畢業就 $5k 薪水。再加上反對黨散播國家經濟破產的言論和種種抹黑，形成多重的負面思維。"
澎湃三国杀,20170606,"反对党一直以来都在抹黑，为何从来都没有取得成功，反而308取得了重大突破308之前所有中产阶级对国阵的不满已经开始酝酿，正好给了反对党一个机会"
paulng85,20170606,"好狗。"
一燈大師,20170606,"人離鄉賤，壯士三思。"
一燈大師,20170606,"你能叫得出個好字，證明你還能自救。"
一燈大師,20170606,"以前有馬哈迪、ISA、TM 1515，反對黨的抹黑當然有所限制了。"
绝情人,20170607,"如果是这样的话，2050宏愿也没有存在的必要。世界变化的那么快。可能到了2025年时，2050宏愿就已经过时了。然后在2047年时当时首相又再来一个新2100宏愿。"
loneranger0536,20170607,"你以為在談服裝潮流咩!自圓其說。"
loneranger0536,20170607,"你肯定能捱,有後台支撐。當付出的(所得稅)和所得的(如買屋沒优惠等等)寧願移民因為一視同仁。"
Popoman123,20170607,"所以人民应该为自己国家的丑闻感到光荣吗？试过玩微信漂流瓶，捡到外国人的瓶子，交谈之下他并不知道马来西亚是什么国家，但是一旦详细交谈之后，他既然都把我国的丑闻一一说出来，所以火箭也去到外国演讲了吗？还是这些都是铁一般的事实？"
大赚小赔,20170607,"愤青应该戒掉面子书，尤其是我们全力支持民行这种专页"
一燈大師,20170607,"那麼，檳城交通大藍圖 2065 也沒必要存在了，對不對。"
一燈大師,20170607,"檳城交通大藍圖 2065 是自圓其說。"
\(^v^)/,20170607,"现在马来年，那个购买力真的是差到离普"
qazz1947,20170607,"楼主来分析一下马来西亚经济增长是靠什么领域。专业一点。"
tzliew,20170607,"怀疑这些报告"
qazz1947,20170607,"算命的骗你一辈子，纳吉最多骗你三十年。算划算了。老马也是骗了三十年。都是umno出品马华助兴"
盡用話題,20170607,"都穷到没饭吃了，还理什么贱不贱，韩信也受过胯下之辱"
一燈大師,20170607,"當然是首相的高收入國政策。現在和先進國人均收入水平相差 18% 而已。"
一燈大師,20170607,"你說是去舔鮑魚，是享受，怎麼現在變成受胯下之辱？"
一燈大師,20170607,"內政部有必要調查這些憤青，必要時拘捕他們去勞改，讓他們體會建國的辛苦。"
盡用話題,20170607,"你表假假"
一燈大師,20170607,"澳洲鮑魚和龍蝦是世界有名的，我還以為你計劃退休到澳洲享受。"
绝情人,20170607,"如果你说2050宏愿是没有用，那你说的大蓝图也是一样没有用。"
澎湃三国杀,20170607,"马哈迪执政时期是90年代到2000年初期，你拿当时的物价对薪资的比例来对比今天你就明白了"
loongken,20170607,"每个人都说荷包缩水还好去那里以为像大师有鲍魚龙蝦吃这么好。"
cyberjaye,20170607,"本楼楼主XX的唱大马破产的第一人是pemandu不管部长 idris jala https://www.malaysiakini.com/news/132861#ixzz4jHsgXzHWhttp://www.malaysiakini.com/news/132861"
一燈大師,20170607,"當然明白，那你明白嗎。"
miche0724,20170607,"那你又明不明白这个"
88_meitu_1-min.jpg,20170607,"傳播和羞辱自己國家第一任最高元首的圖像，來證明你對前最高元首的不敬嗎？"
一燈大師,20170607,"如果你选择性的看不见马币与新币从1：1跌倒跌跌不休，只能证明你的无知"
miche0724,20170607,"對你這種傳播和羞辱自己國家第一任最高元首的圖像，我選擇不交流。"
一燈大師,20170607,"感谢提醒但也请别乱扣帽子，羞辱国家元首之罪，在下绝对承担不起我们要看的，应该是马币的价值为什么会一跌再跌"
