Topic title: 非穆斯林8:30pm后才能用餐？ Pizza Hut：会彻查
username,date,text
Cari_CYJ,20170607,"一名女顾客在6月5日（星期一）于推特上向Pizza Hut投诉，自己在前往Pizza Hut其中一家分店用餐时，店员告诉她非穆斯林在晚上8时30分后才能入内用餐。Pizza Hut回复了该名女顾客，除了向对方致歉，也表示公司会彻查并严正看待此事件。 "
皇上爱皇朝,20170607,"打包比较值得"
VINCENT@YONG,20170607,"还有一个网上也是传的很厉害的…：马来人Pizza Hut不用交税服务费等……叫华人不要吃"
VINCENT@YONG,20170607,"N年没有去吃了，因为太贵了……Domino's 比较便宜><"
yming2475,20170607,"直接把那個誰誰拿雞毛當令箭的人 ~~~ 開除 。。"
绝地榴莲,20170607,"查了之后，然后呢？"
cktan_tck,20170607,"个人比萨超值可以带走 "
Cinabaku,20170607,"如果是limpeh开的，美眉都不用付费（丑男收双倍！）"
使用者,20170607,"很久沒去 pizza 咯。"
Investnovice,20170607,"自己做的比較有滿足感和成就感！"
beoa,20170607,"Pizza Hut 不是第一单负面新闻。"
Takashi,20170607,"8.30pm也太迟了吧？多数7.30pm就已经吃完了。"
carilubang,20170607,"早已经杯葛这间店很久了"
ricgan,20170607,"pizza hut 原来还有人吃的，我人生中遇过service 最最最差的连锁餐厅 "
tequila123,20170607,"现在都去多米诺披萨客以前就好现在像大便"
krai,20170607,"在吉兰丹的KBmall pizza hut也遇过这样的情况。5.30分要去吃被挡在门外。原因是所有位子要留给穆斯林开斋。 "
AMOS5566,20170607,"周而復始  令人反感的小拿破崙行為  "
雷克斯R,20170607,"调职 "
h3op,20170607,"pizza hut一个人不会order"
舞猫猫,20170607,"然后就没有然后了                      "
没来racer,20170607,"如果不是人家请我找不到理由去吃pizaha "
lengflower,20170607,"十分的不好吃"
因世而权行,20170607,"这就是所谓的伊教不会影响非伊教徒。"
prince,20170607,"pizza hut 都不好吃，jb 很多间都被杯葛到倒了。"
abcd01234,20170607,"然后？结果呢？待续？"
kentpua,20170607,"这些穆斯林也太好笑了？"
skyship,20170607,"是不是斋戒月都不能娱乐? 那些buffer，大餐是不是要关门了？"
chtan69,20170607,"找到后又是一个民族英雄，鼓励加奖励一番"
yk13,20170607,"也真的太久没去pizza hut了，记忆里只剩下难啃下的pizza"
Hey花爷爷,20170607,"N年没吃了"
nyluon,20170607,"當然有下文，就是警告異教徒要尊重神教。然後繼續在慶典大肆播放分牛肉的場面給興都教徒們看。"
盡用話題,20170607,"很少吃这种连蠢碟都会做的食物。。还贵到兰花蟹酱"
阿白,20170607,"为什么大马的pizzahut mcd kfc完全没有华裔员工?是华人嫌弃, 还是雇主嫌弃呢?"
