Topic title: 火箭峇眼国会议员在神诞宴上高调骗政，满口谎言，更是 “欺平民，骗神明”！
username,date,text
一燈大師,20170608,"火箭峇眼国会议员在神诞宴上高调骗政，满口谎言，更是 “欺平民，骗神明”！陈诠峰：槟火箭，欺平民，骗神明！马华槟州组织秘书兼峇眼区会秘书陈诠峰博士批评峇眼国会选区内的火箭民选议员在神诞宴上高调骗政，对主办方不敬，而且满口谎言，更是“欺平民，骗神明”！针对北海麦曼珍青屋事件，数位老奸巨猾的火箭政棍在308前教唆该处平民向当时的国阵槟州政府施压，要求一定要 “原地重建”，并且鼓吹该处平民，“要改变，投火箭”来骗取选票。其含意就是投火箭，换政府了，北海麦曼珍青屋平民就不必搬迁到北海安邦惹惹廉价组屋，并享有 “原地重建” 得以住回老家园的福利。而当时，时任政府，也就是国阵给予北海麦曼珍青屋平民迁移的安排是在距离北海麦曼珍青屋少于4公里的北海安邦惹惹廉价组屋，赔偿条件是一屋赔一屋及加上搬迁费。在夺权成功的火箭却以受到前朝国阵与发展商已经签订合约为由，拒绝履行竞选承诺，导致北海麦曼珍青屋大部分平民在失望之余，含泪接受由前朝国阵一屋赔一屋及补偿搬迁费安排。但却是经由已经上台执政的火箭首长及行政议员手中领取入伙钥匙及搬迁费。与此同时，在505大选期间，火箭及国阵候选人纷纷都承诺中选将为尚未搬迁的70户北海麦曼珍青屋人家在原地重建，让他们得以在原地居住。不过，最终人民还是美梦成空，无法圆梦。基于北海麦曼珍青屋平民70户平民认为不能接受火箭过桥抽板的卑鄙骗票手段，决定不接受由前朝国阵一屋赔一屋及补偿搬迁费的先前安排，坚持要执政的火箭履行大选承诺，也就是“原地重建”。基于双方谈判僵持不下，国阵马华在曹智雄时任房屋及地方部长的安排下，在一块槟政府地段拨出9百万令吉兴建人民组屋供这心灵受创的70户人家。事实上，这原本是火箭在308及505无法履行大选承诺的骗局，如今却从火箭高官口中说成是火箭执政的英雄事迹，这难道不是欺负平民吗？而且经常选择在神庙庆祝神诞的晚宴上高谈阔论，这不也是在谎骗神明吗？更荒谬的是，某一火箭高官更是喜欢在神诞宴上以福建方言说道：做人要“站中坐正”，神明面前不可说假话！陈诠峰完全相信这位火箭高官的说辞，因为他认为，这人在神明面前是祈求神明庇佑“高票中选，升官进爵，财源广进，袋袋平安”所以从不说假话。然而在神诞晚宴上，演讲对象是人民百姓，所以就厚颜无耻，满口谎言了！针对林姓高官批评国阵所建的人民组屋，在槟政府分配过后，还是需要槟州政府管理和维修一事。陈诠峰批评火箭高官心中就只会想“钱”和抢功劳。他认为，许多时候，国阵中央政府连往后的粉刷费都会拨款相助，而槟政府领了分配功劳，并“坐享其成”每个月，挨家挨户，等着收取124令吉租金当管理费还不满意吗？陈诠峰认为如今火箭当道，体现的是“人心不足蛇吞象”歪政！**********************************原來檳城也發生了 “中文版” 的 “錯信反對黨” 事件呀。“錯信反對黨” 真的會 sakit hati 呀。不過，有一賠一算不錯了，雖然是安排拿廉價屋，總好過那 34 戶人家信 Nurul，結果 400k 的公寓沒有掉。"
一燈大師,20170608,"百年老報《光華》的插圖完美表達火箭的政客分類。"
cyberjaye,20170608,"国阵最多这些类型还附加MO1型"
独孤十剑,20170608,"一灯大师，你就算了吧！再怎么样帮努力帮国阵檫屁股都没用的，没人会相信的。"
一燈大師,20170608,"北海數千戶在 4 個外勞村周圍的選民，再加以上 70 戶選民，也不相信火箭了。嘻嘻。"
mark,20170608,"这位马华槟州组织秘书兼峇眼区会秘书最近很出位...之前几年都不见踪影选在来届大选前出位...看来要上阵了。。。"
一燈大師,20170608,"林吉祥出現過一次，所以贏了馬華，對不對？"
teachew,20170609,"还有一种 - 为满足私欲卖国型"
26亿卖国.jpg,20170609,"楼主的金主是国政?千穿万穿，马屁不穿"
\(^v^)/,20170609,"才那几个就算了吧！那些70个无能的选民，一直想要人供养。不要也罢～有能力有本事的人民根本都不需要政府帮助。只要政府不贪，马币不贬值已经足够了。马来西亚一样给所有人平等教育，为什么还是会出现不会读书，没本事养活自己？"
独孤十剑,20170609,"JJDAP果然学老马欺骗华人说引进中国投资是卖国。"
李国锋,20170609,"七十个不是人?  无耻的JJDAP，选举时就满口承诺，选后就不兑现承诺。"
李国锋,20170609,"林冠英說過檳城政府沒貪污的經驗。果然他自己證明了貪污不需要經驗。"
一燈大師,20170609,"JJMCA本来就会了老马那种欺骗华人说引进中国投资是卖国。"
teachew,20170609,"JJDAP要制造仇视中国投资的情绪，造假新闻，制造仇恨。"
李国锋,20170609,"JJMCA要制造仇视槟城州政府向中国借贷的情绪，造假新闻，制造仇恨。"
teachew,20170609,"林冠英？为什么不说说你自己的老蔡？"
teachew,20170609,"你在说人家JJDAP，却没想到自己的JJMCA欺骗华人有过之而无不及的政绩！"
