Topic title: 从龙之臣 君臣相见欢
username,date,text
cct2050,20170609,"冧家是辅助马哈迪绊倒胡申翁成为首相的大功臣难怪见面笑呵呵"
王對王！ 馬哈迪對歷代首相.png,20170609,"楼主看到希盟的壮大就dulan?难道忘了那天被关了一个礼拜?又想来一次?"
14980551_10154200543027956_7329624349306136232_n.jpg,20170609,"呵呵， 大家相见"
us2009,20170610,"戏盟已经是马哈迪的囔中物308 505 大家促成的格局变成权贵的玩物"
keexj,20170610,"没有思维模式改变的政治就是脆弱"
cct2050,20170610,"汉奸林最后还是被老马搞到身败名裂。"
cct2050,20170610,"土团党如果吸引不到更多马来人加入，老马也是势单力薄的"
李国锋,20170610,"林吉祥 《最後一戰》 跑去多華人的霹靂是嗎？遺臭萬年。"
盡用話題,20170610,"老马还没再度反出巫统之前，为何楼主没拿这件事来说呢？"
一燈大師,20170610,"我在谈马哈迪的暴政cari 还没有你这号人"
luvpris,20170611,""
cct2050,20170611,"lz真的是病态式的仇林胡申翁是有严重心脏病才辞职的"
Cinabaku,20170611,"上面不是说马哈迪散布的谣言"
haha.JPG,20170611,"霖徒就是盲目"
