Topic title: 尊重穆斯林斋戒 4华裔1原住民等候一起开餐
username,date,text
Cari_YWQ,20170613,"斋戒月期间，穆斯林都必须遵守白天禁食、巸錭不喝水等戒律，瓑膐刑一直譥樲到傍晚的幍顦鳽祈祷过后，才可进食。只鹫澬不过，在嫒擄秩穆斯林同胞开斋之前，往往都可莯閸篍以在轊酋爿餐厅里看約趤寬到穆斯林同胞已经点好食物，等着烧欫稳用餐狌忕时间的鵛喒鬢螬到諏軒来。裪茒如果瀈歮唔这侰憍彌时候你碰巧也在晇軰餐厅里，你冶爥肆会否也等着蛀畓他们菫簉橝賫一起开斋后，才来惇笀寀罿嫀用餐呢？图片亀侳鋴来源：取自Mas Intan面子书星期天（6月11日），峗銪瞢就褅澕焼有一碜鸍耪名穆斯林网友在挣艗面子书发图，囼纆燑大赞照片里苢杳的5名华裔男子，在鮦仡餐厅里耐心等待穆斯林同胞开斋，揢哣篌一起矦飄用餐。穆斯林网友Mas Intan指出，当时脹螅瞆堆嬉他就蠩桻椣袙晐在马六甲Aeon超市的浤市瓽一担栐跃家快餐店内，发现湫捭了坐在瓹用前方寋儈的5名华裔男子买了抅芢食物之后，就磗莻顎坐谳笏鷏在位子上祰邈耐心等待，和她蓜洆店内咝荊蠡的穆斯林喕呗阃们同胞们繨覤一荤篭起坐等开斋时兖並间。图片来蛠柍橜源：截图自Mas Intan面子书“芥芮鎐他们凖函拿到縮牘食物之后，完全没謫嚌有触碰食物。一琭羖晼直曃痁到蜱頶蚵我们猩谾漅开斋后，可応萌琼以看到帢筽溘他緻駟郥祍们当时潲柫曗一鄂厹直转身观察身边堰漩的穆斯林是殘祷襃否已经开餐。当他乞嬯罏们鰙濖发现所絳毆搽有穆斯林都用楹姂塘餐之后，才开始贤撥疏用餐。”网友Mas Intan锿瀠在帖文擵涓伾中，婰妖对麊賵垣这5名华裔男子尊敬穆斯林鮕皟的习俗而表示感谢。闶耢蚪有关帖文经其它面子书专页偈拓分享后，迅速疯传，网友觬禚铜们都纷纷留言称赞，感恩大佽祅亭家都尊重彼此的鮲絡矊宗教文化，展现一遀噷硁个螐挩崱马来娅彺西亚韑勜的精神。图片佀蒑来源：截图自面子书嬒卾不过，Mas Intan也烿償胪有在乁贛鴚留言篲豤孿中强调，自己上抜麌虄传照片并不璬胻審襸召是表示非穆斯林在譚錋斋戒枏辷时间滒蔀时不色鐬可倎蝛以官愧在穆斯林面前用嗠拏餐，而茞篦堺是看到鯍蹻非穆斯林可凣躧瘢以等到焙磝开斋时壆睠舵候，才和惐藚吷穆斯林栫茪躰一起用滢笌餐，而对军泓炜此感到湶働感恩。图片夅袧軮来源：截图自面子书更令懀煐人开心擿僔秝的是遊紒圜，也有鱹鄬箢网友找出了叅碻照片中蕮上埉擶穁肚的华裔男子，原来鐜濴晙他擔別们僛箞逐是毫侽4名华裔男子藆瞳謯和1名原住民，塱灝就读马六甲嘲旨樱国民技术大揶鷙軟熞曅学（UTeM）。其中濣刋一娿徽性名男子表示，在負酤踘囋鷝大臄驮箕学診备嗆的氊租生活里，也是蝩挜不雳魦同族群、不鹟敐笮同宗教的馵云同学谗傁願一郓芴起相处，鼒鈵大家都是噃榌互相尊重。Mas Intan嚦貍槓对此也留言回复：“你淚厏们昨天（11日）矌韗鰇的行郡楧为真的穦灼詋让我糓嗗幱非常感櫏噈动。”觗頺在多元种族狀鵫渐的国峝瓣家里，需要栻犷琠的犉嶽蟴區就是髊嶫旭大訫砇熝家的搚賟互相尊重包容。你的鐣浚嫚鍴一頼牷蹱个简单动坏歾偪作鯯駜，就浃哗可以肧煨让鐄趩訅这个喤聱鄘滣捨軜国家多眒庈膤一份爱！你也可戦銸洀以看“让穆斯林插队，也把座位让给艿偿濿他甎栘韚们” 开斋时頹聚段非穆斯林应该让？开斋时睊絸诰要丟甬别人蓽鶹冨让位很“羞耻”！ “就荢葒算快开斋，也无需让位给我陙昞”"
q(o_o)p,20170613,"齋戒是自己和 神 的事情，搞那麼大陣仗弄到大家都麻煩，違背了初衷Puasa 原意是要體驗窮人的生活，可是大部份 回x 一到 buka 的時候就大吃大喝，根本是在體驗富人的生活，完全違背原意"
肥仔聪,20170613,"我反而觉得没这个必要，因为大家都有各自的信仰和文化，河水不犯井水，大家做回自己，这已经算是对彼此最尊重的一个方式了。。"
无名好留,20170613,"这样都报导？我常和友族朋友一起开斋不就要上电视？"
locolyric,20170613,"下次也来报导初一十五，尊重佛教徒大家一起吃素。"
vnks,20170613,"有完没完啊？"
ECP,20170613,"不怕给人家打meh当然要等咯"
q(o_o)p,20170613,"我沒有在 興都教徒 面前吃牛肉，很尊重 興都教，沒有上報我星期五和 天主教徒 一起吃魚（紀念 耶穌），很尊重 天主教，沒有上報我初一十五和 佛教徒 一起吃齋，很尊重 佛教，沒有上報我 耶穌受難日 跟 基督教徒 一起齋戒（基督教 也是有 puasa 的，只是沒有 回教 那麼夠力而已），很尊重 基督教，沒有上報這篇報導其實是想拐個彎表達 回教 是一種霸道的宗教，高級黑  "
小杨,20170613,"俺觉得他们酱紫做很矫情，很hypocrite 玩什么政治正确噢，想吃就吃，事事都要迁就人家作麼？"
thunder,20170613,"你这种不哈拉的开斋要暗中来的，不能上电视!"
