Topic title: 回到国父东姑的年代
username,date,text
李国锋,20170617,"过去马来西亚是开放与民主的，可是后来老马把一切都破坏了，实行种族主义，封锁新闻，独裁。后来阿都拉接位尝试开放新闻自由，可惜被老马与JJDAP合手攻击下台。那几上台后走亲华人政策，可惜卖国贼JJDAP不断替华人洗脑，制造仇恨与假新闻抹黑民主选举。马来西亚在JJDAP的民进党仇恨政治下已经失去当初的团结。这一届大选让我们一起反对由老马带头的极端，仇恨政治以及假新闻的戏盟。"
一燈大師,20170617,"支持反馬哈迪。#kekalNajib"
Akira_sendoh,20170617,"Najib berambusMahathir pi mampus一等神棍收皮"
蓝火爆,20170617,"1MDB丑闻搞到轰动全世界你不谈不说，反而转移视线来说老马，马华仔还真够无耻。"
卖华＄发達,20170617,"那雞的確是對華人最好的獸相，可惜他貪到馬幣變成大便紙，連馬來人都反感他了"
李国锋,20170621,"老马，JJDAP与美国联手攻击马来西亚，明显是要破坏与中国的关系。"
只是普通人,20170621,"马来西亚宪法第153条款马华真心保护华社的话, 应该要求把这项宪法废除...."
lumixcer,20170621,"火箭躺着都中枪了。。"
mikelee82,20170621,"什么是jjdap? 又是不懂这个论坛哪一个天才想出来的英文？发明这个词的人可以站出来解释解释下吗？"
pingshien,20170621,"应该是 “叫叫”行动党"
李国锋,20170622,"JJDAP就是不断开盘欺骗华人，回教盘，老马盘。。。"
蓝火爆,20170622,"你还以为老马火箭是神啊？与美国联手。。。。马来西亚是哪根葱？在美国的地头洗黑钱被抓了还阿兹啊咗，你这个马屁精还要帮主人狡辩漂白！"
cyberjaye,20170622,"支持BN和中立HKC"
mark,20170622,"最近马华中立忙着帮MO1的夫人 pusing。。。。什么都可以进帐行动党因为他们没监督 MO1的夫人"
wlwl,20170622,"就算拿鸡的屎是臭的，汉奸也会说，从来没嗅过那么独特的香气。"
蓝火爆,20170622,"楼主正是其中一个。"
jellyfish_8,20170624,"以前马华说：要稳定，不要乱。人们不相信，人们喜欢听火箭的：inikalilah和乌巴。那时候的人们没看清火箭的ubah鸟，都是绑着白色的布象征着宋谷，而且鸟身是青色的，还有一个大大的白月亮。火箭没有骗你，是你没看清楚罢了。10年里，槟城和雪州都走向了一个回国的终极目标。inikalilah，请继续JJDAP"
teachew,20170624,"JJMCA又来讲骗话欺骗华人了！"
蔡细历承认国阵贪污.jpg,20170624,"JJMCA就是不断开盘欺骗华人，贪污，腐败，滥权。。。"
teachew,20170624,"JJMCA沦落到老马的话都相信！"
loongken,20170624,"你们应该是同ー路人 cct2050    "
simplething,20170624,"现在资讯发达，很多历史有更多角度可以查到。你得知道对方的背景，还有那个时代80%的人都是文盲，面对文盲的群众时能受到高等教育的知识就有如先知预测未来的神力，然后比较一下欧洲皇室贵族开始没落，或交出权力地位成为成平民没再享有地主和地位的好处。。。大部分的人都还是为自己的利益点出发去做一些事情的，而课本往往都美化事实和隐恶扬善。"
leouy,20170624,"冬菇那么民主怎么去取消教师的国籍，怎么会强烈反对马来西亚人的马来西亚？"
leouy,20170624,"好厉害，摆明了不会改变"
teachew,20170624,"请问你有没有注意到他来来去去就是那么几句“欺骗华人”？我已经怀疑它是robot或是电脑制作出来的自动答录program，来来去去就那么几句话的？"
李国锋,20170624,"因为JJDAP来来去去就是在欺骗华人。"
teachew,20170624,"因为JJMCA来来去去就是在欺骗华人，他们自己也承认！"
1476.jpg,20170624,"要说骗华人话社 火箭怎样也比不上卖麻花民震 甘愿出卖民族良心与自尊 以换取地位利益看来楼主真是政治白痴"
蔡细历承认国阵贪污.jpg,20170624,"JJMCA几十年一直以来欺骗华人！华小问题几时解决？说好的5千万呢？又被干捞掉了？"
us2009,20170624,"“政治白痴”本来就是洗洗地2050的口头禅，他每张帖子都是咒骂人家“政治白痴”的，现在用这句称呼来形容楼主，我觉得很贴切。麻花执政了几十年，竞选宣言来来去去就是那几句话，多一点都没有！他们都像楼主一样，懒得去想了！什么月亮代表我的心，停留在几十年前，没有改变，outdated！"
teachew,20170625,"你好像很喜欢听cd蔡的话，怎么不听听老马的话。"
师资荒.jpg,20170625,"JJDAP让华人看到马华和民政其实比火箭更好。JJDAP讲就天下无敌，执政后勾结老马与回教党的模样真的是只会抹黑对手的政客骗子。"
teachew,20170625,"你都不听蔡CD的话，你知道什么叫叛徒？你知道什么叫欺师灭祖吗？"
李国锋,20170625,"我没有听什么蔡CD或老马的话，我拿出剪报就是要证明马华公会赞成贪污、腐败、滥权，一起同流合污！铁证如山，你还想要狡辩？事实证明马华公会是贪污政党，欺骗华人的政党！"
李国锋,20170625,"JJMCA做贼喊捉贼，本身欺骗华人却说别人欺骗华人！这些事情看看MCA做到几样？华人和全民被BN欺骗了几十年！"
teachew,20170625,"因为JJMCA来来去去就是在欺骗华人！华小的5千万呢？又来欺骗华人？"
MCA man.jpg,20170625,"他们自己制造假消息又说别人怪不得最近他们这么多人跑进来这版原来训练了这么多枪手。2016年10月11日 - 然而，最神却是，廖总竟然承认马华雇用网络枪手？ .http://www.laksou.com/2017/06/20 ... %E5%AE%A3%E6%88%98/"
teachew,20170625,"为了钱出卖自己的民族给人？我怎么想到那些也是为了钱牺牲色相，出卖肉体的性工作人员？至少那些人没有出卖其他人，出卖的只有他们自己身体。你情我愿哦！这种出卖自己种族的人叫什么呢？"
蔡细历承认国阵贪污.jpg,20170625,"日本年代最多。"
teachew,20170625,"很奇怪，马国华人居然活在自己的天地里。"
teachew,20170625,"你应该说日本蝗军殖民时代最多。不是叫 慰安妇 吧？她们都是被逼的，不是自愿的。很多慰安妇都是非常可怜！至于那些自愿出卖自己国家或民族的人叫什么？"
teachew,20170625,"没有啊！我们就有个很会行销的首相。"
26亿卖国.jpg,20170625,"马国华人自我感觉很好啊反正错的都是马来人"
李国锋,20170625,"叫做老马的JJDAP，与老美勾结推翻亲中的政府。"
李国锋,20170625,"东姑的西化路线被跑保守极端伊斯兰集团推翻"
cct2050,20170625,"可怕的是，纳吉把老马的恶果发扬光大。且变本加厉"
qazz1947,20170625,"自己骗了人还来做贼喊捉贼，JJMCA真的只会骗骗骗哦！就像狗改不了吃屎的习惯啊！"
teachew,20170625,"亲中还是亲美不是你说是就是的，JJMCA还是维持着欺骗全民的习惯啊？就像狗改不了吃屎的习惯。"
teachew,20170625,"一篇废话连篇的烂文章就可以claim钱，JJMCA容易赚钱啊！就像狗狗改不了吃屎的习惯啊？"
teachew,20170625,"恰恰相反，那几把极端老马赶出巫统，现在巫统已经不极端了。老马与JJDAP亲美搞新闻想推翻政府。"
李国锋,20170625,"老马与JJDAP亲美，发表中国威胁论，JJDAP不用抵赖。"
李国锋,20170625,"哈哈哈哈哈，这应该是本年度最佳搞笑贴。老马可是在位最久的首相，现在的内阁部长，有很多都是在老马当首相的年代就当部长了。现在反脸了，就数臭老马？ 老马，什么时候和美国关系那么好啦？影响力那么大，连美国也要听他的了？"
山野草夫,20170625,"你就只会这样乱喊乱叫吗？这些举动都显示你多么幼稚无知罢了！你也在佳礼论坛混了那么多年，这么多年来就只会乱喊乱叫没有进步，你不觉得浪费时间或是你的宝贵人生？还是你根本就是太年轻？还有很多时间？我那么随便的人都觉得你的论点没有points，就只是一直乱喊乱叫，没有别的东西啦！就像你说的狗狗改变不了吃屎的习惯吗？"
teachew,20170625,"又来欺骗华人，你不用抵赖啦！你就是大骗子，满口谎言！就像狗改变不了吃屎的习惯。嗯嗯嗯嗯嗯嗯嗯嗯"
teachew,20170625,"这个也是来乱喊乱叫的，没有内容了，只会乱喊乱叫！"
teachew,20170625,"推翻政府？不如说有汉奸在出卖民族？吹牛吹到自己姓什么都忘了？我们人民是需要更换政府，不是推翻政府，你是不够睡头昏了吗？推翻政府？你不如说反清复明，抗元复宋！"
teachew,20170626,"现在巫统已经不极端了？是啊？这是你讲的话？有什么根据？你说的话就是事实？应该是你在讲骗话啦！你一直乱喊乱叫别人欺骗华人，应该是你在那里欺骗华人，是吧？没有的话，为什么一直都在乱喊乱叫欺骗华人？这是你自己身上有屎发出臭味了，还以为别人身上有屎啦？"
teachew,20170626,"马哈迪的确很极端2008  bn 惨胜，失去几个洲政权，umno 闭门会议里，马哈迪连同几个元老级建议发动暴动，阿都拉坚持不肯做历史罪人，没有答应！这是 pkr 一个区部主席告诉我的，不懂真假"
cct2050,20170626,"你的回复真的是本年度最低智能回复了。美国要控制中国势力路人皆知，老马与汉奸林两个不断勾结美国发表中国威胁论，而美国也一直配合发布JL的新闻。如果美国真的是那么透明，一早就公布老马家人在美国的资产了。"
teachew,20170626,"随便讲几句话，然后又说不懂真假？你很不负责任！有个济公神坛讲你是什么二郎神的助手托世转生来到这世上，你是神。神庙讲的，我也不懂是真是假。"
李国锋,20170626,"阿都拉坚持开放自由，可惜财力不够老马，结果被老马与汉奸林合手拉下台。当时JJDAP一直发布假照片说阿都拉在国会睡觉，丑化他的形象。"
李国锋,20170626,"JJDAP要勾结美国不择手段推翻政府是路人皆知。JJDAP最厉害就是制造假图，抹黑与丑化对手。"
李国锋,20170626,"自从极端的老马和安华去了反对党过后，巫统已经不极端了。如果小林的朋友纳兹里也过去戏懵，拿巫统就更好。"
teachew,20170626,"JJMCA贪得无厌，贪污腐败滥权，众所周知！他们的跟班全部都是为了私人利益而奋斗，没有道德底线！"
teachew,20170626,"是吗？这是你说的骗话，又来欺骗华人去相信巫统。你是骗子，佳礼这里又有谁不知道？要华人投奔巫统的骗子！"
李国锋,20170626,"JJDAP把老马当新主人，还有脸说马华贪污腐败，都不怕别人笑，不要脸。"
李国锋,20170626,"JJDAP的谎言不灵了，连老马都可以成为火箭新主人，你JJDAP还有什么资格说巫统的过去，诚信破产的JJDAP。"
teachew,20170626,"你被其他人打脸还不够吗？又来新主人？罗斯马是巫统的真正主人，你又不说？"
teachew,20170626,"你才不懂羞耻，三番四次老马啊…老马…叫床那样喊，我们根本不放马哈迪在眼内，只有你把他当作威胁罢了！真的是狗狗改不了吃屎的习惯啊！"
李国锋,20170626,"JJDAP又来欺骗了。阿都拉时代就说khairy才是主人，现在又说罗斯马，无论是谁都好过你的老马。JJDAP不断开新盘骗人，可惜以及不灵了，你倒盘的次数太多了。"
李国锋,20170626,"原来老马的名字会让JJDAP兴奋，可惜我们华人只记得他的极端以及现在如何与汉奸林一起搞土权至上，发表中国威胁论。"
teachew,20170626,"火箭能够把巫统的首相拉下台？那是巫统的人做的！又来讲騙话欺骗华人？你真的是不要脸。真的是狗狗改不了吃屎的习惯啊！"
teachew,20170626,"你连汉字都打错了？把“已经”打成“以及”！你的华文程度到了哪里？不知羞耻，真的是狗狗改不了吃屎的习惯啊！"
teachew,20170626,"汉奸李才够力呢！"
李国锋,20170626,"JJDAP制造假图，丑化阿都拉，说他在国会睡觉又抹杀他推行开放的政策，然后JJDAP与老马里应外合推翻阿都拉。"
李国锋,20170626,"JJDAP词穷变成中文老师了。我最喜欢看JJDAP这种穷样。JJDAP，老马代表我的心。回教盘关了，火箭粉快点加入老马这个新盘。"
teachew,20170626,"你有空就读多一点书！巫统换人，你却说是火箭党推翻啊都啦的！无稽之谈！欺骗华人！"
teachew,20170626,"我们根本就不会对马哈迪有什么反应，只是你一直都在喊…老马…老马…喊到隔壁邻居都听见，你真的是不要脸，不知羞耻！"
李国锋,20170626,"JJDAP想要推卸责任，可是我们华人还是记得当初JJDAP如何丑化阿都拉，以及美化回教党。我还有JJDAP制造的假图说阿都拉只会在国会睡觉。"
teachew,20170626,"还来…老马…？你是在叫春，是吗？跟你说了这么多次，你还来…老马…老马…你跟他到底是什么关系？"
李国锋,20170626,"JJDAP听到老马的名字会兴奋?  今天第一次发现，难怪JJDAP出卖良知都要支持极端的老马。"
李国锋,20170626,"老马是火箭的新主人，汉奸林都不害羞，我们又怎么会害羞呢。"
teachew,20170626,"你到底扯去哪里？谁做首相根本就是巫统决定的。你来来去去还在缅怀过去的啊毒辣？"
teachew,20170626,"什么新主人？你不是给 阿镖叔 大力打脸吗？你的罗斯马呢？到底谁是巫统的真正的主人？你还没回答问题呢！"
teachew,20170626,"汉奸李才够力啰！"
李国锋,20170626,"老马与JJDAP里应外合推翻阿都拉，这是大家都知道的事实，JJDAP应该引以为傲才对呀，难道JJDAP知道自己做错了。"
teachew,20170626,"我们都直接叫他 马哈迪，没有人会尊称为 老马！为什么你的观点这么特别的？"
李国锋,20170626,"那个JJDAP的阿飘，被人揭发搞回教盘失败后，换了ID开老马盘了。你应该是他的属下吧，JJDAP。"
李国锋,20170626,"说到汉奸，谁比得上JJDAP，欺骗华人支持回教党，现在欺骗华人支持老马。"
teachew,20170626,"我实在不懂得你的所谓什么里应外合，这种情况只有你自己制造，你喜欢哪个也是你自己的事，与我无关！你那么喜欢啊毒辣？不如说一说谁杀死啊坦都亚？"
teachew,20170626,"说汉奸，谁比得上汉奸李？欺骗华人来支持巫统！还说现在巫统很好了！"
李国锋,20170626,"他已经老到不行了，你还马哈迪，原来JJDAP的眼里他还可以当首相。难怪JJDAP听到老马的名字那么兴奋。"
teachew,20170626,"我们直接叫他的名字，有什么问题？谁说要他当首相？汉奸李又来欺骗华人？真的是狗狗改不了吃屎的习惯啊！"
李国锋,20170626,"里应外合你都不懂，你JJDAP的智商也真的很高一下。JJDAP制造假图以及谎言攻击阿都拉，这叫外合，老马在巫统发动极端攻击，这叫理应。"
teachew,20170626,"我明白那句成语，我是不懂巫统怎可能里应外合，难道有人勾结外人？MCA跟巫统蛇鼠一窝就众所周知。"
teachew,20170626,"我的智商？对你来说可能太低，可是你还是来来去去那几句话，也还是说服不了我啊！你能怎样？"
李国锋,20170626,"汉奸林要老马当首相路人皆知，除了老马，戏懵根本没有首相人选。"
teachew,20170626,"楼主说的那样，应该是满口谎言，企图欺骗华人来支持巫统。司马昭之心，路人皆知！"
李国锋,20170626,"你的智商真的很好笑，已经说明白了，你还说不懂老马怎么与JJDAP里应外合推翻阿都拉。JJDAP制造假图与谎言，与老马里应外合。"
teachew,20170626,"这些东西都是你说的，有根据吗？你又来欺骗华人？还想狡辩？还想抵赖？"
李国锋,20170626,"我没有说服你，我只是无聊和你玩玩，谁那么得空去说服JJDAP。你要赚钱也要赚得心安理得，你很多前辈都良心发现不干JJDAP骗人的东西了。"
teachew,20170626,"那是巫统换人当首相，却被你谎称里应外合？你是道听途说？还是拿了他人什么好处？"
teachew,20170626,"你根本就是废话连篇，看看佳礼网民有谁支持你啦？"
李国锋,20170626,"那是老马推翻阿都拉，如果没有JJDAP的大力配合，阿都拉不会下台，而且还会更加开放。"
teachew,20170626,"还有，我根本就不是DAP people，你无聊透顶，要打稻草人发泄？你自己去厕所跟自己玩啦！我不打扰你。"
teachew,20170626,"这些东西与我无关。你快点去准备厕纸吧！应该需要很多厕纸的！"
李国锋,20170626,"你是JJDAP路人皆知，希望你良心发现，不要再欺骗华人了。"
teachew,20170626,"你知道汉奸李吗？我认为他会黑心无悔，继续欺骗华人，叫华人去支持巫统。"
李国锋,20170626,"你词穷了才说与你无关，但是华人都记得JJDAP如何与老马合手推翻阿都拉。JJDAP当时还丑化阿都拉成阿毒辣，非常没有政治道德。"
teachew,20170626,"你就只会乱喊乱叫，还有替别人套帽子和打稻草人，可怜啊！"
teachew,20170626,"你来来去去就只会几句话，这是不是词穷呢？我根本不管巫统的领导是谁！总之，就是不要巫统，不管他是谁！"
cct2050,20170626,"dap 党员也很多不满意霖家"
teachew,20170626,"只有那些污桶的狗狗才会想着自己的主人，老马啊…啊都啦啊…阿鸡哥啊…我们全部不要！肮脏啊！"
cct2050,20170626,"这里一大堆霖徒崇拜霖家的盲从信徒"
李国锋,20170626,"你JJDAP千万不要让我独自可怜，没有人陪我玩，我会去找老马。"
teachew,20170626,"汉奸李也是废的，没有人要理会他啦！"
李国锋,20170626,"可惜敢怒敢言那些都敌不过汉奸林父子的锦衣卫，死得很惨。剩下那些都是投机分子。"
李国锋,20170626,"不要亲中的巫统，要极端的老马，你的智商也真的与众不同。"
李国锋,20170626,"汉奸林要，JJDAP要。你很可怜，心里不要，但是为了钱却硬硬要。"
李国锋,20170626,"以前我就替他们取名火箭信徒，现在多数是为了利益，所以是JJDAP骗子党。"
teachew,20170626,"我们人民就是不要巫统跟老马！你不要发梦啦！不知道你吃太多不清醒是吗？"
李国锋,20170626,"你好像神智不清了，老马是JJDAP的新主人，你忘了吗。"
teachew,20170626,"你可以诬赖人家收了钱？那么人家也可以说你是汉奸李吗？"
李国锋,20170626,"JJDAP最喜欢诬赖别人收钱，特别是他们词穷的时候。就像小林诬赖记者是亲政府的。"
teachew,20170626,"谁说的？什么新主人？他参加火箭的党选了吗？希望联盟选了他吗？你又来欺骗华人？狗狗真的是改不了吃屎的习惯啊！"
