Topic title: 情人橋餐廳被強拆背後的真相：歐陽捍華 你承諾的 2 塊搬遷地在哪裡？
username,date,text
一燈大師,20170619,"情人橋餐廳被強拆背後的真相：歐陽捍華 你承諾的 2 塊搬遷地在哪裡？ 別派一群火箭紅豆兵去臭罵、抹黑、落井下石 支持你的火箭選民，以達到掩蓋背棄承諾的目的。馬華你很多事，火箭支持者和火箭議員耍花槍，這潭渾水沾來幹什麼。"
mark,20170619,"当初被马华利用了reject掉全部计划...现在还好意思要讨地？？"
一燈大師,20170619,"執政了 9 年，雪蘭莪那麼大，安置不了兩個餐館，還馬華？你不害羞，其他火箭粉也無地自容。"
一燈大師,20170619,"哦，原來是收回土地重建檔口美化環境，因為是伊黨選區，藍眼要 P 馬來人討馬來人支持，賺下伊黨的票，唯有犧牲華人的餐館，火箭當說客 pusing 到業主團團轉，業主到最後什麼也得不到，這種行為俗稱為 “漢奸” 。"
icicic,20170619,"汉奸骂人汉奸，大师果然是大师，厉害！大师放心，我已在佳礼放话，要大家别为难大师，大师可尽力的去污蔑火箭出卖华人，大家能理解大师的，毕竟大师也是要吃狗粮的，哎呀，写错了，毕竟大师也是要吃饭的，大师继续吠吧，我们支持你！"
一燈大師,20170619,"越來越少華人說巫統欺負華人了。知道為什麼嗎？因為火箭已經超越巫統了。"
icicic,20170620,"知道知道，这都是大师的功劳啊，哈哈！难得大师自认汉奸，这是值得赞许的，加油了，灭华这么大的事，靠你了！"
icicic,20170620,"卖华出卖华小和华人墓地，我想大师你也帮了不少忙吧，区区两间餐馆，火箭要怎么超越卖华呢？越来越少华人说污桶欺负华人了。知道为什么吗？因为华人被卖华卖到没感觉了，哈哈！"
北方未明,20170620,"当我第一次看到这则新闻，我比较在乎的是业主是否真有营业执照，如果有那么政府这么做是否有给与赔偿或安置业主去另一个地区？但是看了一大堆智障火粉的留言后，可以断定火箭头尾的所谓承诺只是空口说白话，不讲究过去的承诺，只讲究现在谁是当地政府谁有话事权力而已。林北是政府，林北要怎样做要你管？"
Ex-5th,20170620,"9楼有图可看， 两块地在那里"
绝地榴莲,20170620,"到底是谁在脑残？没吃药，是不行的。"
nyluon,20170620,"情人橋聼名字就知道不哈拉的，正在積極推行神教化的政府們哪會去修復呢？除非在旁邊蓋一座神教堂，並把新橋改名為哈拉橋。當然爲了不侮辱神教的聖潔，方圓幾公里内的餐廳必須哈拉"
一燈大師,20170620,"火箭若能幫到自己的火箭選民，又何必找馬華。都 9 年了，火箭被各界罵後，又躲在馬華背後。當什麼執政黨？對了，忘記火箭在阿茲敏地盤是當家不當權的。"
一燈大師,20170620,"每次發生事情，這個歐陽捍華總是畏畏縮縮不敢出來交代。火箭若兌現兩塊地的承諾，就不用製圖讓紅豆兵抹黑和攻擊被拆店的業主了。"
一燈大師,20170620,"阿茲敏 百億 伊斯蘭城，豈可被一兩家賣鹹魚花腩的海鮮樓褻瀆。最精彩就是火箭出手幫忙，讓阿茲敏完美收地。"
一燈大師,20170620,"你貼的這個製圖和文字，能當地契嗎？ 有法定地位嗎？或者像 Gardenia vs Massimo 製圖那樣，讓紅豆兵抹黑消遣受害者？"
frankling,20170620,"可惡的非法業者，根本就是拿馬華當靠山來勒索雪州人民，明明自己是非法的，不只污染環境，非法作業，卻敢喊打喊殺，以為找來馬華當靠山，就可以威迫大家 讓他們知法犯法嗎！！大家一定要打倒惡人，以前在馬華的包庇下非法的為所欲為，大家不好姑息養奸，一定要懲罰他們。"
一燈大師,20170620,"是啊，華人真 paimia。如果是回族，又送地契又送屋了。"
jellyfish_8,20170620,"大师你不能怪火箭的人。火箭是个非常有规划的：手下的工作是污蔑，煽动，放假新闻；议员的工作是问政。你叫人家handle民生问题，你看叫手下也不是，叫议员也不是。所以是人们的错，把不是他的责任硬硬推给火箭。对火箭来说不公平啊"
kwai56,20170620,"政治不是平民百姓玩的，你選擇了驊，即使是民憎也不會幫你了 "
chinapee,20170620,"不·用·鸟·这·些·马·华·人·的。。。 把那·两·间店·铲平！    show you who is the boss here.  "
chinapee,20170620,"那条真是狗来的。 大师狗"
lumixcer,20170620,"不是自己的地，就有被拆风险了，做人要铺后路啊。。"
一燈大師,20170620,"就算是自己的屋，也有被拆和重建的可能。就像 Residensi Kerinchi。聽信反對黨 Nurul 的 34 戶人家得不到價值 400k 的重建屋子了。聽信反對黨就是為自己惹禍造孽。"
frankling,20170620,"所以咯，我一直在說你們馬華跟汙捅一樣的，都是護短，包庇，沒有普世價值觀，做東西都是skin deep。ptui！"
loongken,20170620,"雪州政府《强拆丹绒色拔情人桥海鲜楼风波》真相终于大白！[闪] 雪州政府《强拆丹绒色拔情人桥海鲜楼风波》真相终于大白！原来....雪州政府《强拆丹绒色拔情人桥海鲜楼风波》真相终于大白！原来是海鲜楼业者与国阵马华狼狈为奸故意让雪州希盟政府吃死猫！用心之险恶，令人摇头…MALAYSIABLE.NEWS|来自大马新闻 NEWS"
