Topic title: 2017年预算案 -说好的 等价加倍网速，你有了吗？？
username,date,text
ong449,20170622,"大马通讯及多媒体委员会将以10亿令吉，让全国宽频覆盖和素质达每秒20兆位Read more: https://www.malaysiakini.com/news/359987#ixzz4khuskd1Q-------2017 年过半了，老子streamyx 还没有给任何的加倍数度，你们的龟速加快了吗？？@BB9 @guang @lokecl @weiwei318 @yw98 @没来racer "
投资小新手,20170622,"没有 "
SilLyPanDa,20170622,"streamyx用户。到现在都没有升级。反而在推webe手机通讯配套给我。 "
Hey花爷爷,20170622,"加条毛就有"
ong449,20170622,"webe 不能 hotspot "
杀轮大师,20170622,"为什么不用TIME 500M 网络？"
ong449,20170622,"time 只有指定的某些高楼才有，不是每一个人有资格申请"
杀轮大师,20170622,"我已经用time 300M 网络4年了，网速超级快，，彻底淘汰Astro，买了一个电视盒子，可以看上千个频道。"
SurveyPlayer,20170622,"有钱有惊喜没钱吃自己"
皇上爱皇朝,20170622,"认真你就输。"
monster.inc,20170622,"不同的agent 常常打來叫我upgrade 去 179 30mbps 的。 還好沒上蛋。"
paulng85,20170622,"哈哈，那鸡的嘴巴爽爽，也可当真？"
DUMNO=BODOH,20170622,"马国真虎最喜欢温苯，龟速加倍X2慢，"
zaqre,20170622,"好像是二月或三月就已經加倍給我"
盡用話題,20170622,"昨天看a片lag到半死，打飞机射了出来都还没看到进盘丝洞"
paranoidx,20170622,"大只广，讲就天下无敌啦。贵又贵过人，慢又慢过人"
can_fei_ren,20170622,"老夫digi去年只有rm30= 1.5g data慢慢过几个月rm30= 1.8g又慢慢几个月rm30= 2g又慢慢几个月后rm30= 2.5g今年终于成为rm30 = 3g然后又有个配套rm28= 3g至于速度好像没有什么变快。"
guang,20170622,"早早骗你说可以升级，后来有发email说，要不知道半年后到一年内才可以升级"
jasonwong8228,20170622,"问了几次都没有答案"
leouy,20170622,"所以是同样价格总共加四倍？加两倍只需要一半价格？不加就只给四分之一价格？"
kwai56,20170622,"沒有PenangFON嗎？"
chowjs,20170622,"179 30mbps 免費上了 50mbps "
阿白,20170622,"快条毛!我家streamyx变得更加频繁断线! 每次upload file一定上到ping 3500+"
richgod,20170622,"PenangFON是垃圾还是忘了吧。"
kwai56,20170622,"不再是當年的PenangFON了啊？還以為皇者歸來 "
dogdogman,20170622,"可以介紹嗎？我主要想看新聞，CNN, Bloomberg, 國家地理，探索頻道"
loongken,20170622,"比之前更慢。"
richgod,20170622,"俺用了3个月跟他们吵足3个月線完全不平穩每分鈡都有惊吓要cancel也不能后来果断直接不还錢了。"
512MB,20170622,"马华民政网络兵团用的很高兴，因为是主子的公司。这样的网速，足够让马华一灯江夏搞study group给非法飞脚车党上网学习改装脚车半夜出来温习。"
sem,20170622,"难得现在还有人相信他。。。。。。"
pingshien,20170622,"最近才免费提升"
prince,20170622,"砂首长等到死都等不到，你讲咧？"
prince,20170622,"连朋党都啪啪啪打那贼的脸了，下届大选国阵应该会输到脱肛！"
weiwei318,20170622,"没有收到tag的noti我爸爸已经跟家里的512剪掉年多了等垃圾？不如靠我的爱疯更实际"
ong449,20170622,"你的爱疯有自己的网络？？ "
绝地榴莲,20170622,"已经用着100M了。"
Orochimaru,20170622,"拖到明年鸟，目前进度只有20%用户free upgrade了"
Andrew97,20170622,"年头开始问maxis了关于maxis fiber琢磨没free double upgrade，他说这个政策是有，内部也process这，而且他说是2017年“开始”process这个政策,没说2017年就free upgrade给你"
AMOS5566,20170622,"癡癡地等，你讓我癡癡地等。沒有兌現承諾也就罷了，還常常掉線。"
okboy,20170622,"有了，免费升级Unifi 30mbps 免费升级到 50mbps "
一燈大師,20170622,"現在看 YouTube 都是 1080p 了，每天感恩中，謝謝政府，謝謝 TM."
weiwei318,20170622,"我的爱疯是拥有先进的volte加唛低级的技术，拿来做hotspot一边打电话一边高速冲浪都没有问题一个月20gb都用不完"
科学就是未来,20170622,"不知道为什么，我的已经升级，现在是50M, unifi之前签20M 配套而已"
科学就是未来,20170622,"原来179 是 30M, 我还以为是20M现在50M, 虽然快，但是对我来讲没有太大作用"
行动人,20170622,"对大马政府的制度，谁认真谁就输了。。。"
wilson86,20170622,"streamyx应该没有unifi就有streamyx吃自己我还是不要upgrade to unifi"
cyberjaye,20170622,"现在有 RM129 - 10mpbs, 但官网不敢推广"
forte,20170623,"人家雞雞意思意思講，你就意思意思聽好了，幹嘛那麼認真 "
richgod,20170623,"原乃youtube里的full hd是鳮鳮和大馬正虎上傳的。"
无人达人,20170623,"不懂是不是地方的问题，我的升级后比5mb还慢。所以我potong 它了。手机4g的比它还快"
syncsw1,20170623,"刚刚speedtest了，原来我家的unifi也从5mb 提升到10mb了，也不知道什么时候upgrade的，我记得三月还是四月有speedtest还是5mb的。我家只有我一个人用unifi，主要也是上网看文字类的新闻/文章和寄收工作email而已，所以5mb已经很够用了。我在想要不要potong掉unifi，每个月可以省下百多块，反正电话data 都应该够用了，不够用就upgrade到50gb，反正都是阿公帐，而且我在家的时间并不多，尤其下半年又要频繁出门出差了。"
syncsw1,20170623,"老鸡鸡说两年内减价50%，也就是说10mb unifi RM75，这个比较重要。 "
tequila123,20170623,"马奶网络最大问题是home broadband不给力搞到全部人去炸wireless broadband然后为了给电讯公司人人有饭吃不给拿到完整的bandwidth结果无线的也炸烂掉"
seicaibao,20170623,"我家的三月起就up 了到10mb不错用的说. "
Orochimaru,20170623,"很遗憾大蛇是那还没free upgrade的那80%  不然降价30%给我啦，我甘愿不要加速"
morris43,20170623,"有没人统计国家预算的执行率有没綐现超过一半?  种蕉预算除外  这个应该是百分百达标率  不然神蕉图早反了"
kennyteoh818,20170623,"放心。过几个月那鸡就会出来喊话 5 年免费Internet."
johnjohn,20170623,"鄉下的streamyx一直都是1m今年跑更慢不到0.3m我氣到去用digi unlimited速度直接上10m"
BBA88,20170623,"它应该很高兴因为还有人相信它给的承诺"
wayne1004,20170623,"家里的streamyx up 到8mb了，因为新区没有unifi。应该是130吧。有点贵，但是不卡就没有管了。"
apurumakke,20170623,"那个要注意一下， 没记错upload是5mbps， 不过不是upload 的 heavy user应该也没有影响。"
cyberjaye,20170623,"断掉unifi,然后在PC后面装wifi receiver. Zai在家上网就开手机hotspot. 手机号码不改，但是换redone package."
淋神无敌,20170623,"有了啊 unifi 已经升级了。"
wlwl,20170623,"车降价了吗。。。？没有。。。等大选的时候，又再说，给我五年。。。"
wilson86,20170624,"streamyx没有free upgrade speed感觉是在强迫我们upgrade unifi但是它不想想还是很多地方没有coverage而且它的package还是一样贵，虽然speed快了但是我不需要很快的package，要比较便宜的package"
为人民服务,20170625,"请版主为我们乡下龟速的Steamyx争取，我们将继续支持Cari论坛。"
mikelee82,20170625,"Unifi用到爽爽。"
ong449,20170625,"版主自己都在吃草，如何帮你们争取？？"
quadro,20170625,"加倍的慢 "
wei2,20170626,"认真你就输了"
全球樱,20170626,"没有任何apply，几天前，2mbps自动升去5mbps。"
