Topic title: 民政党真的有这样烂吗？
username,date,text
白发魔女,20170622,"除了这个没有贡献~民政党有没有其他的贡献？"
cyberjaye,20170622,"民政和马华都是选前来要挟然后选后一拖再拖最后 5000 块变铁柜华校5000块变铁柜http://www.guangming.com.my/node/149065"
NickNick,20170622,"可是我们要两线制让民政党来制衡火箭不然火箭会没人监督做坏事所以我们要让民政党有议席"
kimkim5,20170622,"所以让马华和民政党做反对党来监督火箭是对的"
kkk_0,20170622,"太監黨是為主子辦事不是华社"
forte,20170622,"西南區一堆工廠上班的工程師一畢業上班就可以買外國小車開，民政黨沒有功勞？"
JowY,20170623,"連粱德明醬的 tin kosong 都可以爬上去做大，你說這個黨有什麼做爲？民政和馬華缺乏的是人才，不然可以有一番做爲相反火箭吸引了很多有才華有抱負的年輕人，可是礙於中央獨攬大權都沒有做爲，除了那幾個被神選中進入權力核心的當然如果要比種族政治，民政是不用和火箭比的，火箭絕對馬來西亞種族政治 No1"
kingpower2016,20170623,"我看到民政的很多时候都是去找查 火箭的小事。里面的两个年轻人简直就是要出位。"
lam69,20170623,"这可是林蒼佑的功劳。"
lam69,20170623,"没办法，老的民政人都能有福同享，不能有难同当。你看丁福南，黎兆荣，许子根，谢宽泰，这些人落选后有想翻身吗 ？"
vvti_84,20170623,"他们会说是前民政的功劳 "
vvti_84,20170623,"他是行动党的？ "
kennyteoh818,20170623,"最讨厌他们做很多老姨的小动作"
loongken,20170623,"为自己利益较多。"
lumixcer,20170623,"要发围，有问过梧桐吗？"
mark,20170623,"可能连问都不敢问只做个 Yes man"
forte,20170623,"對，我們有要學歷有學歷，要膚色有膚色，要顏值有顏值，要年輕很年輕的再里爾/戴安娜 "
forte,20170623,"他難道是巫統的？"
forte,20170623,"對pun，白馬非馬，前民政不是民政"
vvti_84,20170623,"他们分到很细的。。前民政和后民政 "
frankling,20170623,"所謂的民憎檔幾乎已被人民遺忘。除了在檳城都在幹些挖別人痛腳的事業之外，幾乎沒有人聽說他們在其他地方有什麼做為。我認為即使是黨員，也都心死了。大家就不要再浪費事件sai口水了。"
forte,20170623,"要分還可以分前前民政，前民政和後民政。前前的有hoot去fight副首相來做，前的雖然被稱沒有hoot，但是會守葉，只是後來議席減少，勢力被舞台蠶食，結果變bo hoot.後來的最有hoot, 可以四處撒尿不會不好意思，榴蓮賊是代表原來all about the hoot "
vvti_84,20170623,"现在的也是hood有问题。。。"
kwai56,20170623,"別上民憎的當啦 誣桶那麼多州議員都在睡覺嗎？州議會都是講華語嗎？身為國憎檳州主席，如果要議席去監督州政府，為什麼不要求州誣桶讓出幾個（馬來）堡壘區？"
forte,20170623,"可以自己和縱容手下把一向來支持火箭的媒體得罪遍的，看來不是鐵hoot就是特大hoot，大/硬到沒朋友那種。"
cyberjaye,20170623,"曾经是巫统讨厌的马华会长，也当过反对党。以反对党的身份赢得pinang"
fuxxu,20170623,"我还在等这我们的一哩路"
forte,20170623,"这是哪里？"
山村野夫,20170623,"累积了大量土地让林神卖，难道民政党没有功劳？ "
JowY,20170623,"你是火箭黨員？"
seankaz,20170623,"没有最烂，只有更烂"
Bashmetviola,20170623,"黨這個東西，和球會沒兩樣，看什麼人在裡面。民政衰在身處國陣這種權力分配中，不能有自己主張"
forte,20170623,"我是卖华的毒瘤 "
noman,20170623,"騙人！你是外星喵來侵占檳州der~"
kpsia118,20170623,"想这种拨款独中的事，只有砂州国阵敢做，沙巴也不敢，反对党不算。"
JowY,20170623,"原來是漢奸"
