Topic title: 的士司机又与Uber/Grab司机过不去！ 网民：还有谁会搭的士？
username,date,text
Cari_LSV,20170622,"自从国鄎哢蕤内兴起手机召私家车服务后，传统鈖躓榜的士行业的罟諚块襗挮生意竣徚就大濝炾哾受影响。尽璮的士司机更因为絳耍媮貈嘏猫不满Grab或Uber司机抢滩，群起抗议政府合法化手机召车服务，双方关系水火不筍抈容，经常因婐鱠陪为抢生炅徳懹意闹得不赻瘍可开交。Loading FB Video...【视频来谫誎傸源：潠鯵我们胝痽袓臓是马来筒润西亚溒镥人 We are Malaysians 面子书】就壵衒遷在儚瀠疙近几天，面子书专页瘡厀我湉禫们是构毃礜马来債閝礫西亚綕苡人 We are Malaysians又漫遞鯡上传了鉂秡奼一鎣枇寍段有檛擀入关渓矒襦的士司机和洗牯手机召车服务司机因为癤椆抢喙鏢噣生意，引发纠纷勍櫈的视频，更附上烏苟“槟城机场德士佬发飙，阻止uber/grab司机载客”郴銒栯的文字。根据视频，褴嫲一名华裔手机召车服务司机接檛胴到订单后抵达槟城攣苢国际机场载客，但却斋铨鴂不幸遭一菴抨囟名峫燂的士司机拦截。图片倥爼街来源：我窮规捀蒿髯澍们皎脞是马来峝良铳西亚绀談裞人 We are Malaysians 面子书该名的搫榣士司机打开车门后，直接粗鲁地創楟把脚踩在埔貋浗车边。手机召车服务司机随即表示：“看看他熋菓账駄媗如何事嗡对待错屟闞我的寎馏车，他勷改还想荦澬濇要把我堥羚的趡婥蒺手机抢走。他颮縶不殊淈偵让實鬫儊我们霴傃在妻磒蟧机场载客，还要绻皆和估幪懯我缋侺廙打粥帇忴一架。”图片呑璲觖来源：我赱代鰨力醊歡们沆閷鱻是马躩鴽来西亚蚰躧人 We are Malaysians 面子书双方随即掀起葹騖一场骂战！螖潻収的士司机 ：“晽媳轊我这蘼鯼么做濆覌是因缷繝藳为有譹潥儅人氯瀮没掑湕有教养，好好说不詡湜要踧邴听。”手机召车司机 ：“看，他葷鱙不瘄譽粞敢暴露褾鱿毝他爙竧矟的样貌；看，銬此他把脸遮起蒖寮没来堳顢陶了。”的襑麞阫士司机 ：“我藄箞就鑽蔴胫是娩塡不啾鑄敢（露脸），謤忀来，快来髸暻鐐拍他耞殪戄秲訧嗷的照片！”后褋祒詮来，司机便离开了亾揬轿车，转而拍摄正在犘嵾围观的御熁路人镊殈旦。皝錍菠他表示：“他髈犑骧们咆候膠釋讽謒要在漺脅穁劀这里打我交螬偝嵺们，他埐翳不痎庢嘡给榵姦我们锸嫗载人鼬吨夅。晼濵崻他要帉鱬湄拿我祫輐婝疕的电话，匣萙他还要鐛眩抢我枷粣的濏銀电话。”图片来兄篡源：鈅誼鐬我们旪俁板凸曐是马来疲裱西亚褤在人 We are Malaysians 面子书话语刚落，的岥沂眭士司机就礤坝顶迎面走向他炵誥，想要暈歌讉抢走电召车司机咴蔅隥的手机，但最终并没有鰻腶得逞。之后，手机召车服务司机更韗嚩黀要求路戭炻皼人为謽晑他穞秘搊突馶榑作证，并表示自己将衫霏会离开现场。“你可盍胵傺以做证仯瞐壈人，榳仫扤是有螔稏这恱赗綤样車獘娗的事情釘暨旘是吗？你蓊恒畩是顾客柉刡是不帆歗魞怟是？我禣逹撖会婳犠辐放上莕酔网。没关系了堖谦，蒉繧胼他不頿镘鷤给辉確腣我们或獅载，我黏畹諓现在熱竏擇穃板盻要走为掴矏了。”而在肚鈪凥视频背景，依然隐约听到胤墚的溒黄士司机挑战手机召车服务司机貹傲瞐到警局报警遅趮的声音。踫褙濫这段长达1諣踠分钟秴贤的视频貏鴞岉在社交媒体疯传后，的漻鐽貫士司机鷌麏鈉一橑葽如所料地玫响嶐成薶敾为众矢之槖扔蝖的。图片娞梻雸来源：搧歰镍我们漛惯是禌鴆巪马粞焗炭来西亚谱鍒輛人 We are Malaysians 面子书不窄瑕鉺少网民抨击釐荮的士司机指，的揀痟揀士司机的儺缐癇服务霬桄和名声都够差了襵闋囆，虗岕噘如今还要篜鮎喨闹事，悅帕蛃在摌纡晝这样下榥勘甼去懈蓝講就快没捱嚛人搭的仲措士了跃扯！- 还鸑祍奿有谁要馴姰隆搭的亲鶜士？等了蹯秚尴很久后，拦截默痓了磣偏诱他肁駡潛的的価闀士，鴡痿他却输菺呸琾不吧霬要载，楢仆恏要多少钱多少钱才肯载……宮绦不慛硩禥如搭Uber或Grab，髪瞷不搜亞用等- 潇鷸时间戣昝凋会判定谁是櫢骐谁非，就対鎝连交通部长都要夜谜合法化Uber了鹏隰枴，所以邳事这驕捊胞名“尊贵胴崎郪的”镰醙如果用嵻不满廓枯獙的话，就凑慤娈透过合法程序投诉吧！- 剦灖的士司机还不婩羃懂自己有鍑愹多惹驥娦阑人厌！现在蹾矼戨陆路交通委员会緑處还哨罆坡要维护他钛秜们繪醤，下莧凡聉箹虶个月斌鐟鄫要扙晚到国蕱求会悄坠仚阻止（政府）合法化Uber骄缄和Grab。如瓿愁豈果可貵趨鯙以偓减的话，蚜忣裲我掲颓因们用龠藰鶧全人民公投恿氿来做决定吧！- 銓寃俘如果收费昂贵嫆袜鞓的话，谁还要瑡蘇搭伍贩杳的士？我讴栾不妈燛鮩介意言訷罹是谁载籷蹮旵我，是孲偍巫裔剂茦嚗大哥，铲诙蛻是华裔哥哥或庙偉迿是印度人鹥薿，总之我惃騕玀是婲蔊熏不乍籄禨会師檯甒再搭癓痵的士鞠膠溍了……Uber陱嗲諓和Grab的凒诼擂服务又舒服又快又方便，最重要媽绝檅的脸礏是绐柂朇很香！贵得畚臕要死的鴝隈灮熺耝的士滚开！其实，濃本阣就好比网民说欁韥的，与其花时矹涋櫾间汅嫣和手机召车服务司机抬扛，的匯鑛士司机倒不怅疼鋹如判忈好好想想该橬沘如何提升自身褂珴跥的服务，留住顾客才是狐内明智之举！"
Jason929,20170622,"山番就是山番"
thunder,20170622,"国耻又出来下水了！"
dogdogman,20170622,"大馬十大最令人反感的職業裡頭，德士佬肯定在三甲以內。十之八九都是王八蛋。"
Bashmetviola,20170622,"那天去芙蓉s2 aeon ，原本打算叫車，豈料那唯一一輛的士來招我。我心想隨便啦，反正差幾令吉而已。那裡知道已經扣好安全帶，一個華人安哥說要去比較遠的地方，車資差二十塊。媽的那個的士佬剛剛狗一樣的模樣馬上轉成把我看成狗一樣的眼神，說：says nak pergi xxx（華人安哥的目的地）Siapa yang korang ajar skrg!??"
Takashi,20170622,"不明白你在写什么？"
Bashmetviola,20170622,"你是日本人？ 還是蝙蝠俠？"
环月,20170622,"流氓开的的士谁敢搭哦"
onglai,20170622,"全世界最臭名声的德士司机果然名不虚传。。。。。。。"
cct2050,20170622,"马哈迪属下的德屎佬又发烂渣"
