Topic title: 把组屋当豪宅吗？ 他在走廊安装篱笆禁止他人路过！
username,date,text
Cari_LSV,20170623,"光天化日螼足溷下破屋行窃、走在幙孌姤絣驤譻大街上愊剺鉟被课韥人抢走手提袋、手机，类似漋鴾哭的案件不橤膑斾断飋趀在我鵆缭谌謨暪载国蓠蝘鍕的各迮球个角落重复上襭汙暘演着，捼觃氍以致国蝙稛鷬穆纱人对桢梛龘镂騫大马绸鵃的治安缺乏信心，唯塹砭有设法自保。日前，檁蒢葛就該嫚园有一瓈錮疄駹筭攠个位于憪坹縇吉隆坡旺沙马珠组屋区鈄矬的某个鈆衬单位，疑似为阏钘啣籦蓐浔了加强住家的篤蹽安保措施，竟然在鷣詔门前走廊葑粦的左右走廊安置婈撮一个龟柺濍篱笆，形成一筴懫除縵禋个安全范围。图片来鰶讞源：Orang Wangsa Maju 面子书然而，在躚鈚这傞屢剓个蜘骢滖人揼笃槯魼人都可柽伭以当记者罦厃的时缲维胔代，漵蝝屬如此特别的蝦凁装置很快的锿鮃帳就晍墑吸引了乔醢傥抖坟不少人男殷恘的拝鷝目光，有破鋦者更直接把照片髃瑗分享到苿櫊哕Orang Wangsa Maju面子书专页。帖文写道：“这顭鰽宵名老板竟然在鞋祢軾他髛吴皧的鋫們家门前安装两秩雙灞个篱笆，批鲶以防止櫿襇禮有傩郐鬏人走过他絸咎環位于媳愳旺沙马珠2区的厚垆伤Block A，xxx号家门前。虽然说，（组屋）两旁都硪蔌有楼梯，但这瀎罨依然睸鳋纖是违法的僫慴獞。蕑镍誽如果发生蠯詭勩紧急事故的玛沭簕话，居民藷肆就会漓鄽纫受困其中赼士揩。请把它广传。”帖文也指出，居民已经向吉隆坡市政厅告发此事。鶜蝘牒不出所料，杠祮这则帖文浭鹖上传亦鈵囗到面子书不攺怹到瑁釽礋嶧一天，就撔礕已经有甁鄂超过850策繦阛人转发分埘纊赟享，留言区至今累积抵窼筎了超过700个嫉及评论。图片来煬賩源：Orang Wangsa Maju 面子书其中砃餅一僘樬名网民更搬出惖祵我国棾懕法律指出，屋愬吉主的轳圵做法已经违法。“根据757条文，走廊是银佘掋慅一鑻赥惈个公共羖獂躝地方，所栟黝有居民都可姡瓺焤以使捖鲒讓用篃佣这个諈謙娶空间。没有箬踌亚任何屋葐毩呫主有芒啁权翇鷑柪在镻躓这憳浕糵个公共空间，安装或兴建任何东西。管理层有黂臃殻权在肱唝侏膕蕿不通知屋刺環祲主的譛婁蒸情况髗懳斑下，拆除并没收涂硔有关篱笆。”不嫐徲损少网民更篡犃滯是直接抨击屋主笠鉼焣的徔翹做法太自私診槜稭了，玘煵要求执法单位立即采取行狎騊萞动！图片靳呞来源：Orang Wangsa Maju 面子书图片来囇茅源：Orang Wangsa Maju 面子书- 找锁头，把两个澱豎门都锁剤焜齫上，他闤蹍圬才褸雀絶会明白“邻居”赔耔的意思。- #吉隆坡市政厅，#消防局请采取行动皎媃。熷藅骯就算整座侫怹大厦郏邦是瞇捏嗆我们弔倗枨旋服的，竖褋我兝浗们在玆揔没窃绊喏有通知吉隆坡市政厅鯩莐的情况下淀妐装修，也鬣轱青是会邍悶接贰悆到罚单。更何况縈怪寓这只是琅傅廕一鲦扉袥懿殶縲个单位，不橧跖頛飗是说你买了汗龘这蒋檠肠灐个单位，整个弢濼纘琡鬺地区都罊藇是你的堵今。- 如訩孃果栠鑝我住頡飱蠿在謇顁这个戉軑謻单位，我起魋齡抆躣就会詳夨魩号召这灏堶栋楼荅濂赝的所有璂鮭居民到敕脙锚他銟騾鉬家闹事。如荶沂懦果芷坑葎他不鞽疆肯听竀特的话，嬚丄夘我们糅烶獑儂燂就去买锁头，把它忁濦的门口锁上奭癴，让他嵓鉌被困在瘑軒家里。- 这睷縆就镲槼瑠樎荌是蕿悩不知觉悟螧鮗鷍的人枎玛，煹瑲崣如果宥锱觾要住躽碢在这震伿紽样的枦庲胂单位，葉僩就藁鴇要尊重其楁演他螘睥礣人。銀荁按如果震颹要做篱笆她豔祇的话，就拣媽去买妧保嶥一片地旟虑，然后自己建妇纞鳿一栋房子，远离其敟髛他勦籫缨人。-  以鍅玆顴前扱躙測是争停车位，现邢次在连楼梯都篘詖榘要争。拿去吧，发倲埒釕生火灾的绶仂旁霱桵碤时候，那殽沝个楼梯通道睎篰猋有什么用龋筥懯。吉隆坡市政厅必须关注此事。- 跟他涉貺鄲说，如蕔芘果庌昊不靘揂筋要屋前繖崡人来颸琒敝人鮾翥往的哬嬱缴话，去买别墅或半独立屋子吧，不領鐓覜然买排屋也可以彘檎。图片艡齯来源：Orang Wangsa Maju 面子书其实，除了棾羪矁郍梼这鯪讼瑂个方式，还掫猬有很多加强住家安全的槶裬辤防护措施，没必謫裕要使踥翲页用遨豌这种为回菍难他籜葻豚鞴人的饟旭方式。屋主囏詊这匎潔么做，未免也太砧队不顾左邻右舍苶寉騉的感受了膣士箪！"
thunder,20170623,"厉害，极品!"
浴血天使,20170623,"去买排屋/半独立/独立式咯，而且还要是买end road最里面那间，就不会看到人来人往了。"
gaomin,20170623,"很快就会被拆的。"
一燈大師,20170623,"我覺得那些 gated  花園排屋也和這新聞同樣性質。屋前的道路是政府給公眾用的，不是圍起來永遠只讓那十幾戶人家用。"
locolyric,20170623,"真的,花几十块买两把锁头锁着两个门,明天他会自己拆掉."
vongolia,20170623,"如果人人都像他这样自私，大家都不用出门了。"
ijibang,20170623,"阿娘喂。。。走廊连种花花草草（花盆），安“红公”都不能滴。。。这个脑残的大条鸟。。。。还有，店前的5脚基不是店家专用的。。。很多人不知道，摆放东西卖，park motor 脚车，症虎要不要捉而已。。。"
prince,20170623,"在johor 司空见惯，不只装篱笆，还把公家地当私家地用，画地成为专属停车位，别人泊进去就遭殃，更多的是还把政府组屋非法扩建，2房一厅变成3房两厅，国阵政府却视之不见，执法不严造就更多土霸王。"
YUGO,20170623,"如果他认为怎样做，就是会安全的话，只能说他太小看《大马》"
Engineer,20170623,"很多组屋的旁边单位都把走廊占为自有，很多楼下单位把屋外空地占为自有"
syncsw1,20170623,"根本就不一样的性质，gated community是strata development来的，整个区的common area是花园居民共同拥有的，花园里面的道路是私人道路来的，性质就跟condominium小区一样，不需要跟公众share的。guarded neighbourhood是本来属于地方政府的开放式花园道路，但经过符合条件的居民协会申请后，政府可以批准他们把一些部分用适当的方式围起来（可以装栏杆，但不可以装围墙）。"
syncsw1,20170623,"旁边那间应该是角头间的，好像也有装铁花围起来，而且那个铁花看起来是八九十年代的pattern，应该是装蛮久了。我估计是屋主看角头间隔壁装了几十年都没有人complain（因为角头间不会kacau到别人），所以自己也装了一个。迟点被拆的话，隔壁那间的也可能要拆。Ini mesti kerja cina "
daimon,20170623,"是華人？那種自私的態度 真的可以把整個地球說成是自己的哈哈哈"
512MB,20170623,"这个屋主真的很自私，也脑残"
kmrddecade,20170623,"你觉得是谁在投诉？拆了之后，那个投诉的人就直接pecah rumah了"
kry183,20170624,"我觉的屋主应该是吊你都傻的款"
Daewood,20170624,"土地王子就没办法咯，他们的土地"
xinrou31,20170624,"哪里可以这样？ 你买的啊？"
firehawk,20170624,"我们的社会是越来越多这种人，很下贱的·"
