Topic title: 旅游税照跑，但钱直接给予砂、沙、西马。难怪jagung气的没声出
username,date,text
kpsia118,20170623,"阿都卡林：州与联邦双赢．砂拉越征收旅游税Loading FB Video...3星以下旅店、大马公民免旅游税。只看到砂州国阵大闹反对，西马反对党没声出，只有林冠英出一下声，其他的什么声音都没有。而沙巴什么都要“先看砂州怎样先”。沙巴还在“拖拖拉拉”还没决定，什么都要“先看砂州怎样先”，沙巴应该不是砂州的跟屁虫？！有点主见好不好？最重要的，税务收入将会按照3个区域来分配，即砂拉越、沙巴、西马。钱直接入账3方，不经过其他部门。这样西马jagung没办法耍花样，难怪现在jagung气的没声出。"
hangz81,20170623,"还是砂沙厉害，能与中央谈判影响决策"
gaomin,20170623,"既然是州与联邦双赢，以后就不要再提砂拉越国废话了。"
逍遙,20170623,"既然钱是给回东马政府 东马政府是不是应该取消旅游税还是下流无耻的 从反对变成支持呢"
绝地榴莲,20170623,"有钱大家一起赚。 这才对嘛。话说， 谁会嫌钱腥呢？现在不就好咯， 沙砂半岛， 大家一家亲， 和和气气， 和气才能生财哪。"
kpsia118,20170623,"西马jagung的目的是，税从砂沙收了，钱西马的。东马没有份。现在东马一闹，变成税照收，钱东马自己keep，jagung没份。我只管，西马jagung没钱收就对了。其他管他的"
kpsia118,20170623,"现在的重点在，砂州大战那条Jagung。不再是旅游不旅游的问题了。我只知道Jagung被那吉咒骂一顿之后，就安安静静了。甚至钱也不必经过Jagung分配了，这才开心。而且，你不知道砂沙人比较“节省”吗？好听的叫“节省”，不好听的就叫“吝啬”。我们就算住旅店，也是首选又要便宜，服务又要好的，房间又要舒服的。所以你吃不了我们砂州人多少旅游税，所以管他的。Jagung被骂的安安静静，这才开心。"
Longan,20170623,"果然有甜头就可以点头了.有$$拿就不反对啦"
loongken,20170623,"那边的人也是被当羊古。"
kpsia118,20170623,"砂沙人好听的叫“节省”，不好听的就叫“吝啬”。你拿不了多少砂州人的旅游税金，反而西马人比较土豪，旅店要最好的，出的钱多。所以在大马抽旅游税，钱是从西马仔口袋出的。"
kwai56,20170623,"沙要學砂就應該先把誣桶連根把起，趕回西馬 "
gaomin,20170623,"有得震，没得睡，你们根本什么都没有，哪来吝啬，怎样节省？"
kpsia118,20170623,"所以jagung才说：旅游税金70~80%的钱西马交的。所以Jagung的暗语是谢谢西马仔的“供奉”还有你住西马，比较熟悉西马。有哪里5~6星级的服务房间，收2星的钱，介绍一下。"
gaomin,20170623,"他说的你就信，你不知道他是跑风的？"
kpsia118,20170623,"我只知道他现在安安静静，一点声音都没有，你没看到吗？当然是被那只鸡咒骂了一顿，脸灰灰。"
gaomin,20170623,"讲多多也只是得个讲字，你到了机场，我会带你去住5星级，吃免费的。"
q(o_o)p,20170623,"等 Sarawak 被 UMNO 攻陷之後看他們還敢不敢吵"
kahloon9995,20170623,"巫统给压力，再吵什么都没有，现在给你钱塞砂州的嘴，平息风波。。。。"
prince,20170623,"大戏唱完了，什么LP主权都是假的，最重要人民要给钱就对了！果然不出本王子所料！哇哈哈哈哈"
洋葱小弟,20170623,"abangjo 收了多少？ 竟然就这样屈服了。"
thunder,20170623,"三星大马公民免税，因为贱民是不应该住三星以上的酒店，就算是猪啼猪啼Malaysia也不可以!"
逍遙,20170624,"东马政府的立场 是支持征收旅游税的东马的议员 在国会全部投赞成票州政府的猴子耍的把戏 不过是骗骗无知人民的选票罢了"
kpsia118,20170624,"旅游税抽的又不是我的钱，所以我是管他慢慢抽去。如果是抽西马人的钱，我反而建议抽多点。"
逍遙,20170624,"原来是个宅男哦你肯定 今生不会离开家 到马国其他地方走走吗"
monster.inc,20170624,"汶萊人，印尼人來這邊要多給錢了。"
kpsia118,20170624,"大马热的要死，春天去台湾、中国、香港。偶尔去体会“冷冻”的滋味，体会在尼帕尔穿厚厚羽绒衣睡觉的滋味，真的冷的很爽。大马有什么好看的？外国的月亮比较圆。"
逍遙,20170625,"有钱人去外国看那些穿的非常少的没钱人在国内看那些穿的非常少的月亮是圆是缺 名花入各眼 各有千秋啦"
loongken,20170626,"  http://news.seehua.com/?p=283604                                                     砂首席部长拿督阿玛阿邦佐哈里，对3000名中国客被旅游税“吓跑”一事，表示毫不知情。 财神跑了!! 旅游税+消费税吃不消，3000人中国团取消游马，改去泰国~~财神跑了!!…MALAYSIABLE.NEWS"
gaomin,20170627,"还没实行就跑了，不是吧？"
gaomin,20170627,"Jagung不是说他讲的7月1日实行，才是凖，现在又改了8月，jagung 只能用来养鸡。"
loongken,20170627,"以为可以当别人是水魚。"
kanwt,20170627,"呵呵。。。"
leo3_puff,20170627,"其實要收旅遊稅，就應該歸還給各州不要忘了，除了GST歸中央外，各州每年都要把收入的部分交給中央的"
